"var","categoria","Tiene Decidido que va a ir a votar","Tiene dudas sobre si va a ir a  votar","Tiene Decidido que no va a ir a votar"
"P12_imputada","Sergio Massa a presidente, Axel Kicillof a gobernador y Gustavo Menéndez a intendente por Unión por la Patria",0.389,0.366,0.301
"P12_imputada","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y David Zencich a intendente por Juntos por el Cambio",0.235,0.229,0.252
"P12_imputada","Javier Milei a presidente, Carolina Piparo a gobernadora  y Eduardo Varela a intendente por la Libertad Avanza",0.285,0.197,0.165
"P12_imputada","Raul Othacehé a intendente por el frente vecinal crecer",0.04,0.009,0.047
"P12_imputada","Los candidatos a presidente, gobernador e intendente de la Izquierda",0.029,0.06,0.08
"P12_imputada","Juan Schiaretti a presidente por Hacemos por Nuestro Pais",0.01,0.065,0
"P12_imputada","En blanco",0.012,0.074,0.155
"P16_imputada","Sergio Massa a presidente por Unión por la Patria",0.388,0.333,0.192
"P16_imputada","Patricia Bullrich a presidenta por Juntos por el Cambio",0.27,0.252,0.226
"P16_imputada","Javier Milei a presidente por la Libertad Avanza",0.27,0.223,0.035
"P16_imputada","Los candidatos a presidente de la Izquierda",0.035,0.025,0.397
"P16_imputada","Juan Schiaretti a presidente por Hacemos por Nuestro Pais",0.03,0.146,0
"P16_imputada","En blanco",0.007,0.021,0.15
"P19_imputada","Axel Kicillof a gobernador por Unión por la Patria",0.376,0.343,0.249
"P19_imputada","Néstor Grindetti a gobernador por Juntos por el Cambio",0.335,0.166,0.116
"P19_imputada","Carolina Piparo a gobernadora por la Libertad Avanza",0.228,0.329,0.261
"P19_imputada","El candidato a gobernador de la Izquierda",0.037,0.016,0.184
"P19_imputada","En blanco",0.024,0.146,0.19
"P22_imputada","Gustavo Menéndez a intendente por Unión por la Patria",0.294,0.48,0.071
"P22_imputada","Zencich a intendente por Juntos por el Cambio",0.305,0.341,0.192
"P22_imputada","Eduardo Varela a intendente por la Libertad Avanza",0.132,0.075,0.248
"P22_imputada","Raul Othacehé a intendente por el frente vecinal crecer",0.192,0.078,0.167
"P22_imputada","El candidato a intendente de la Izquierda",0.054,0.02,0.042
"P22_imputada","En blanco",0.023,0.006,0.28
"PRESIDENTE_imputada","Sergio Massa a presidente por Unión por la Patria",0.418,0.396,0.327
"PRESIDENTE_imputada","Patricia Bullrich a presidenta por Juntos por el Cambio",0.239,0.199,0.288
"PRESIDENTE_imputada","Javier Milei a presidente por la Libertad Avanza",0.293,0.196,0.123
"PRESIDENTE_imputada","Los candidatos a presidente de la Izquierda",0.024,0.063,0.181
"PRESIDENTE_imputada","Juan Schiaretti a presidente por Hacemos por Nuestro Pais",0.018,0.064,0
"PRESIDENTE_imputada","En blanco",0.008,0.082,0.081
"GOBERNADOR_imputada","Axel Kicillof a gobernador por Unión por la Patria",0.411,0.403,0.346
"GOBERNADOR_imputada","Néstor Grindetti a gobernador por Juntos por el Cambio",0.266,0.161,0.227
"GOBERNADOR_imputada","Carolina Piparo a gobernadora por la Libertad Avanza",0.278,0.242,0.237
"GOBERNADOR_imputada","El candidato a gobernador de la Izquierda",0.026,0.057,0.085
"GOBERNADOR_imputada","En blanco",0.019,0.137,0.105
"INTENDENTE_imputada","Gustavo Menéndez a intendente por Unión por la Patria",0.371,0.465,0.263
"INTENDENTE_imputada","Zencich a intendente por Juntos por el Cambio",0.256,0.258,0.264
"INTENDENTE_imputada","Eduardo Varela a intendente por la Libertad Avanza",0.231,0.112,0.215
"INTENDENTE_imputada","Raul Othacehé a intendente por el frente vecinal crecer",0.09,0.031,0.098
"INTENDENTE_imputada","El candidato a intendente de la Izquierda",0.034,0.058,0.024
"INTENDENTE_imputada","En blanco",0.018,0.076,0.136
