"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","0652A","0655A","652","653","654","655","Menéndez","Cocuzza","Zencich","Varela","Othacehé"
"Sergio Massa a presidente por Unión por la Patria",0.408,0.408,0.407,0.281,0.407,0.534,0.429,0.516,0.313,0.434,0.468,0.36,0.42,0.396,0.32,0.411,0.76,0.134,0.186,0.038,0.431
"Patricia Bullrich a presidenta por Juntos por el Cambio",0.24,0.193,0.287,0.241,0.188,0.267,0.351,0.178,0.298,0.217,0.229,0.292,0.2,0.304,0.241,0.14,0.093,0.638,0.539,0.053,0.193
"Javier Milei a presidente por la Libertad Avanza",0.27,0.318,0.224,0.336,0.326,0.16,0.17,0.229,0.306,0.261,0.264,0.251,0.239,0.242,0.338,0.324,0.097,0.22,0.207,0.832,0.241
"Los candidatos a presidente de la Izquierda",0.035,0.051,0.019,0.04,0.047,0.023,0.007,0.032,0.034,0.041,0.027,0.021,0.063,0.025,0.045,0.045,0.015,0.005,0.007,0.015,0.081
"Juan Schiaretti a presidente por Hacemos por Nuestro Pais",0.019,0.005,0.033,0.046,0.012,0.008,0.011,0.031,0.009,0.022,0.007,0.015,0.053,0.004,0.009,0.066,0.027,0,0.054,0,0.033
"En blanco",0.028,0.025,0.03,0.056,0.02,0.008,0.032,0.014,0.04,0.025,0.005,0.061,0.025,0.029,0.047,0.014,0.008,0.003,0.007,0.062,0.021
