"var","categoria","Si","No"
"PRESIDENTE_imputada","Sergio Massa a presidente por Unión por la Patria",0.389,0.438
"PRESIDENTE_imputada","Patricia Bullrich a presidenta por Juntos por el Cambio",0.252,0.23
"PRESIDENTE_imputada","Javier Milei a presidente por la Libertad Avanza",0.255,0.286
"PRESIDENTE_imputada","Los candidatos a presidente de la Izquierda",0.051,0.021
"PRESIDENTE_imputada","Juan Schiaretti a presidente por Hacemos por Nuestro Pais",0.035,0.006
"PRESIDENTE_imputada","En blanco",0.018,0.019
"GOBERNADOR_imputada","Axel Kicillof a gobernador por Unión por la Patria",0.358,0.439
"GOBERNADOR_imputada","Néstor Grindetti a gobernador por Juntos por el Cambio",0.29,0.229
"GOBERNADOR_imputada","Carolina Piparo a gobernadora por la Libertad Avanza",0.261,0.285
"GOBERNADOR_imputada","El candidato a gobernador de la Izquierda",0.045,0.022
"GOBERNADOR_imputada","En blanco",0.046,0.025
"INTENDENTE_imputada","Gustavo Menéndez a intendente por Unión por la Patria",0.286,0.439
"INTENDENTE_imputada","Zencich a intendente por Juntos por el Cambio",0.301,0.228
"INTENDENTE_imputada","Eduardo Varela a intendente por la Libertad Avanza",0.141,0.287
"INTENDENTE_imputada","Raul Othacehé a intendente por el frente vecinal crecer",0.181,0.002
"INTENDENTE_imputada","El candidato a intendente de la Izquierda",0.052,0.021
"INTENDENTE_imputada","En blanco",0.039,0.023
