"var","categoria","Con políticas de shock, mano dura y castigando a los corruptos y ladrones","Con políticas muy estudiadas y progresivas  para que las transformaciones de fondo necesarias se puedan realizar","Con políticas de desarrollo que permitan el crecimiento con inclusión social","Con políticas que limiten los privilegios de los que más tienen y favorezcan a los sectores más vulnerables","Con políticas revolucionarias que permitan la transformación igualitaria de la sociedad apoyándose en las mayorías populares","No sabe"
"P05","Mucho",0.397,0.443,0.426,0.554,0.389,0.233
"P05","Bastante",0.273,0.363,0.363,0.158,0.359,0.332
"P05","Poco",0.22,0.137,0.139,0.151,0.015,0.19
"P05","Nada",0.079,0.057,0.038,0.132,0.202,0.07
"P05","No sabe",0.031,0,0.034,0.005,0.035,0.175
"P06","Siempre",0.248,0.138,0.168,0.316,0.011,0.147
"P06","Casi siempre",0.291,0.347,0.375,0.273,0.543,0.1
"P06","Casi nunca",0.317,0.411,0.313,0.282,0.223,0.434
"P06","Nunca, pero esta es una excepción",0.144,0.104,0.144,0.129,0.223,0.319
"P09","Unión por la Patria",0.153,0.299,0.698,0.405,0.293,0.284
"P09","Juntos por el Cambio",0.301,0.383,0.108,0.102,0,0.179
"P09","De los Liberales libertarios",0.368,0.191,0.068,0.157,0.284,0.202
"P09","De la Izquierda",0.087,0.038,0.031,0.07,0.213,0.015
"P09","Hacemos por nuestro país",0.018,0.051,0.015,0.102,0,0.003
"P09","Otro",0.017,0.009,0.039,0.077,0.094,0.077
"P09","En blanco",0.009,0.021,0.032,0.019,0.053,0.037
"P09","No sabe",0.047,0.008,0.009,0.068,0.063,0.203
"P12","Sergio Massa a presidente, Axel Kicillof a gobernador y Gustavo Menéndez a intendente por Unión por la Patria",0.179,0.275,0.674,0.407,0.264,0.378
"P12","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y David Zencich a intendente por Juntos por el Cambio",0.29,0.372,0.131,0.151,0,0.126
"P12","Javier Milei a presidente, Carolina Piparo a gobernadora  y Eduardo Varela a intendente por la Libertad Avanza",0.419,0.233,0.082,0.077,0.284,0.171
"P12","Raul Othacehé a intendente por el frente vecinal crecer",0.029,0.001,0.05,0.155,0.014,0.005
"P12","Los candidatos a presidente, gobernador e intendente de la Izquierda",0.034,0.033,0.011,0.035,0.232,0.022
"P12","Juan Schiaretti a presidente por Hacemos por Nuestro Pais",0.007,0.008,0.003,0.102,0,0.014
"P12","En blanco",0.014,0,0.012,0.016,0.053,0.128
"P12","No sabe",0.028,0.078,0.037,0.057,0.153,0.156
"P15","Si",0.494,0.435,0.345,0.669,0.603,0.5
"P15","No",0.506,0.565,0.655,0.331,0.397,0.5
"P16","Sergio Massa a presidente por Unión por la Patria",0.186,0.35,0.725,0.508,0.171,0.32
"P16","Patricia Bullrich a presidenta por Juntos por el Cambio",0.367,0.363,0.089,0.133,0.18,0.076
"P16","Javier Milei a presidente por la Libertad Avanza",0.36,0.229,0.123,0.085,0.101,0.179
"P16","Los candidatos a presidente de la Izquierda",0.04,0,0.024,0.021,0.467,0
"P16","Juan Schiaretti a presidente por Hacemos por Nuestro Pais",0.031,0.043,0,0.151,0,0
"P16","En blanco",0.002,0,0.013,0,0.081,0.118
"P16","No sabe",0.014,0.015,0.026,0.102,0,0.307
"P19","Axel Kicillof a gobernador por Unión por la Patria",0.136,0.342,0.792,0.448,0.453,0.416
"P19","Néstor Grindetti a gobernador por Juntos por el Cambio",0.416,0.474,0.075,0.148,0.18,0.107
"P19","Carolina Piparo a gobernadora por la Libertad Avanza",0.313,0.131,0.076,0.225,0,0.11
"P19","El candidato a gobernador de la Izquierda",0.047,0.007,0.003,0.036,0.286,0
"P19","En blanco",0.046,0.036,0.024,0.101,0.081,0
"P19","No sabe",0.042,0.01,0.03,0.042,0,0.367
"P22","Gustavo Menéndez a intendente por Unión por la Patria",0.183,0.39,0.355,0.266,0.224,0.236
"P22","Zencich a intendente por Juntos por el Cambio",0.389,0.371,0.093,0.261,0,0.178
"P22","Eduardo Varela a intendente por la Libertad Avanza",0.164,0.098,0.079,0.054,0.296,0.1
"P22","Raul Othacehé a intendente por el frente vecinal crecer",0.153,0.078,0.231,0.189,0.102,0.006
"P22","El candidato a intendente de la Izquierda",0.007,0.022,0.091,0.1,0.129,0.02
"P22","En blanco",0.004,0,0.072,0.01,0.235,0.049
"P22","No sabe",0.1,0.041,0.079,0.12,0.014,0.411
"P25","Totalmente seguro",0.635,0.699,0.653,0.57,0.649,0.332
"P25","Bastante seguro",0.187,0.231,0.195,0.187,0.053,0.184
"P25","Algo seguro",0.095,0.052,0.082,0.04,0.111,0.206
"P25","Para nada seguro",0.083,0.018,0.07,0.203,0.187,0.278
"P26","Tiene Decidido que va a ir a votar",0.91,0.898,0.917,0.779,0.693,0.588
"P26","Tiene dudas sobre si va a ir a  votar",0.051,0.083,0.021,0.221,0.087,0.221
"P26","Tiene Decidido que no va a ir a votar",0.039,0.019,0.062,0,0.22,0.191
"P28","Lo votaría",0.238,0.193,0.685,0.423,0.27,0.219
"P28","Puede que lo vote",0.07,0.161,0.108,0.143,0.192,0.171
"P28","Nunca lo votaría",0.653,0.614,0.18,0.161,0.385,0.415
"P28","No sabe",0.039,0.032,0.027,0.273,0.153,0.195
"P29","Lo votaría",0.329,0.36,0.123,0.256,0,0.189
"P29","Puede que lo vote",0.173,0.179,0.061,0.028,0.23,0.099
"P29","Nunca lo votaría",0.422,0.368,0.777,0.648,0.588,0.478
"P29","No sabe",0.076,0.093,0.039,0.068,0.182,0.234
"P30","Lo votaría",0.44,0.25,0.078,0.107,0.163,0.294
"P30","Puede que lo vote",0.166,0.125,0.069,0.098,0.018,0.144
"P30","Nunca lo votaría",0.347,0.586,0.809,0.753,0.798,0.311
"P30","No sabe",0.047,0.039,0.044,0.042,0.021,0.251
"P31","Lo votaría",0.218,0.061,0.172,0.321,0.124,0.069
"P31","Puede que lo vote",0.125,0.179,0.08,0.076,0.213,0.056
"P31","Nunca lo votaría",0.594,0.646,0.671,0.45,0.616,0.662
"P31","No sabe",0.063,0.114,0.077,0.153,0.047,0.213
"P32","Si",0.42,0.26,0.434,0.411,0.176,0.216
"P32","No",0.58,0.74,0.566,0.589,0.824,0.784
"PRESIDENTE","Sergio Massa a presidente por Unión por la Patria",0.2,0.313,0.72,0.617,0.293,0.365
"PRESIDENTE","Patricia Bullrich a presidenta por Juntos por el Cambio",0.325,0.32,0.127,0.087,0.113,0.103
"PRESIDENTE","Javier Milei a presidente por la Libertad Avanza",0.401,0.298,0.118,0.07,0.171,0.185
"PRESIDENTE","Los candidatos a presidente de la Izquierda",0.03,0.023,0.017,0.028,0.308,0.015
"PRESIDENTE","Juan Schiaretti a presidente por Hacemos por Nuestro Pais",0.019,0.019,0.002,0.102,0,0.014
"PRESIDENTE","En blanco",0.009,0,0.008,0.016,0.052,0.119
"PRESIDENTE","No sabe",0.016,0.027,0.008,0.08,0.063,0.199
"CORTA_PRESIDENTE","Si",0.156,0.182,0.131,0.372,0.231,0.112
"CORTA_PRESIDENTE","No",0.844,0.818,0.869,0.628,0.769,0.888
"GOBERNADOR","Axel Kicillof a gobernador por Unión por la Patria",0.17,0.308,0.741,0.579,0.456,0.411
"GOBERNADOR","Néstor Grindetti a gobernador por Juntos por el Cambio",0.345,0.367,0.121,0.098,0.113,0.113
"GOBERNADOR","Carolina Piparo a gobernadora por la Libertad Avanza",0.384,0.258,0.102,0.166,0.102,0.143
"GOBERNADOR","El candidato a gobernador de la Izquierda",0.036,0.027,0.008,0.035,0.213,0.015
"GOBERNADOR","En blanco",0.034,0.015,0.017,0.085,0.053,0.072
"GOBERNADOR","No sabe",0.031,0.025,0.011,0.037,0.063,0.246
"CORTA_GOBERNADOR","Si",0.231,0.192,0.144,0.493,0.394,0.211
"CORTA_GOBERNADOR","No",0.769,0.808,0.856,0.507,0.606,0.789
"INTENDENTE","Gustavo Menéndez a intendente por Unión por la Patria",0.192,0.312,0.593,0.465,0.322,0.324
"INTENDENTE","Zencich a intendente por Juntos por el Cambio",0.333,0.344,0.131,0.176,0,0.148
"INTENDENTE","Eduardo Varela a intendente por la Libertad Avanza",0.31,0.242,0.099,0.049,0.276,0.136
"INTENDENTE","Raul Othacehé a intendente por el frente vecinal crecer",0.079,0.027,0.081,0.126,0.066,0.009
"INTENDENTE","El candidato a intendente de la Izquierda",0.013,0.034,0.041,0.068,0.138,0.029
"INTENDENTE","En blanco",0.014,0,0.031,0.023,0.124,0.087
"INTENDENTE","No sabe",0.059,0.041,0.024,0.093,0.074,0.267
"CORTA_INTENDENTE","Si",0.244,0.265,0.189,0.395,0.372,0.249
"CORTA_INTENDENTE","No",0.756,0.735,0.811,0.605,0.628,0.751
