"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","0652A","0655A","652","653","654","655","Menéndez","Cocuzza","Zencich","Varela","Othacehé"
"Gustavo Menéndez a intendente por Unión por la Patria",0.34,0.357,0.323,0.196,0.339,0.471,0.383,0.43,0.278,0.32,0.424,0.298,0.323,0.259,0.308,0.291,0.785,0.075,0.132,0.065,0.133
"Zencich a intendente por Juntos por el Cambio",0.247,0.205,0.288,0.271,0.191,0.259,0.347,0.212,0.279,0.233,0.208,0.318,0.22,0.299,0.271,0.164,0.095,0.613,0.677,0.099,0.132
"Eduardo Varela a intendente por la Libertad Avanza",0.209,0.248,0.171,0.279,0.246,0.14,0.093,0.183,0.228,0.215,0.25,0.178,0.144,0.187,0.227,0.232,0.066,0.192,0.095,0.747,0.105
"Raul Othacehé a intendente por el frente vecinal crecer",0.081,0.071,0.092,0.12,0.073,0.051,0.089,0.09,0.078,0.074,0.049,0.114,0.101,0.087,0.045,0.174,0.016,0.041,0.054,0.06,0.469
"El candidato a intendente de la Izquierda",0.031,0.035,0.027,0,0.058,0.021,0.023,0.024,0.029,0.05,0.008,0.037,0.035,0.056,0.035,0.068,0.012,0.028,0.007,0.012,0.035
"En blanco",0.025,0.024,0.025,0.021,0.032,0.018,0.019,0.011,0.028,0.042,0.019,0.027,0.038,0.014,0.029,0.025,0.004,0.002,0.007,0.003,0.033
"No sabe",0.067,0.06,0.074,0.113,0.061,0.04,0.046,0.05,0.08,0.066,0.042,0.028,0.139,0.098,0.085,0.046,0.022,0.049,0.028,0.014,0.093
