"var","categoria","Tiene Decidido que va a ir a votar","Tiene dudas sobre si va a ir a  votar","Tiene Decidido que no va a ir a votar"
"P05","Mucho",0.421,0.284,0.282
"P05","Bastante",0.327,0.179,0.176
"P05","Poco",0.178,0.184,0.077
"P05","Nada",0.051,0.262,0.211
"P05","No sabe",0.023,0.091,0.254
"P06","Siempre",0.205,0.212,0.104
"P06","Casi siempre",0.326,0.193,0.168
"P06","Casi nunca",0.319,0.389,0.257
"P06","Nunca, pero esta es una excepción",0.15,0.206,0.471
"P09","Unión por la Patria",0.347,0.155,0.367
"P09","Juntos por el Cambio",0.246,0.197,0.054
"P09","De los Liberales libertarios",0.255,0.259,0.099
"P09","De la Izquierda",0.059,0.036,0.15
"P09","Hacemos por nuestro país",0.015,0.156,0
"P09","Otro",0.031,0.03,0.037
"P09","En blanco",0.014,0.043,0.059
"P09","No sabe",0.033,0.124,0.234
"P12","Sergio Massa a presidente, Axel Kicillof a gobernador y Gustavo Menéndez a intendente por Unión por la Patria",0.364,0.317,0.294
"P12","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y David Zencich a intendente por Juntos por el Cambio",0.227,0.224,0.182
"P12","Javier Milei a presidente, Carolina Piparo a gobernadora  y Eduardo Varela a intendente por la Libertad Avanza",0.281,0.197,0.086
"P12","Raul Othacehé a intendente por el frente vecinal crecer",0.039,0.009,0.047
"P12","Los candidatos a presidente, gobernador e intendente de la Izquierda",0.029,0.06,0.044
"P12","Juan Schiaretti a presidente por Hacemos por Nuestro Pais",0.01,0.065,0
"P12","En blanco",0.007,0.073,0.155
"P12","No sabe",0.043,0.055,0.192
"P15","Si",0.459,0.467,0.493
"P15","No",0.541,0.533,0.507
"P16","Sergio Massa a presidente por Unión por la Patria",0.364,0.333,0.174
"P16","Patricia Bullrich a presidenta por Juntos por el Cambio",0.262,0.236,0.189
"P16","Javier Milei a presidente por la Libertad Avanza",0.266,0.223,0.035
"P16","Los candidatos a presidente de la Izquierda",0.024,0.016,0.397
"P16","Juan Schiaretti a presidente por Hacemos por Nuestro Pais",0.03,0.146,0
"P16","En blanco",0.007,0,0.15
