"var","categoria","Axel Kicillof a gobernador por Unión por la Patria","Néstor Grindetti a gobernador por Juntos por el Cambio","Carolina Piparo a gobernadora por la Libertad Avanza","El candidato a gobernador de la Izquierda","En blanco","No sabe"
"P05","Mucho",0.426,0.363,0.467,0.296,0.255,0.3
"P05","Bastante",0.32,0.319,0.3,0.243,0.239,0.095
"P05","Poco",0.16,0.207,0.187,0.142,0.058,0.183
"P05","Nada",0.07,0.079,0.04,0.116,0.286,0.159
"P05","No sabe",0.024,0.032,0.006,0.203,0.162,0.263
"P06","Siempre",0.204,0.224,0.251,0.016,0.13,0.073
"P06","Casi siempre",0.344,0.328,0.28,0.237,0.221,0.19
"P06","Casi nunca",0.267,0.296,0.337,0.485,0.436,0.516
"P06","Nunca, pero esta es una excepción",0.185,0.152,0.132,0.262,0.213,0.221
"P09","Unión por la Patria",0.684,0.138,0.092,0.058,0.025,0.074
"P09","Juntos por el Cambio",0.1,0.694,0.081,0,0.033,0.05
"P09","De los Liberales libertarios",0.087,0.115,0.639,0.285,0.145,0.117
"P09","De la Izquierda",0.017,0.013,0.11,0.467,0.267,0.021
"P09","Hacemos por nuestro país",0.02,0.02,0.003,0.082,0.144,0.033
"P09","Otro",0.054,0.011,0.011,0.015,0.143,0.048
"P09","En blanco",0.005,0.001,0.031,0.017,0.185,0.036
"P09","No sabe",0.033,0.008,0.033,0.076,0.058,0.621
"P12","Sergio Massa a presidente, Axel Kicillof a gobernador y Gustavo Menéndez a intendente por Unión por la Patria",0.835,0.048,0.048,0.045,0,0.125
"P12","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y David Zencich a intendente por Juntos por el Cambio",0.019,0.777,0.124,0,0.031,0.034
"P12","Javier Milei a presidente, Carolina Piparo a gobernadora  y Eduardo Varela a intendente por la Libertad Avanza",0.033,0.138,0.79,0.106,0.008,0.114
"P12","Raul Othacehé a intendente por el frente vecinal crecer",0.061,0.003,0.004,0.184,0.318,0.005
"P12","Los candidatos a presidente, gobernador e intendente de la Izquierda",0.01,0.02,0,0.514,0.105,0.021
"P12","Juan Schiaretti a presidente por Hacemos por Nuestro Pais",0.009,0.002,0,0,0.195,0.018
"P12","En blanco",0.002,0.001,0,0.017,0.343,0.13
"P12","No sabe",0.031,0.011,0.034,0.134,0,0.553
