"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","0652A","0655A","652","653","654","655","Menéndez","Cocuzza","Zencich","Varela","Othacehé"
"Si",0.258,0.22,0.295,0.277,0.293,0.182,0.244,0.326,0.214,0.227,0.245,0.223,0.343,0.356,0.162,0.249,0.198,0.227,0.266,0.159,0.442
"No",0.742,0.78,0.705,0.723,0.707,0.818,0.756,0.674,0.786,0.773,0.755,0.777,0.657,0.644,0.838,0.751,0.802,0.773,0.734,0.841,0.558
