"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","0652A","0655A","652","653","654","655","Menéndez","Cocuzza","Zencich","Varela","Othacehé"
"Unión por la Patria",0.312,0.306,0.318,0.213,0.299,0.441,0.321,0.291,0.307,0.374,0.352,0.275,0.291,0.35,0.244,0.318,0.637,0.068,0.119,0.035,0.267
"Juntos por el Cambio",0.219,0.201,0.236,0.249,0.146,0.251,0.326,0.187,0.246,0.215,0.213,0.231,0.191,0.236,0.285,0.117,0.094,0.622,0.594,0.037,0.111
"De los Liberales libertarios",0.255,0.303,0.208,0.355,0.297,0.127,0.15,0.249,0.265,0.238,0.281,0.225,0.22,0.23,0.259,0.307,0.158,0.238,0.208,0.675,0.252
"De la Izquierda",0.06,0.067,0.054,0.063,0.084,0.03,0.035,0.066,0.064,0.037,0.043,0.079,0.093,0.03,0.076,0.057,0.011,0.012,0.011,0.229,0.072
"Hacemos por nuestro país",0.021,0.021,0.022,0.018,0.03,0.015,0.011,0.042,0.009,0.009,0.006,0.048,0.056,0.011,0.009,0,0.027,0.013,0.009,0,0.076
"Otro",0.036,0.028,0.044,0.024,0.044,0.031,0.047,0.052,0.023,0.037,0.031,0.043,0.05,0.037,0.015,0.057,0.011,0.002,0.016,0.008,0.176
"En blanco",0.027,0.019,0.035,0.031,0.026,0.036,0.009,0.016,0.032,0.039,0.019,0.029,0.011,0.038,0.021,0.084,0.019,0.002,0.007,0.006,0.011
"No sabe",0.07,0.055,0.083,0.047,0.074,0.069,0.101,0.097,0.054,0.051,0.055,0.07,0.088,0.068,0.091,0.06,0.043,0.043,0.036,0.01,0.035
