"var","categoria","A Alberto Fernández","A Sergio Massa","A algún candidato del peronismo","A algún candidato del kirchnerismo"
"P07","A Alberto Fernández",0.72,0.134,0.134,0.02
"P07","A Sergio Massa",0.022,0.599,0.068,0.006
"P07","A algún candidato del peronismo",0.03,0.111,0.354,0.034
"P07","A Cristina Fernández de Kirchner",0.228,0.156,0.444,0.94
"P09","Marcos Koopmann a gobernador y Ana Pechén a vicegobernadora por el Movimiento Nacional Neuquino",0.296,0.331,0.24,0.234
"P09","“Rolo” Figueroa a gobernador y Gloria Ruiz a vicegobernadora por el Comunidad y el Frente Neuquinizate",0.201,0.274,0.385,0.249
"P09","Ramón Rioseco a gobernador y Ayelén Gutiérrez a vicegobernadora por el Frente de Todos Neuquino",0.2,0.346,0.238,0.448
"P09","Pablo Cervi a gobernador y Jorge Taylor a vicegobernador por Juntos por el Cambio Neuquén",0.187,0,0.109,0.015
"P09","Carlos Eguía a gobernador y Catalina Uleri a vicegobernadora por Cumplir",0.019,0,0,0
"P09","Patricia Jure a gobernadora y Raúl Godoy a vicegobernador por el Frente de Izquierda Unidad",0.031,0.049,0.024,0.013
"P09","No sabe",0.066,0,0.004,0.041
"P10","A Marcos Koopmann por el Movimiento Popular Neuquino con el apoyo de Jorge Sapag",0.235,0.361,0.295,0.205
"P10","A “Rolo” Figueroa por Comunidad y el Frente Neuquinizate con el apoyo del PRO, parte de la UCR, el Frente Grande y sectores del PJ",0.287,0.316,0.339,0.356
"P10","A Ramón Rioseco por el Frente de Todos Neuquino con el apoyo del PJ, Cristina Fernández de Kirchner y Libres del Sur",0.256,0.28,0.21,0.384
"P10","A Pablo Cervi por Juntos por el Cambio Neuquén con el apoyo de Martín Lousteau y parte de la UCR",0.122,0.025,0.129,0.038
"P10","A Carlos Eguía por Cumplir con el apoyo de Javier Milei",0.019,0,0,0
"P10","A Patricia Jure del Frente de Izquierda Unidad con apoyo de Nicolás del Caño",0.033,0,0.027,0.014
"P10","No sabe",0.048,0.018,0,0.003
"P11","Lo votaría",0.545,0.38,0.316,0.179
"P11","Puede que lo vote",0.098,0.138,0.034,0.154
"P11","Nunca lo votaría",0.267,0.482,0.547,0.492
"P11","No sabe",0.09,0,0.103,0.175
"P12","Lo votaría",0.424,0.281,0.314,0.17
"P12","Puede que lo vote",0.144,0.274,0.197,0.165
"P12","Nunca lo votaría",0.32,0.392,0.413,0.563
"P12","No sabe",0.112,0.053,0.076,0.102
"P13","Lo votaría",0.498,0.385,0.247,0.415
"P13","Puede que lo vote",0.199,0.177,0.162,0.226
"P13","Nunca lo votaría",0.243,0.219,0.508,0.264
"P13","No sabe",0.06,0.219,0.083,0.095
"P14","Lo votaría",0.271,0,0.012,0.095
"P14","Puede que lo vote",0.148,0.189,0.092,0.058
"P14","Nunca lo votaría",0.487,0.674,0.84,0.757
"P14","No sabe",0.094,0.137,0.056,0.09
"P15","Lo votaría",0.3,0.049,0.023,0.065
"P15","Puede que lo vote",0.098,0.124,0.046,0.067
"P15","Nunca lo votaría",0.53,0.688,0.851,0.755
"P15","No sabe",0.072,0.139,0.08,0.113
"P16","Lo votaría",0.252,0.018,0.04,0.088
"P16","Puede que lo vote",0.168,0.182,0.138,0.156
"P16","Nunca lo votaría",0.474,0.729,0.659,0.674
"P16","No sabe",0.106,0.071,0.163,0.082
"P17","Muy buena",0.332,0.367,0.219,0.092
"P17","Buena",0.244,0.069,0.067,0.14
"P17","Ni buena ni mala",0.263,0.378,0.314,0.326
"P17","Mala",0.078,0.076,0.182,0.131
