"var","categoria","Muy buena","Buena","Ni buena ni mala","Mala","Muy mala","No lo conozco","No sabe"
"P09_imputada","Marcos Koopmann a gobernador y Ana Pechén a vicegobernadora por el Movimiento Nacional Neuquino",0.16,0.11,0.285,0.306,0.246,0.387,0.208
"P09_imputada","“Rolo” Figueroa a gobernador y Gloria Ruiz a vicegobernadora por el Comunidad y el Frente Neuquinizate",0.332,0.373,0.299,0.376,0.349,0.286,0.229
"P09_imputada","Ramón Rioseco a gobernador y Ayelén Gutiérrez a vicegobernadora por el Frente de Todos Neuquino",0.119,0.166,0.155,0.065,0.158,0.13,0.323
"P09_imputada","Pablo Cervi a gobernador y Jorge Taylor a vicegobernador por Juntos por el Cambio Neuquén",0.099,0.218,0.091,0.086,0.063,0.053,0.06
"P09_imputada","Carlos Eguía a gobernador y Catalina Uleri a vicegobernadora por Cumplir",0.134,0.052,0.157,0.165,0.15,0.119,0.136
"P09_imputada","Patricia Jure a gobernadora y Raúl Godoy a vicegobernador por el Frente de Izquierda Unidad",0.156,0.081,0.013,0.002,0.034,0.025,0.044
"P10_imputada","A Marcos Koopmann por el Movimiento Popular Neuquino con el apoyo de Jorge Sapag",0.06,0.221,0.346,0.355,0.263,0.327,0.299
"P10_imputada","A “Rolo” Figueroa por Comunidad y el Frente Neuquinizate con el apoyo del PRO, parte de la UCR, el Frente Grande y sectores del PJ",0.386,0.35,0.299,0.341,0.258,0.298,0.16
"P10_imputada","A Ramón Rioseco por el Frente de Todos Neuquino con el apoyo del PJ, Cristina Fernández de Kirchner y Libres del Sur",0.172,0.102,0.14,0.072,0.154,0.135,0.261
"P10_imputada","A Pablo Cervi por Juntos por el Cambio Neuquén con el apoyo de Martín Lousteau y parte de la UCR",0.096,0.207,0.103,0.08,0.126,0.078,0.113
"P10_imputada","A Carlos Eguía por Cumplir con el apoyo de Javier Milei",0.081,0.05,0.103,0.147,0.165,0.14,0.138
"P10_imputada","A Patricia Jure del Frente de Izquierda Unidad con apoyo de Nicolás del Caño",0.205,0.07,0.009,0.005,0.034,0.022,0.029
