"var","categoria","A Alberto Fernández","A Sergio Massa","A algún candidato del peronismo","A Cristina Fernández de Kirchner"
"P06","A Alberto Fernández",0.847,0.087,0.106,0.177
"P06","A Sergio Massa",0.049,0.749,0.124,0.038
"P06","A algún candidato del peronismo",0.084,0.145,0.67,0.183
"P06","A algún candidato del kirchnerismo",0.02,0.019,0.1,0.602
"P09","Marcos Koopmann a gobernador y Ana Pechén a vicegobernadora por el Movimiento Nacional Neuquino",0.274,0.456,0.308,0.221
"P09","“Rolo” Figueroa a gobernador y Gloria Ruiz a vicegobernadora por el Comunidad y el Frente Neuquinizate",0.259,0.193,0.42,0.247
"P09","Ramón Rioseco a gobernador y Ayelén Gutiérrez a vicegobernadora por el Frente de Todos Neuquino",0.236,0.281,0.19,0.373
"P09","Pablo Cervi a gobernador y Jorge Taylor a vicegobernador por Juntos por el Cambio Neuquén",0.123,0,0.031,0.108
"P09","Carlos Eguía a gobernador y Catalina Uleri a vicegobernadora por Cumplir",0.022,0,0,0
"P09","Patricia Jure a gobernadora y Raúl Godoy a vicegobernador por el Frente de Izquierda Unidad",0.037,0.059,0.051,0.008
"P09","No sabe",0.049,0.011,0,0.043
"P10","A Marcos Koopmann por el Movimiento Popular Neuquino con el apoyo de Jorge Sapag",0.256,0.338,0.182,0.244
"P10","A “Rolo” Figueroa por Comunidad y el Frente Neuquinizate con el apoyo del PRO, parte de la UCR, el Frente Grande y sectores del PJ",0.289,0.286,0.566,0.306
"P10","A Ramón Rioseco por el Frente de Todos Neuquino con el apoyo del PJ, Cristina Fernández de Kirchner y Libres del Sur",0.216,0.218,0.153,0.382
"P10","A Pablo Cervi por Juntos por el Cambio Neuquén con el apoyo de Martín Lousteau y parte de la UCR",0.154,0.158,0.043,0.033
"P10","A Carlos Eguía por Cumplir con el apoyo de Javier Milei",0.021,0,0,0
"P10","A Patricia Jure del Frente de Izquierda Unidad con apoyo de Nicolás del Caño",0.038,0,0.056,0.009
"P10","No sabe",0.026,0,0,0.026
"P11","Lo votaría",0.614,0.326,0.184,0.239
"P11","Puede que lo vote",0.08,0.169,0.04,0.127
"P11","Nunca lo votaría",0.272,0.505,0.667,0.455
"P11","No sabe",0.034,0,0.109,0.179
"P12","Lo votaría",0.463,0.301,0.313,0.199
"P12","Puede que lo vote",0.165,0.172,0.168,0.187
"P12","Nunca lo votaría",0.266,0.474,0.456,0.512
"P12","No sabe",0.106,0.053,0.063,0.102
"P13","Lo votaría",0.534,0.328,0.239,0.375
"P13","Puede que lo vote",0.163,0.251,0.145,0.221
"P13","Nunca lo votaría",0.192,0.298,0.548,0.322
"P13","No sabe",0.111,0.123,0.068,0.082
"P14","Lo votaría",0.276,0,0.027,0.082
"P14","Puede que lo vote",0.165,0.153,0.118,0.069
"P14","Nunca lo votaría",0.492,0.669,0.775,0.757
"P14","No sabe",0.067,0.178,0.08,0.092
