"var","categoria","Positiva","Neutra","Negativa","No lo conozco","No sabe"
"P05","Del Frente de Todos y el peronismo",0.305,0.218,0.198,0.12,0.183
"P05","De Juntos por el cambio",0.246,0.234,0.219,0.126,0.097
"P05","De los Liberales libertarios",0.063,0.183,0.271,0.238,0.168
"P05","De la Izquierda",0.023,0.048,0.109,0.074,0.032
"P05","No sabe",0.363,0.317,0.203,0.442,0.52
"P06","A Alberto Fernández",0.433,0.185,0.322,0.172,0.619
"P06","A Sergio Massa",0.156,0.123,0.114,0,0
"P06","A algún candidato del peronismo",0.159,0.33,0.136,0.424,0.178
"P06","A algún candidato del kirchnerismo",0.252,0.362,0.428,0.404,0.203
"P07","A Alberto Fernández",0.4,0.075,0.33,0.524,0.485
"P07","A Sergio Massa",0.07,0.139,0.085,0,0
"P07","A algún candidato del peronismo",0.071,0.175,0.053,0,0
"P07","A Cristina Fernández de Kirchner",0.459,0.611,0.532,0.476,0.515
"P08","A Horacio Rodriguez Larreta",0.257,0.184,0.382,0.1,1
"P08","A Mauricio Macri",0.39,0.243,0.315,0.757,0
"P08","A Patricia Bullrich",0.282,0.41,0.216,0.143,0
"P08","A Facundo Manes",0.02,0.007,0.009,0,0
"P08","A Gerardo Morales",0.051,0.156,0.078,0,0
"P09","Marcos Koopmann a gobernador y Ana Pechén a vicegobernadora por el Movimiento Nacional Neuquino",0.488,0.214,0.124,0.122,0.115
"P09","“Rolo” Figueroa a gobernador y Gloria Ruiz a vicegobernadora por el Comunidad y el Frente Neuquinizate",0.191,0.322,0.377,0.227,0.133
"P09","Ramón Rioseco a gobernador y Ayelén Gutiérrez a vicegobernadora por el Frente de Todos Neuquino",0.089,0.154,0.127,0.167,0.163
"P09","Pablo Cervi a gobernador y Jorge Taylor a vicegobernador por Juntos por el Cambio Neuquén",0.087,0.113,0.072,0.033,0
"P09","Carlos Eguía a gobernador y Catalina Uleri a vicegobernadora por Cumplir",0.103,0.096,0.14,0.177,0.131
"P09","Patricia Jure a gobernadora y Raúl Godoy a vicegobernador por el Frente de Izquierda Unidad",0.007,0.016,0.056,0,0.106
"P09","No sabe",0.035,0.085,0.104,0.274,0.352
"P10","A Marcos Koopmann por el Movimiento Popular Neuquino con el apoyo de Jorge Sapag",0.535,0.261,0.118,0.081,0.356
"P10","A “Rolo” Figueroa por Comunidad y el Frente Neuquinizate con el apoyo del PRO, parte de la UCR, el Frente Grande y sectores del PJ",0.174,0.313,0.375,0.258,0.121
"P10","A Ramón Rioseco por el Frente de Todos Neuquino con el apoyo del PJ, Cristina Fernández de Kirchner y Libres del Sur",0.082,0.151,0.105,0.159,0.068
"P10","A Pablo Cervi por Juntos por el Cambio Neuquén con el apoyo de Martín Lousteau y parte de la UCR",0.096,0.119,0.091,0.088,0.018
"P10","A Carlos Eguía por Cumplir con el apoyo de Javier Milei",0.053,0.077,0.161,0.167,0.021
"P10","A Patricia Jure del Frente de Izquierda Unidad con apoyo de Nicolás del Caño",0.011,0.01,0.05,0.003,0.106
"P10","No sabe",0.049,0.069,0.1,0.244,0.31
"P11","Lo votaría",0.61,0.256,0.134,0.184,0.29
"P11","Puede que lo vote",0.18,0.157,0.086,0.12,0.108
"P11","Nunca lo votaría",0.133,0.445,0.711,0.365,0.168
"P11","No sabe",0.077,0.142,0.069,0.331,0.434
"P12","Lo votaría",0.253,0.345,0.377,0.291,0.121
"P12","Puede que lo vote",0.155,0.181,0.106,0.108,0.151
"P12","Nunca lo votaría",0.5,0.343,0.472,0.249,0.129
"P12","No sabe",0.092,0.131,0.045,0.352,0.599
"P13","Lo votaría",0.184,0.123,0.187,0.195,0.292
"P13","Puede que lo vote",0.139,0.164,0.131,0.127,0.071
"P13","Nunca lo votaría",0.572,0.616,0.639,0.32,0.051
"P13","No sabe",0.105,0.097,0.043,0.358,0.586
"P14","Lo votaría",0.118,0.071,0.105,0.094,0.041
"P14","Puede que lo vote",0.214,0.177,0.117,0.111,0.071
"P14","Nunca lo votaría",0.557,0.574,0.713,0.351,0.254
"P14","No sabe",0.111,0.178,0.065,0.444,0.634
"P15","Lo votaría",0.118,0.076,0.192,0.163,0.028
"P15","Puede que lo vote",0.22,0.121,0.131,0.079,0
"P15","Nunca lo votaría",0.565,0.619,0.616,0.284,0.301
"P15","No sabe",0.097,0.184,0.061,0.474,0.671
"P16","Lo votaría",0.101,0.028,0.09,0.11,0
"P16","Puede que lo vote",0.155,0.114,0.074,0.09,0
"P16","Nunca lo votaría",0.62,0.653,0.761,0.368,0.277
"P16","No sabe",0.124,0.205,0.075,0.432,0.723
"P17","Positiva",0.677,0.286,0.138,0.146,0.482
"P17","Neutra",0.202,0.494,0.222,0.191,0.033
"P17","Negativa",0.07,0.144,0.553,0.266,0.079
"P17","No lo conozco",0.048,0.074,0.072,0.371,0.14
"P17","No sabe",0.003,0.002,0.015,0.026,0.266
"P18","Positiva",0.414,0.43,0.394,0.271,0.205
"P18","Neutra",0.198,0.422,0.144,0.178,0.188
"P18","Negativa",0.313,0.104,0.429,0.197,0.028
"P18","No lo conozco",0.041,0.032,0.025,0.298,0.081
"P18","No sabe",0.034,0.012,0.008,0.056,0.498
