"var","categoria","Muy buena","Buena","Ni buena ni mala","Mala","Muy mala","No lo conozco","No sabe"
"P09_imputada","Marcos Koopmann a gobernador y Ana Pechén a vicegobernadora por el Movimiento Nacional Neuquino",0.073,0.187,0.283,0.356,0.268,0.374,0.313
"P09_imputada","“Rolo” Figueroa a gobernador y Gloria Ruiz a vicegobernadora por el Comunidad y el Frente Neuquinizate",0.304,0.377,0.339,0.31,0.303,0.272,0.28
"P09_imputada","Ramón Rioseco a gobernador y Ayelén Gutiérrez a vicegobernadora por el Frente de Todos Neuquino",0.209,0.119,0.142,0.076,0.165,0.143,0.217
"P09_imputada","Pablo Cervi a gobernador y Jorge Taylor a vicegobernador por Juntos por el Cambio Neuquén",0.32,0.185,0.06,0.067,0.017,0.049,0.028
"P09_imputada","Carlos Eguía a gobernador y Catalina Uleri a vicegobernadora por Cumplir",0.09,0.117,0.162,0.17,0.154,0.126,0.143
"P09_imputada","Patricia Jure a gobernadora y Raúl Godoy a vicegobernador por el Frente de Izquierda Unidad",0.004,0.015,0.014,0.021,0.093,0.036,0.019
"P10_imputada","A Marcos Koopmann por el Movimiento Popular Neuquino con el apoyo de Jorge Sapag",0.072,0.198,0.355,0.423,0.263,0.343,0.272
"P10_imputada","A “Rolo” Figueroa por Comunidad y el Frente Neuquinizate con el apoyo del PRO, parte de la UCR, el Frente Grande y sectores del PJ",0.241,0.388,0.32,0.275,0.27,0.276,0.298
"P10_imputada","A Ramón Rioseco por el Frente de Todos Neuquino con el apoyo del PJ, Cristina Fernández de Kirchner y Libres del Sur",0.166,0.069,0.126,0.107,0.189,0.141,0.167
"P10_imputada","A Pablo Cervi por Juntos por el Cambio Neuquén con el apoyo de Martín Lousteau y parte de la UCR",0.451,0.25,0.065,0.055,0.025,0.023,0.086
"P10_imputada","A Carlos Eguía por Cumplir con el apoyo de Javier Milei",0.07,0.08,0.128,0.119,0.148,0.17,0.177
"P10_imputada","A Patricia Jure del Frente de Izquierda Unidad con apoyo de Nicolás del Caño",0,0.015,0.006,0.021,0.105,0.047,0
