"var","categoria","Positiva","Neutra","Negativa","No lo conozco","No sabe"
"P05","Del Frente de Todos y el peronismo",0.477,0.214,0.17,0.174,0.138
"P05","De Juntos por el cambio",0.234,0.265,0.209,0.15,0.251
"P05","De los Liberales libertarios",0.079,0.164,0.216,0.236,0.113
"P05","De la Izquierda",0.072,0.044,0.108,0.044,0.036
"P05","No sabe",0.138,0.313,0.297,0.396,0.462
"P06","A Alberto Fernández",0.417,0.17,0.397,0.367,0.398
"P06","A Sergio Massa",0.055,0.156,0.171,0.113,0.126
"P06","A algún candidato del peronismo",0.143,0.341,0.19,0.139,0
"P06","A algún candidato del kirchnerismo",0.385,0.333,0.242,0.381,0.476
"P07","A Alberto Fernández",0.368,0.16,0.45,0.355,0
"P07","A Sergio Massa",0.036,0.119,0.13,0.059,0.126
"P07","A algún candidato del peronismo",0.051,0.191,0.038,0.057,0
"P07","A Cristina Fernández de Kirchner",0.545,0.53,0.382,0.529,0.874
"P08","A Horacio Rodriguez Larreta",0.27,0.229,0.416,0.205,0.422
"P08","A Mauricio Macri",0.499,0.299,0.215,0.326,0.518
"P08","A Patricia Bullrich",0.217,0.299,0.28,0.43,0.06
"P08","A Facundo Manes",0,0.02,0.008,0.012,0
"P08","A Gerardo Morales",0.014,0.153,0.081,0.027,0
"P09","Marcos Koopmann a gobernador y Ana Pechén a vicegobernadora por el Movimiento Nacional Neuquino",0.207,0.245,0.274,0.271,0.055
"P09","“Rolo” Figueroa a gobernador y Gloria Ruiz a vicegobernadora por el Comunidad y el Frente Neuquinizate",0.301,0.346,0.26,0.279,0.143
"P09","Ramón Rioseco a gobernador y Ayelén Gutiérrez a vicegobernadora por el Frente de Todos Neuquino",0.32,0.118,0.09,0.079,0.153
"P09","Pablo Cervi a gobernador y Jorge Taylor a vicegobernador por Juntos por el Cambio Neuquén",0.1,0.073,0.073,0.071,0.105
"P09","Carlos Eguía a gobernador y Catalina Uleri a vicegobernadora por Cumplir",0.032,0.141,0.154,0.097,0.18
"P09","Patricia Jure a gobernadora y Raúl Godoy a vicegobernador por el Frente de Izquierda Unidad",0.018,0.008,0.065,0.023,0
"P09","No sabe",0.022,0.069,0.084,0.18,0.364
"P10","A Marcos Koopmann por el Movimiento Popular Neuquino con el apoyo de Jorge Sapag",0.178,0.296,0.307,0.261,0.179
"P10","A “Rolo” Figueroa por Comunidad y el Frente Neuquinizate con el apoyo del PRO, parte de la UCR, el Frente Grande y sectores del PJ",0.41,0.301,0.247,0.26,0.124
"P10","A Ramón Rioseco por el Frente de Todos Neuquino con el apoyo del PJ, Cristina Fernández de Kirchner y Libres del Sur",0.217,0.129,0.092,0.082,0.076
"P10","A Pablo Cervi por Juntos por el Cambio Neuquén con el apoyo de Martín Lousteau y parte de la UCR",0.138,0.115,0.085,0.063,0.167
"P10","A Carlos Eguía por Cumplir con el apoyo de Javier Milei",0.032,0.085,0.163,0.117,0.032
