"var","categoria","Muy buena","Buena","Ni buena ni mala","Mala","Muy mala","No lo conozco","No sabe"
"P05","Del Frente de Todos y el peronismo",0.499,0.363,0.261,0.163,0.152,0.201,0.122
"P05","De Juntos por el cambio",0.108,0.178,0.241,0.308,0.215,0.195,0.127
"P05","De los Liberales libertarios",0.118,0.138,0.107,0.208,0.352,0.19,0.109
"P05","De la Izquierda",0.266,0.08,0.026,0.064,0.094,0.025,0.108
"P05","No sabe",0.009,0.241,0.365,0.257,0.187,0.389,0.534
"P06","A Alberto Fernández",0.716,0.265,0.24,0.414,0.225,0.348,0.639
"P06","A Sergio Massa",0.037,0.03,0.145,0.107,0.137,0.133,0.06
"P06","A algún candidato del peronismo",0.104,0.22,0.229,0.154,0.142,0.29,0
"P06","A algún candidato del kirchnerismo",0.143,0.485,0.386,0.325,0.496,0.229,0.301
"P07","A Alberto Fernández",0.679,0.243,0.107,0.356,0.262,0.487,0.502
"P07","A Sergio Massa",0.037,0.043,0.113,0.029,0.111,0.069,0.059
"P07","A algún candidato del peronismo",0.037,0.193,0.117,0.053,0.026,0.059,0
"P07","A Cristina Fernández de Kirchner",0.247,0.521,0.663,0.562,0.601,0.385,0.439
"P08","A Horacio Rodriguez Larreta",0.965,0.14,0.212,0.498,0.139,0.215,0.914
"P08","A Mauricio Macri",0,0.641,0.426,0.166,0.365,0.323,0
"P08","A Patricia Bullrich",0,0.219,0.269,0.239,0.41,0.314,0.086
"P08","A Facundo Manes",0,0,0.004,0.01,0.041,0.009,0
"P08","A Gerardo Morales",0.035,0,0.089,0.087,0.045,0.139,0
"P09","Marcos Koopmann a gobernador y Ana Pechén a vicegobernadora por el Movimiento Nacional Neuquino",0.14,0.127,0.273,0.331,0.169,0.285,0.114
"P09","“Rolo” Figueroa a gobernador y Gloria Ruiz a vicegobernadora por el Comunidad y el Frente Neuquinizate",0.304,0.416,0.295,0.291,0.321,0.243,0.225
"P09","Ramón Rioseco a gobernador y Ayelén Gutiérrez a vicegobernadora por el Frente de Todos Neuquino",0.052,0.267,0.162,0.064,0.093,0.125,0.136
"P09","Pablo Cervi a gobernador y Jorge Taylor a vicegobernador por Juntos por el Cambio Neuquén",0.218,0.054,0.068,0.065,0.097,0.078,0.006
"P09","Carlos Eguía a gobernador y Catalina Uleri a vicegobernadora por Cumplir",0.115,0.04,0.121,0.153,0.155,0.098,0.148
"P09","Patricia Jure a gobernadora y Raúl Godoy a vicegobernador por el Frente de Izquierda Unidad",0.171,0.039,0.009,0.017,0.042,0.024,0.019
"P09","No sabe",0,0.057,0.072,0.079,0.123,0.147,0.352
"P10","A Marcos Koopmann por el Movimiento Popular Neuquino con el apoyo de Jorge Sapag",0.085,0.062,0.357,0.353,0.166,0.268,0.244
"P10","A “Rolo” Figueroa por Comunidad y el Frente Neuquinizate con el apoyo del PRO, parte de la UCR, el Frente Grande y sectores del PJ",0.311,0.465,0.292,0.292,0.277,0.234,0.17
"P10","A Ramón Rioseco por el Frente de Todos Neuquino con el apoyo del PJ, Cristina Fernández de Kirchner y Libres del Sur",0.153,0.163,0.147,0.072,0.12,0.087,0.097
"P10","A Pablo Cervi por Juntos por el Cambio Neuquén con el apoyo de Martín Lousteau y parte de la UCR",0.226,0.16,0.095,0.053,0.095,0.112,0.03
"P10","A Carlos Eguía por Cumplir con el apoyo de Javier Milei",0.017,0.074,0.057,0.134,0.215,0.113,0.036
"P10","A Patricia Jure del Frente de Izquierda Unidad con apoyo de Nicolás del Caño",0.208,0.058,0.005,0,0.04,0.023,0
"P10","No sabe",0,0.018,0.047,0.096,0.087,0.163,0.423
"P11","Lo votaría",0.35,0.212,0.357,0.372,0.169,0.308,0.328
"P11","Puede que lo vote",0.163,0.189,0.144,0.08,0.093,0.11,0.231
"P11","Nunca lo votaría",0.462,0.396,0.384,0.446,0.701,0.404,0.066
"P11","No sabe",0.025,0.203,0.115,0.102,0.037,0.178,0.375
"P12","Lo votaría",0.56,0.381,0.334,0.379,0.27,0.275,0.214
"P12","Puede que lo vote",0.01,0.243,0.15,0.082,0.131,0.143,0.147
"P12","Nunca lo votaría",0.412,0.25,0.419,0.457,0.577,0.376,0.072
"P12","No sabe",0.018,0.126,0.097,0.082,0.022,0.206,0.567
"P13","Lo votaría",0.636,0.295,0.171,0.104,0.115,0.161,0.146
"P13","Puede que lo vote",0.069,0.362,0.137,0.082,0.108,0.145,0.065
"P13","Nunca lo votaría",0.262,0.244,0.604,0.758,0.74,0.494,0.281
"P13","No sabe",0.033,0.099,0.088,0.056,0.037,0.2,0.508
"P14","Lo votaría",0.326,0.185,0.065,0.11,0.08,0.083,0.103
"P14","Puede que lo vote",0.256,0.279,0.161,0.114,0.133,0.162,0.052
"P14","Nunca lo votaría",0.4,0.487,0.642,0.702,0.704,0.475,0.274
"P14","No sabe",0.018,0.049,0.132,0.074,0.083,0.28,0.571
"P15","Lo votaría",0.483,0.27,0.044,0.184,0.152,0.106,0.111
"P15","Puede que lo vote",0.101,0.28,0.161,0.074,0.165,0.158,0.039
"P15","Nunca lo votaría",0.409,0.417,0.647,0.686,0.603,0.475,0.272
"P15","No sabe",0.007,0.033,0.148,0.056,0.08,0.261,0.578
"P16","Lo votaría",0.694,0.24,0.023,0.046,0.022,0.031,0.092
"P16","Puede que lo vote",0.147,0.341,0.127,0.04,0.085,0.08,0
"P16","Nunca lo votaría",0.143,0.372,0.663,0.851,0.854,0.571,0.25
"P16","No sabe",0.016,0.047,0.187,0.063,0.039,0.318,0.658
"P17","Muy buena",0.42,0.156,0.225,0.251,0.15,0.159,0.062
"P17","Buena",0.117,0.348,0.123,0.084,0.069,0.153,0.199
"P17","Ni buena ni mala",0.044,0.235,0.446,0.274,0.189,0.248,0.135
"P17","Mala",0.051,0.085,0.117,0.266,0.193,0.095,0.069
"P17","Muy mala",0.28,0.05,0.068,0.091,0.319,0.129,0.111
"P17","No lo conozco",0.088,0.126,0.009,0.024,0.076,0.211,0.238
"P17","No sabe",0,0,0.012,0.01,0.004,0.005,0.186
"P18","Muy buena",0.526,0.334,0.226,0.279,0.214,0.176,0.039
"P18","Buena",0.026,0.401,0.191,0.153,0.065,0.131,0.197
"P18","Ni buena ni mala",0.081,0.116,0.349,0.191,0.15,0.285,0.18
"P18","Mala",0.093,0.052,0.123,0.228,0.102,0.09,0.035
"P18","Muy mala",0.227,0.018,0.061,0.133,0.452,0.124,0.132
"P18","No lo conozco",0.029,0.079,0.03,0.008,0.015,0.144,0.031
"P18","No sabe",0.018,0,0.02,0.008,0.002,0.05,0.386
"P19","Muy buena",0.531,0.198,0.118,0.061,0.082,0.15,0.146
"P19","Buena",0.047,0.316,0.15,0.068,0.029,0.141,0.065
"P19","Ni buena ni mala",0.063,0.263,0.492,0.243,0.197,0.284,0.125
"P19","Mala",0.037,0.113,0.181,0.475,0.148,0.077,0.044
"P19","Muy mala",0.192,0.037,0.036,0.138,0.531,0.167,0.048
"P19","No lo conozco",0.13,0.073,0.006,0.007,0.01,0.18,0.182
"P19","No sabe",0,0,0.017,0.008,0.003,0.001,0.39
"P20","Muy buena",0.433,0.133,0.062,0.046,0.053,0.054,0.119
"P20","Buena",0.046,0.306,0.088,0.102,0.106,0.084,0.021
"P20","Ni buena ni mala",0.068,0.251,0.623,0.334,0.137,0.282,0.155
"P20","Mala",0.145,0.109,0.138,0.394,0.147,0.057,0.027
"P20","Muy mala",0.193,0.111,0.027,0.089,0.478,0.069,0
"P20","No lo conozco",0.097,0.072,0.041,0.025,0.076,0.411,0.172
"P20","No sabe",0.018,0.018,0.021,0.01,0.003,0.043,0.506
"P21","Muy buena",0.483,0.119,0.04,0.053,0.112,0.097,0.007
"P21","Buena",0.101,0.334,0.055,0.102,0.14,0.07,0.035
"P21","Ni buena ni mala",0.017,0.158,0.581,0.191,0.134,0.193,0.191
"P21","Mala",0.069,0.211,0.168,0.487,0.059,0.089,0.014
"P21","Muy mala",0.235,0.138,0.098,0.143,0.527,0.119,0.007
"P21","No lo conozco",0.095,0.028,0.058,0.014,0.02,0.408,0.259
"P21","No sabe",0,0.012,0,0.01,0.008,0.024,0.487
"P22","Muy buena",0.621,0.132,0.011,0.003,0.012,0.005,0.091
"P22","Buena",0.234,0.354,0.057,0.017,0.005,0.017,0
"P22","Ni buena ni mala",0,0.234,0.722,0.214,0.12,0.213,0.047
"P22","Mala",0.072,0.191,0.12,0.623,0.124,0.09,0.028
"P22","Muy mala",0.039,0.075,0.023,0.125,0.68,0.093,0.013
"P22","No lo conozco",0.034,0.014,0.067,0.012,0.059,0.555,0.27
"P22","No sabe",0,0,0,0.006,0,0.027,0.551
"P23","Muy buena",0.367,0.048,0.171,0.188,0.129,0.092,0.064
"P23","Buena",0.163,0.347,0.15,0.076,0.076,0.092,0.067
