"var","categoria","Muy buena","Buena","Ni buena ni mala","Mala","Muy mala","No lo conozco","No sabe"
"P09_imputada","Marcos Koopmann a gobernador y Ana Pechén a vicegobernadora por el Movimiento Nacional Neuquino",0.114,0.204,0.307,0.364,0.282,0.432,0.248
"P09_imputada","“Rolo” Figueroa a gobernador y Gloria Ruiz a vicegobernadora por el Comunidad y el Frente Neuquinizate",0.306,0.427,0.376,0.263,0.249,0.217,0.305
"P09_imputada","Ramón Rioseco a gobernador y Ayelén Gutiérrez a vicegobernadora por el Frente de Todos Neuquino",0.432,0.251,0.089,0.032,0.079,0.057,0.197
"P09_imputada","Pablo Cervi a gobernador y Jorge Taylor a vicegobernador por Juntos por el Cambio Neuquén",0.069,0.042,0.092,0.138,0.087,0.021,0.089
"P09_imputada","Carlos Eguía a gobernador y Catalina Uleri a vicegobernadora por Cumplir",0.05,0.053,0.12,0.191,0.236,0.231,0.161
"P09_imputada","Patricia Jure a gobernadora y Raúl Godoy a vicegobernador por el Frente de Izquierda Unidad",0.029,0.023,0.016,0.012,0.067,0.042,0
"P10_imputada","A Marcos Koopmann por el Movimiento Popular Neuquino con el apoyo de Jorge Sapag",0.14,0.152,0.376,0.416,0.297,0.398,0.297
"P10_imputada","A “Rolo” Figueroa por Comunidad y el Frente Neuquinizate con el apoyo del PRO, parte de la UCR, el Frente Grande y sectores del PJ",0.359,0.409,0.318,0.264,0.208,0.25,0.285
"P10_imputada","A Ramón Rioseco por el Frente de Todos Neuquino con el apoyo del PJ, Cristina Fernández de Kirchner y Libres del Sur",0.347,0.264,0.102,0.032,0.044,0.07,0.153
"P10_imputada","A Pablo Cervi por Juntos por el Cambio Neuquén con el apoyo de Martín Lousteau y parte de la UCR",0.077,0.041,0.109,0.134,0.124,0.095,0.056
"P10_imputada","A Carlos Eguía por Cumplir con el apoyo de Javier Milei",0.05,0.1,0.084,0.14,0.254,0.145,0.209
"P10_imputada","A Patricia Jure del Frente de Izquierda Unidad con apoyo de Nicolás del Caño",0.027,0.034,0.011,0.014,0.073,0.042,0
