"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Capital","Interior"
"Marcos Koopmann a gobernador y Ana Pechén a vicegobernadora por el Movimiento Nacional Neuquino",0.285,0.242,0.328,0.241,0.293,0.306,0.355,0.324,0.259,0.284,0.307,0.268
"“Rolo” Figueroa a gobernador y Gloria Ruiz a vicegobernadora por el Comunidad y el Frente Neuquinizate",0.305,0.305,0.305,0.356,0.299,0.3,0.178,0.197,0.367,0.331,0.253,0.347
"Ramón Rioseco a gobernador y Ayelén Gutiérrez a vicegobernadora por el Frente de Todos Neuquino",0.148,0.169,0.127,0.125,0.159,0.172,0.126,0.188,0.127,0.135,0.125,0.167
"Pablo Cervi a gobernador y Jorge Taylor a vicegobernador por Juntos por el Cambio Neuquén",0.087,0.102,0.071,0.084,0.068,0.082,0.181,0.107,0.072,0.087,0.106,0.07
"Carlos Eguía a gobernador y Catalina Uleri a vicegobernadora por Cumplir",0.144,0.154,0.135,0.16,0.144,0.118,0.146,0.157,0.146,0.124,0.185,0.111
"Patricia Jure a gobernadora y Raúl Godoy a vicegobernador por el Frente de Izquierda Unidad",0.031,0.028,0.034,0.034,0.037,0.022,0.014,0.027,0.029,0.039,0.024,0.037
