"var","categoria","Muy buena","Buena","Ni buena ni mala","Mala","Muy mala","No lo conozco","No sabe"
"P05","Del Frente de Todos y el peronismo",0.532,0.32,0.157,0.17,0.1,0.164,0.111
"P05","De Juntos por el cambio",0.114,0.162,0.265,0.273,0.294,0.037,0.24
"P05","De los Liberales libertarios",0.124,0.137,0.172,0.214,0.269,0.137,0.222
"P05","De la Izquierda",0.09,0.096,0.045,0.027,0.099,0.037,0
"P05","No sabe",0.14,0.285,0.361,0.316,0.238,0.625,0.427
"P06","A Alberto Fernández",0.566,0.154,0.23,0.298,0.361,0,0.55
"P06","A Sergio Massa",0.109,0.111,0.112,0.139,0,0.322,0
"P06","A algún candidato del peronismo",0.098,0.275,0.175,0.374,0.46,0.129,0
"P06","A algún candidato del kirchnerismo",0.227,0.46,0.483,0.189,0.179,0.549,0.45
"P07","A Alberto Fernández",0.498,0.122,0.16,0.171,0.699,0.39,0
"P07","A Sergio Massa",0.087,0.068,0.101,0.139,0.065,0.049,0
"P07","A algún candidato del peronismo",0.052,0.193,0.025,0.208,0,0,0
"P07","A Cristina Fernández de Kirchner",0.363,0.617,0.714,0.482,0.236,0.561,1
"P08","A Horacio Rodriguez Larreta",0.305,0.185,0.216,0.327,0.308,0.36,0.983
"P08","A Mauricio Macri",0.514,0.415,0.437,0.301,0.305,0.251,0
"P08","A Patricia Bullrich",0.063,0.387,0.213,0.281,0.327,0.389,0.017
"P08","A Facundo Manes",0.016,0.013,0.002,0.025,0.003,0,0
"P08","A Gerardo Morales",0.102,0,0.132,0.066,0.057,0,0
"P09","Marcos Koopmann a gobernador y Ana Pechén a vicegobernadora por el Movimiento Nacional Neuquino",0.114,0.181,0.283,0.327,0.232,0.295,0.064
"P09","“Rolo” Figueroa a gobernador y Gloria Ruiz a vicegobernadora por el Comunidad y el Frente Neuquinizate",0.281,0.417,0.341,0.247,0.206,0.189,0.135
"P09","Ramón Rioseco a gobernador y Ayelén Gutiérrez a vicegobernadora por el Frente de Todos Neuquino",0.432,0.231,0.074,0.028,0.063,0.048,0.197
"P09","Pablo Cervi a gobernador y Jorge Taylor a vicegobernador por Juntos por el Cambio Neuquén",0.069,0.042,0.076,0.134,0.087,0.021,0.043
"P09","Carlos Eguía a gobernador y Catalina Uleri a vicegobernadora por Cumplir",0.033,0.032,0.093,0.181,0.224,0.21,0.12
"P09","Patricia Jure a gobernadora y Raúl Godoy a vicegobernador por el Frente de Izquierda Unidad",0.029,0.023,0.016,0.012,0.067,0.027,0
"P09","No sabe",0.042,0.074,0.117,0.071,0.121,0.21,0.441
"P10","A Marcos Koopmann por el Movimiento Popular Neuquino con el apoyo de Jorge Sapag",0.129,0.137,0.332,0.396,0.234,0.303,0.268
"P10","A “Rolo” Figueroa por Comunidad y el Frente Neuquinizate con el apoyo del PRO, parte de la UCR, el Frente Grande y sectores del PJ",0.342,0.391,0.313,0.262,0.199,0.182,0.183
"P10","A Ramón Rioseco por el Frente de Todos Neuquino con el apoyo del PJ, Cristina Fernández de Kirchner y Libres del Sur",0.347,0.222,0.088,0.03,0.015,0.048,0.099
"P10","A Pablo Cervi por Juntos por el Cambio Neuquén con el apoyo de Martín Lousteau y parte de la UCR",0.077,0.041,0.09,0.132,0.124,0.082,0.011
"P10","A Carlos Eguía por Cumplir con el apoyo de Javier Milei",0.032,0.09,0.082,0.125,0.232,0.111,0.036
"P10","A Patricia Jure del Frente de Izquierda Unidad con apoyo de Nicolás del Caño",0.027,0.023,0.005,0.014,0.071,0.027,0
"P10","No sabe",0.046,0.096,0.09,0.041,0.125,0.247,0.403
"P11","Lo votaría",0.259,0.171,0.333,0.424,0.219,0.359,0.32
"P11","Puede que lo vote",0.105,0.167,0.183,0.1,0.123,0.098,0.058
"P11","Nunca lo votaría",0.487,0.418,0.367,0.394,0.589,0.296,0.161
"P11","No sabe",0.149,0.244,0.117,0.082,0.069,0.247,0.461
"P12","Lo votaría",0.432,0.377,0.364,0.298,0.228,0.213,0.11
"P12","Puede que lo vote",0.074,0.251,0.174,0.08,0.135,0.112,0.169
"P12","Nunca lo votaría",0.318,0.198,0.359,0.552,0.58,0.42,0.094
"P12","No sabe",0.176,0.174,0.103,0.07,0.057,0.255,0.627
"P13","Lo votaría",0.705,0.254,0.056,0.063,0.025,0.136,0.197
"P13","Puede que lo vote",0.132,0.426,0.166,0.015,0.038,0.094,0.058
"P13","Nunca lo votaría",0.11,0.179,0.644,0.869,0.92,0.355,0.01
"P13","No sabe",0.053,0.141,0.134,0.053,0.017,0.415,0.735
"P14","Lo votaría",0.249,0.027,0.068,0.09,0.111,0.071,0
"P14","Puede que lo vote",0.127,0.315,0.162,0.108,0.125,0.14,0.056
"P14","Nunca lo votaría",0.509,0.475,0.603,0.705,0.682,0.37,0.263
"P14","No sabe",0.115,0.183,0.167,0.097,0.082,0.419,0.681
"P15","Lo votaría",0.26,0.029,0.085,0.168,0.179,0.138,0.021
"P15","Puede que lo vote",0.083,0.268,0.16,0.068,0.157,0.14,0
"P15","Nunca lo votaría",0.507,0.516,0.581,0.652,0.602,0.334,0.274
"P15","No sabe",0.15,0.187,0.174,0.112,0.062,0.388,0.705
"P16","Lo votaría",0.219,0.058,0.033,0.057,0.057,0.115,0
"P16","Puede que lo vote",0.105,0.225,0.094,0.092,0.087,0.065,0
