"var","categoria","Positiva","Neutra","Negativa","No lo conozco","No sabe"
"P05","Del Frente de Todos y el peronismo",0.298,0.232,0.234,0.192,0.127
"P05","De Juntos por el cambio",0.382,0.267,0.18,0.14,0.139
"P05","De los Liberales libertarios",0.174,0.161,0.22,0.179,0.144
"P05","De la Izquierda",0.014,0.057,0.114,0.046,0.031
"P05","No sabe",0.132,0.283,0.252,0.443,0.559
"P06","A Alberto Fernández",0.689,0.223,0.268,0.375,0.385
"P06","A Sergio Massa",0.028,0.139,0.115,0.092,0.179
"P06","A algún candidato del peronismo",0.085,0.279,0.21,0.179,0
"P06","A algún candidato del kirchnerismo",0.198,0.359,0.407,0.354,0.436
"P07","A Alberto Fernández",0.617,0.165,0.337,0.38,0
"P07","A Sergio Massa",0.079,0.1,0.059,0.037,0.179
"P07","A algún candidato del peronismo",0.123,0.147,0.042,0.042,0
"P07","A Cristina Fernández de Kirchner",0.181,0.588,0.562,0.541,0.821
"P08","A Horacio Rodriguez Larreta",0.284,0.219,0.29,0.395,0.591
"P08","A Mauricio Macri",0.43,0.315,0.337,0.269,0.291
"P08","A Patricia Bullrich",0.236,0.296,0.302,0.329,0.118
"P08","A Facundo Manes",0.034,0.008,0.004,0.007,0
"P08","A Gerardo Morales",0.016,0.162,0.067,0,0
"P09","Marcos Koopmann a gobernador y Ana Pechén a vicegobernadora por el Movimiento Nacional Neuquino",0.158,0.242,0.258,0.287,0.132
"P09","“Rolo” Figueroa a gobernador y Gloria Ruiz a vicegobernadora por el Comunidad y el Frente Neuquinizate",0.341,0.3,0.312,0.262,0.144
"P09","Ramón Rioseco a gobernador y Ayelén Gutiérrez a vicegobernadora por el Frente de Todos Neuquino",0.109,0.145,0.117,0.133,0.133
"P09","Pablo Cervi a gobernador y Jorge Taylor a vicegobernador por Juntos por el Cambio Neuquén",0.247,0.082,0.047,0.049,0
"P09","Carlos Eguía a gobernador y Catalina Uleri a vicegobernadora por Cumplir",0.118,0.125,0.143,0.075,0.237
"P09","Patricia Jure a gobernadora y Raúl Godoy a vicegobernador por el Frente de Izquierda Unidad",0.016,0.009,0.063,0.025,0.007
"P09","No sabe",0.011,0.097,0.06,0.169,0.347
"P10","A Marcos Koopmann por el Movimiento Popular Neuquino con el apoyo de Jorge Sapag",0.082,0.297,0.286,0.288,0.211
"P10","A “Rolo” Figueroa por Comunidad y el Frente Neuquinizate con el apoyo del PRO, parte de la UCR, el Frente Grande y sectores del PJ",0.358,0.302,0.283,0.253,0.137
"P10","A Ramón Rioseco por el Frente de Todos Neuquino con el apoyo del PJ, Cristina Fernández de Kirchner y Libres del Sur",0.081,0.129,0.129,0.11,0.089
"P10","A Pablo Cervi por Juntos por el Cambio Neuquén con el apoyo de Martín Lousteau y parte de la UCR",0.361,0.102,0.058,0.048,0.041
"P10","A Carlos Eguía por Cumplir con el apoyo de Javier Milei",0.101,0.088,0.14,0.1,0.084
"P10","A Patricia Jure del Frente de Izquierda Unidad con apoyo de Nicolás del Caño",0.014,0.006,0.057,0.027,0.007
"P10","No sabe",0.003,0.076,0.047,0.174,0.431
"P11","Lo votaría",0.285,0.349,0.291,0.277,0.286
"P11","Puede que lo vote",0.204,0.174,0.055,0.125,0.175
"P11","Nunca lo votaría",0.378,0.381,0.594,0.401,0.109
"P11","No sabe",0.133,0.096,0.06,0.197,0.43
"P12","Lo votaría",0.435,0.337,0.343,0.254,0.171
"P12","Puede que lo vote",0.152,0.156,0.102,0.144,0.179
"P12","Nunca lo votaría",0.362,0.42,0.506,0.379,0.067
"P12","No sabe",0.051,0.087,0.049,0.223,0.583
"P13","Lo votaría",0.36,0.13,0.169,0.176,0.14
"P13","Puede que lo vote",0.187,0.158,0.101,0.134,0.163
"P13","Nunca lo votaría",0.418,0.642,0.686,0.457,0.17
"P13","No sabe",0.035,0.07,0.044,0.233,0.527
"P14","Lo votaría",0.385,0.068,0.076,0.063,0.01
"P14","Puede que lo vote",0.42,0.179,0.056,0.132,0.14
"P14","Nunca lo votaría",0.134,0.605,0.804,0.541,0.285
"P14","No sabe",0.061,0.148,0.064,0.264,0.565
"P15","Lo votaría",0.353,0.109,0.148,0.075,0.095
"P15","Puede que lo vote",0.308,0.169,0.056,0.163,0.038
"P15","Nunca lo votaría",0.243,0.563,0.752,0.52,0.298
"P15","No sabe",0.096,0.159,0.044,0.242,0.569
"P16","Lo votaría",0.292,0.058,0.061,0.036,0.044
"P16","Puede que lo vote",0.173,0.138,0.056,0.089,0.041
"P16","Nunca lo votaría",0.419,0.62,0.846,0.594,0.275
"P16","No sabe",0.116,0.184,0.037,0.281,0.64
"P17","Positiva",0.543,0.331,0.244,0.341,0.275
"P17","Neutra",0.209,0.428,0.233,0.19,0.225
"P17","Negativa",0.201,0.204,0.485,0.22,0.067
"P17","No lo conozco",0.041,0.026,0.038,0.235,0.281
"P17","No sabe",0.006,0.011,0,0.014,0.152
"P18","Positiva",0.608,0.391,0.383,0.309,0.215
"P18","Neutra",0.127,0.392,0.145,0.221,0.22
"P18","Negativa",0.224,0.205,0.464,0.221,0.067
"P18","No lo conozco",0.041,0.011,0.008,0.184,0.091
"P18","No sabe",0,0.001,0,0.065,0.407
"P19","Positiva",0.488,0.253,0.155,0.298,0.117
"P19","Neutra",0.146,0.479,0.236,0.24,0.163
"P19","Negativa",0.266,0.257,0.599,0.244,0.169
"P19","No lo conozco",0.1,0.01,0.01,0.207,0.127
"P19","No sabe",0,0.001,0,0.011,0.424
"P20","Positiva",0.763,0.175,0.097,0.065,0.048
"P20","Neutra",0.112,0.649,0.198,0.229,0.173
"P20","Negativa",0.108,0.131,0.656,0.165,0.087
"P20","No lo conozco",0.017,0.027,0.038,0.503,0.181
"P20","No sabe",0,0.018,0.011,0.038,0.511
"P21","Positiva",0.632,0.149,0.125,0.145,0.059
"P21","Neutra",0.196,0.581,0.126,0.126,0.104
"P21","Negativa",0.154,0.201,0.733,0.235,0.155
"P21","No lo conozco",0.018,0.055,0.012,0.471,0.216
"P21","No sabe",0,0.014,0.004,0.023,0.466
"P22","Positiva",0.458,0.09,0.057,0.058,0.026
"P22","Neutra",0.178,0.628,0.163,0.176,0.166
"P22","Negativa",0.304,0.198,0.751,0.163,0.1
"P22","No lo conozco",0.056,0.06,0.029,0.586,0.237
"P22","No sabe",0.004,0.024,0,0.017,0.471
"P23","Positiva",0.524,0.264,0.238,0.196,0.175
"P23","Neutra",0.206,0.487,0.097,0.232,0.187
"P23","Negativa",0.199,0.201,0.649,0.25,0.077
"P23","No lo conozco",0.071,0.041,0.016,0.272,0.196
"P23","No sabe",0,0.007,0,0.05,0.365
"P24","Positiva",0.489,0.179,0.188,0.128,0.106
"P24","Neutra",0.225,0.567,0.112,0.141,0.142
"P24","Negativa",0.153,0.144,0.635,0.095,0.015
"P24","No lo conozco",0.129,0.097,0.06,0.592,0.259
"P24","No sabe",0.004,0.013,0.005,0.044,0.478
"P25","Positiva",0.573,0.1,0.069,0.093,0.013
"P25","Neutra",0.156,0.706,0.126,0.091,0.069
"P25","Negativa",0.126,0.093,0.731,0.063,0.041
"P25","No lo conozco",0.135,0.079,0.065,0.752,0.225
"P25","No sabe",0.01,0.022,0.009,0.001,0.652
"P27","Positiva",0.521,0.043,0.017,0.01,0
"P27","Neutra",0.16,0.699,0.119,0.016,0.011
"P27","Negativa",0.07,0.101,0.688,0.012,0.025
"P27","No lo conozco",0.22,0.147,0.167,0.923,0.237
"P27","No sabe",0.029,0.01,0.009,0.039,0.727
"P28","Positiva",0.503,0.082,0.09,0.052,0.036
"P28","Neutra",0.128,0.613,0.102,0.09,0.08
"P28","Negativa",0.198,0.176,0.713,0.117,0.126
"P28","No lo conozco",0.157,0.087,0.091,0.716,0.161
"P28","No sabe",0.014,0.042,0.004,0.025,0.597
