"var","categoria","Muy buena","Buena","Ni buena ni mala","Mala","Muy mala","No lo conozco","No sabe"
"P05","Del Frente de Todos y el peronismo",0.21,0.12,0.171,0.229,0.411,0.168,0.08
"P05","De Juntos por el cambio",0.268,0.25,0.293,0.251,0.153,0.082,0.115
"P05","De los Liberales libertarios",0.456,0.426,0.178,0.095,0.082,0.11,0.179
"P05","De la Izquierda",0.004,0.038,0.052,0.054,0.133,0.059,0.03
"P05","No sabe",0.062,0.166,0.306,0.371,0.221,0.581,0.596
"P06","A Alberto Fernández",1,0.5,0.282,0.294,0.179,0.366,0
"P06","A Sergio Massa",0,0,0.138,0.168,0.106,0.19,0.133
"P06","A algún candidato del peronismo",0,0.234,0.275,0.174,0.263,0.144,0.32
"P06","A algún candidato del kirchnerismo",0,0.266,0.305,0.364,0.452,0.3,0.547
"P07","A Alberto Fernández",1,0.357,0.224,0.2,0.18,0.518,0
"P07","A Sergio Massa",0,0,0.124,0.138,0.081,0.036,0.133
"P07","A algún candidato del peronismo",0,0.16,0.108,0.128,0.089,0,0
"P07","A Cristina Fernández de Kirchner",0,0.483,0.544,0.534,0.65,0.446,0.867
"P08","A Horacio Rodriguez Larreta",0.371,0.198,0.173,0.443,0.441,0.05,0.898
"P08","A Mauricio Macri",0.325,0.357,0.384,0.269,0.254,0.429,0.102
"P08","A Patricia Bullrich",0.304,0.303,0.313,0.221,0.194,0.473,0
"P08","A Facundo Manes",0,0.015,0.018,0,0.006,0.022,0
"P08","A Gerardo Morales",0,0.127,0.112,0.067,0.105,0.026,0
"P09","Marcos Koopmann a gobernador y Ana Pechén a vicegobernadora por el Movimiento Nacional Neuquino",0.15,0.117,0.264,0.34,0.233,0.302,0.044
"P09","“Rolo” Figueroa a gobernador y Gloria Ruiz a vicegobernadora por el Comunidad y el Frente Neuquinizate",0.242,0.342,0.289,0.344,0.315,0.226,0.144
"P09","Ramón Rioseco a gobernador y Ayelén Gutiérrez a vicegobernadora por el Frente de Todos Neuquino",0.087,0.079,0.146,0.085,0.159,0.142,0.179
"P09","Pablo Cervi a gobernador y Jorge Taylor a vicegobernador por Juntos por el Cambio Neuquén",0.072,0.142,0.093,0.072,0.073,0.046,0.026
"P09","Carlos Eguía a gobernador y Catalina Uleri a vicegobernadora por Cumplir",0.441,0.234,0.092,0.084,0.044,0.061,0.136
"P09","Patricia Jure a gobernadora y Raúl Godoy a vicegobernador por el Frente de Izquierda Unidad",0.003,0.021,0.007,0.012,0.083,0.036,0.024
"P09","No sabe",0.005,0.065,0.109,0.063,0.093,0.187,0.447
"P10","A Marcos Koopmann por el Movimiento Popular Neuquino con el apoyo de Jorge Sapag",0.101,0.136,0.312,0.408,0.238,0.271,0.249
"P10","A “Rolo” Figueroa por Comunidad y el Frente Neuquinizate con el apoyo del PRO, parte de la UCR, el Frente Grande y sectores del PJ",0.277,0.292,0.284,0.36,0.294,0.219,0.177
