"var","categoria","Muy buena","Buena","Ni buena ni mala","Mala","Muy mala","No lo conozco","No sabe"
"P09_imputada","Marcos Koopmann a gobernador y Ana Pechén a vicegobernadora por el Movimiento Nacional Neuquino",0.68,0.445,0.171,0.107,0.022,0.216,0.182
"P09_imputada","“Rolo” Figueroa a gobernador y Gloria Ruiz a vicegobernadora por el Comunidad y el Frente Neuquinizate",0.106,0.222,0.357,0.468,0.49,0.313,0.202
"P09_imputada","Ramón Rioseco a gobernador y Ayelén Gutiérrez a vicegobernadora por el Frente de Todos Neuquino",0.045,0.142,0.189,0.091,0.204,0.187,0.315
"P09_imputada","Pablo Cervi a gobernador y Jorge Taylor a vicegobernador por Juntos por el Cambio Neuquén",0.078,0.099,0.093,0.101,0.063,0.055,0.061
"P09_imputada","Carlos Eguía a gobernador y Catalina Uleri a vicegobernadora por Cumplir",0.087,0.053,0.172,0.217,0.134,0.187,0.24
"P09_imputada","Patricia Jure a gobernadora y Raúl Godoy a vicegobernador por el Frente de Izquierda Unidad",0.004,0.039,0.018,0.016,0.087,0.042,0
"P10_imputada","A Marcos Koopmann por el Movimiento Popular Neuquino con el apoyo de Jorge Sapag",0.764,0.502,0.192,0.123,0.061,0.152,0
"P10_imputada","A “Rolo” Figueroa por Comunidad y el Frente Neuquinizate con el apoyo del PRO, parte de la UCR, el Frente Grande y sectores del PJ",0.124,0.195,0.327,0.459,0.416,0.345,0.429
"P10_imputada","A Ramón Rioseco por el Frente de Todos Neuquino con el apoyo del PJ, Cristina Fernández de Kirchner y Libres del Sur",0.038,0.098,0.175,0.084,0.188,0.176,0.33
"P10_imputada","A Pablo Cervi por Juntos por el Cambio Neuquén con el apoyo de Martín Lousteau y parte de la UCR",0.042,0.095,0.138,0.13,0.112,0.086,0
"P10_imputada","A Carlos Eguía por Cumplir con el apoyo de Javier Milei",0.021,0.075,0.163,0.173,0.134,0.201,0.241
"P10_imputada","A Patricia Jure del Frente de Izquierda Unidad con apoyo de Nicolás del Caño",0.011,0.035,0.005,0.031,0.089,0.04,0
