"var","categoria","Positiva","Neutra","Negativa","No lo conozco","No sabe"
"P05","Del Frente de Todos y el peronismo",0.33,0.217,0.19,0.251,0.097
"P05","De Juntos por el cambio",0.237,0.272,0.217,0.188,0.126
"P05","De los Liberales libertarios",0.212,0.149,0.212,0.171,0.246
"P05","De la Izquierda",0.061,0.04,0.141,0.038,0.041
"P05","No sabe",0.16,0.322,0.24,0.352,0.49
"P06","A Alberto Fernández",0.772,0.22,0.353,0.297,0.38
"P06","A Sergio Massa",0,0.164,0.129,0.094,0.071
"P06","A algún candidato del peronismo",0.064,0.244,0.24,0.207,0
"P06","A algún candidato del kirchnerismo",0.164,0.372,0.278,0.402,0.549
"P07","A Alberto Fernández",0.723,0.156,0.381,0.309,0
"P07","A Sergio Massa",0.05,0.124,0.074,0.048,0.071
"P07","A algún candidato del peronismo",0.063,0.119,0.12,0.06,0
"P07","A Cristina Fernández de Kirchner",0.164,0.601,0.425,0.583,0.929
"P08","A Horacio Rodriguez Larreta",0.38,0.212,0.308,0.269,0.863
"P08","A Mauricio Macri",0.488,0.238,0.387,0.378,0.054
"P08","A Patricia Bullrich",0.123,0.355,0.233,0.322,0.083
"P08","A Facundo Manes",0,0.028,0,0.007,0
"P08","A Gerardo Morales",0.009,0.167,0.072,0.024,0
"P09","Marcos Koopmann a gobernador y Ana Pechén a vicegobernadora por el Movimiento Nacional Neuquino",0.152,0.251,0.248,0.269,0.113
"P09","“Rolo” Figueroa a gobernador y Gloria Ruiz a vicegobernadora por el Comunidad y el Frente Neuquinizate",0.405,0.3,0.289,0.279,0.173
"P09","Ramón Rioseco a gobernador y Ayelén Gutiérrez a vicegobernadora por el Frente de Todos Neuquino",0.142,0.141,0.082,0.146,0.15
"P09","Pablo Cervi a gobernador y Jorge Taylor a vicegobernador por Juntos por el Cambio Neuquén",0.166,0.084,0.096,0.052,0
"P09","Carlos Eguía a gobernador y Catalina Uleri a vicegobernadora por Cumplir",0.108,0.126,0.143,0.1,0.153
"P09","Patricia Jure a gobernadora y Raúl Godoy a vicegobernador por el Frente de Izquierda Unidad",0.027,0.016,0.057,0.025,0
"P09","No sabe",0,0.082,0.085,0.129,0.411
"P10","A Marcos Koopmann por el Movimiento Popular Neuquino con el apoyo de Jorge Sapag",0.1,0.327,0.265,0.243,0.248
"P10","A “Rolo” Figueroa por Comunidad y el Frente Neuquinizate con el apoyo del PRO, parte de la UCR, el Frente Grande y sectores del PJ",0.363,0.277,0.287,0.291,0.127
"P10","A Ramón Rioseco por el Frente de Todos Neuquino con el apoyo del PJ, Cristina Fernández de Kirchner y Libres del Sur",0.09,0.14,0.077,0.138,0.064
"P10","A Pablo Cervi por Juntos por el Cambio Neuquén con el apoyo de Martín Lousteau y parte de la UCR",0.29,0.114,0.079,0.075,0.021
"P10","A Carlos Eguía por Cumplir con el apoyo de Javier Milei",0.134,0.084,0.158,0.099,0.039
"P10","A Patricia Jure del Frente de Izquierda Unidad con apoyo de Nicolás del Caño",0.023,0.01,0.063,0.019,0.012
"P10","No sabe",0,0.048,0.071,0.135,0.489
"P11","Lo votaría",0.354,0.345,0.295,0.267,0.284
"P11","Puede que lo vote",0.282,0.176,0.072,0.101,0.153
"P11","Nunca lo votaría",0.208,0.384,0.594,0.448,0.19
"P11","No sabe",0.156,0.095,0.039,0.184,0.373
"P12","Lo votaría",0.523,0.331,0.307,0.298,0.2
"P12","Puede que lo vote",0.146,0.151,0.123,0.129,0.132
"P12","Nunca lo votaría",0.255,0.434,0.545,0.381,0.096
"P12","No sabe",0.076,0.084,0.025,0.192,0.572
"P13","Lo votaría",0.454,0.143,0.12,0.187,0.16
"P13","Puede que lo vote",0.162,0.148,0.104,0.142,0.14
"P13","Nunca lo votaría",0.327,0.65,0.74,0.478,0.208
"P13","No sabe",0.057,0.059,0.036,0.193,0.492
"P14","Lo votaría",0.431,0.052,0.105,0.074,0.011
"P14","Puede que lo vote",0.343,0.175,0.075,0.16,0.136
"P14","Nunca lo votaría",0.197,0.628,0.764,0.541,0.29
"P14","No sabe",0.029,0.145,0.056,0.225,0.563
"P15","Lo votaría",0.506,0.081,0.171,0.097,0.018
"P15","Puede que lo vote",0.35,0.147,0.067,0.156,0.136
"P15","Nunca lo votaría",0.121,0.612,0.713,0.548,0.269
