"var","categoria","Muy buena","Buena","Ni buena ni mala","Mala","Muy mala","No lo conozco","No sabe"
"P18","Muy mala",0.264,0.082,0.042,0.118,0.507,0.108,0
"P18","No lo conozco",0,0.035,0.027,0.007,0.03,0.223,0.076
"P18","No sabe",0.015,0,0.012,0,0.007,0.073,0.484
"P19","Muy buena",0.438,0.161,0.099,0.101,0.117,0.143,0.179
"P19","Buena",0.117,0.335,0.144,0.068,0.031,0.15,0.008
"P19","Ni buena ni mala",0.182,0.247,0.522,0.211,0.133,0.24,0.123
"P19","Mala",0.068,0.12,0.16,0.469,0.089,0.058,0.059
"P19","Muy mala",0.113,0.08,0.049,0.148,0.588,0.109,0.014
"P19","No lo conozco",0.082,0.051,0.017,0.003,0.033,0.289,0.084
"P19","No sabe",0,0.006,0.009,0,0.009,0.011,0.533
"P20","Muy buena",0.404,0.142,0.042,0.067,0.072,0.036,0.026
"P20","Buena",0.026,0.341,0.104,0.135,0.095,0.056,0
"P20","Ni buena ni mala",0.15,0.198,0.654,0.266,0.151,0.177,0.085
"P20","Mala",0.16,0.105,0.094,0.42,0.089,0.049,0.024
"P20","Muy mala",0.141,0.081,0.047,0.074,0.504,0.036,0.014
"P20","No lo conozco",0.104,0.128,0.042,0.031,0.089,0.576,0.169
"P20","No sabe",0.015,0.005,0.017,0.007,0,0.07,0.682
"P21","Muy buena",0.425,0.06,0.056,0.1,0.087,0.06,0
"P21","Buena",0,0.48,0.085,0.082,0.103,0.065,0
"P21","Ni buena ni mala",0.253,0.14,0.61,0.152,0.075,0.076,0.097
"P21","Mala",0.101,0.043,0.113,0.547,0.068,0.067,0.011
"P21","Muy mala",0.19,0.223,0.089,0.101,0.629,0.068,0
"P21","No lo conozco",0.02,0.054,0.046,0.016,0.03,0.636,0.104
"P21","No sabe",0.011,0,0.001,0.002,0.008,0.028,0.788
"P23","Muy buena",0.443,0.127,0.115,0.192,0.166,0.067,0
"P23","Buena",0.123,0.424,0.163,0.078,0.02,0.103,0.083
"P23","Ni buena ni mala",0.067,0.16,0.564,0.133,0.071,0.213,0.018
"P23","Mala",0.059,0.094,0.082,0.515,0.046,0.118,0.075
"P23","Muy mala",0.122,0.102,0.044,0.08,0.648,0.072,0.074
