"var","categoria","A Marcos Koopmann por el Movimiento Popular Neuquino con el apoyo de Jorge Sapag","A “Rolo” Figueroa por Comunidad y el Frente Neuquinizate con el apoyo del PRO, parte de la UCR, el Frente Grande y sectores del PJ","A Ramón Rioseco por el Frente de Todos Neuquino con el apoyo del PJ, Cristina Fernández de Kirchner y Libres del Sur","A Pablo Cervi por Juntos por el Cambio Neuquén con el apoyo de Martín Lousteau y parte de la UCR","A Carlos Eguía por Cumplir con el apoyo de Javier Milei","A Patricia Jure del Frente de Izquierda Unidad con apoyo de Nicolás del Caño","No sabe"
"P05","Del Frente de Todos y el peronismo",0.198,0.239,0.552,0.196,0.01,0.197,0.032
"P05","De Juntos por el cambio",0.244,0.286,0.046,0.481,0.072,0,0.054
"P05","De los Liberales libertarios",0.074,0.179,0.099,0.176,0.657,0.012,0.103
"P05","De la Izquierda",0.034,0.05,0.098,0.009,0.041,0.715,0.04
"P05","No sabe",0.45,0.246,0.205,0.138,0.22,0.076,0.771
"P06","A Alberto Fernández",0.349,0.333,0.329,0.535,1,0.565,0.856
"P06","A Sergio Massa",0.169,0.115,0.113,0.035,0,0,0.099
"P06","A algún candidato del peronismo",0.222,0.199,0.136,0.287,0,0.238,0
"P06","A algún candidato del kirchnerismo",0.26,0.353,0.422,0.143,0,0.197,0.045
"P07","A Alberto Fernández",0.332,0.292,0.241,0.589,1,0.565,0.394
"P07","A Sergio Massa",0.13,0.086,0.072,0.178,0,0,0
"P07","A algún candidato del peronismo",0.066,0.16,0.048,0.046,0,0.238,0
"P07","A Cristina Fernández de Kirchner",0.472,0.462,0.639,0.187,0,0.197,0.606
"P08","A Horacio Rodriguez Larreta",0.312,0.321,0,0.111,0.18,0,0.07
"P08","A Mauricio Macri",0.409,0.363,0.607,0.348,0.695,0,0.54
"P08","A Patricia Bullrich",0.223,0.253,0.393,0.375,0.125,0,0.257
"P08","A Facundo Manes",0,0.02,0,0.015,0,0,0.133
"P08","A Gerardo Morales",0.056,0.043,0,0.151,0,0,0
"P09","Marcos Koopmann a gobernador y Ana Pechén a vicegobernadora por el Movimiento Nacional Neuquino",0.712,0.077,0.089,0.137,0.038,0.046,0.078
"P09","“Rolo” Figueroa a gobernador y Gloria Ruiz a vicegobernadora por el Comunidad y el Frente Neuquinizate",0.073,0.768,0.102,0.149,0.104,0.021,0.066
"P09","Ramón Rioseco a gobernador y Ayelén Gutiérrez a vicegobernadora por el Frente de Todos Neuquino",0.055,0.075,0.626,0.177,0.045,0,0.013
"P09","Pablo Cervi a gobernador y Jorge Taylor a vicegobernador por Juntos por el Cambio Neuquén",0.043,0.029,0.057,0.473,0.027,0.014,0.03
"P09","Carlos Eguía a gobernador y Catalina Uleri a vicegobernadora por Cumplir",0.089,0.025,0.043,0.039,0.607,0.032,0.06
"P09","Patricia Jure a gobernadora y Raúl Godoy a vicegobernador por el Frente de Izquierda Unidad",0.002,0.002,0.017,0.005,0.01,0.802,0.023
"P09","No sabe",0.026,0.024,0.066,0.02,0.169,0.085,0.73
"P11","Lo votaría",0.757,0.103,0.135,0.203,0.117,0,0.12
"P11","Puede que lo vote",0.141,0.124,0.092,0.258,0.132,0,0.124
"P11","Nunca lo votaría",0.061,0.632,0.549,0.388,0.569,0.94,0.282
"P11","No sabe",0.041,0.141,0.224,0.151,0.182,0.06,0.474
"P12","Lo votaría",0.147,0.761,0.136,0.259,0.101,0.023,0.076
"P12","Puede que lo vote",0.199,0.099,0.172,0.152,0.171,0.03,0.116
"P12","Nunca lo votaría",0.545,0.078,0.469,0.468,0.568,0.887,0.306
"P12","No sabe",0.109,0.062,0.223,0.121,0.16,0.06,0.502
"P13","Lo votaría",0.092,0.188,0.61,0.198,0.031,0.14,0.037
"P13","Puede que lo vote",0.118,0.173,0.194,0.094,0.136,0.125,0.097
"P13","Nunca lo votaría",0.676,0.532,0.1,0.599,0.697,0.675,0.408
"P13","No sabe",0.114,0.107,0.096,0.109,0.136,0.06,0.458
"P14","Lo votaría",0.048,0.099,0.129,0.364,0.045,0,0.021
"P14","Puede que lo vote",0.15,0.171,0.105,0.237,0.185,0.014,0.09
"P14","Nunca lo votaría",0.645,0.604,0.608,0.223,0.647,0.903,0.376
"P14","No sabe",0.157,0.126,0.158,0.176,0.123,0.083,0.513
"P15","Lo votaría",0.047,0.098,0.102,0.168,0.571,0.017,0.017
"P15","Puede que lo vote",0.155,0.168,0.033,0.184,0.139,0.044,0.143
"P15","Nunca lo votaría",0.657,0.616,0.651,0.401,0.146,0.855,0.399
"P15","No sabe",0.141,0.118,0.214,0.247,0.144,0.084,0.441
"P16","Lo votaría",0.04,0.079,0.084,0.113,0.049,0.525,0
"P16","Puede que lo vote",0.115,0.104,0.093,0.191,0.089,0.123,0.058
