"var","categoria","Muy buena","Buena","Ni buena ni mala","Mala","Muy mala","No lo conozco","No sabe"
"P09_imputada","Marcos Koopmann a gobernador y Ana Pechén a vicegobernadora por el Movimiento Nacional Neuquino",0.14,0.146,0.304,0.341,0.175,0.359,0.231
"P09_imputada","“Rolo” Figueroa a gobernador y Gloria Ruiz a vicegobernadora por el Comunidad y el Frente Neuquinizate",0.304,0.439,0.303,0.323,0.413,0.264,0.305
"P09_imputada","Ramón Rioseco a gobernador y Ayelén Gutiérrez a vicegobernadora por el Frente de Todos Neuquino",0.052,0.272,0.173,0.067,0.107,0.137,0.184
"P09_imputada","Pablo Cervi a gobernador y Jorge Taylor a vicegobernador por Juntos por el Cambio Neuquén",0.218,0.065,0.069,0.077,0.097,0.089,0.036
"P09_imputada","Carlos Eguía a gobernador y Catalina Uleri a vicegobernadora por Cumplir",0.115,0.039,0.142,0.175,0.166,0.127,0.201
"P09_imputada","Patricia Jure a gobernadora y Raúl Godoy a vicegobernador por el Frente de Izquierda Unidad",0.171,0.039,0.009,0.017,0.042,0.024,0.043
"P10_imputada","A Marcos Koopmann por el Movimiento Popular Neuquino con el apoyo de Jorge Sapag",0.085,0.076,0.387,0.382,0.21,0.318,0.34
"P10_imputada","A “Rolo” Figueroa por Comunidad y el Frente Neuquinizate con el apoyo del PRO, parte de la UCR, el Frente Grande y sectores del PJ",0.311,0.469,0.304,0.322,0.283,0.258,0.243
"P10_imputada","A Ramón Rioseco por el Frente de Todos Neuquino con el apoyo del PJ, Cristina Fernández de Kirchner y Libres del Sur",0.153,0.163,0.147,0.075,0.156,0.119,0.176
"P10_imputada","A Pablo Cervi por Juntos por el Cambio Neuquén con el apoyo de Martín Lousteau y parte de la UCR",0.226,0.16,0.095,0.065,0.094,0.124,0.081
"P10_imputada","A Carlos Eguía por Cumplir con el apoyo de Javier Milei",0.017,0.074,0.057,0.156,0.215,0.158,0.136
"P10_imputada","A Patricia Jure del Frente de Izquierda Unidad con apoyo de Nicolás del Caño",0.208,0.058,0.01,0,0.042,0.023,0.024
