"var","categoria","Positiva","Neutra","Negativa","No lo conozco","No sabe"
"P05","Del Frente de Todos y el peronismo",0.209,0.207,0.267,0.202,0.15
"P05","De Juntos por el cambio",0.447,0.204,0.159,0.093,0.234
"P05","De los Liberales libertarios",0.156,0.203,0.207,0.146,0.142
"P05","De la Izquierda",0.041,0.052,0.103,0.049,0
"P05","No sabe",0.147,0.334,0.264,0.51,0.474
"P06","A Alberto Fernández",0.593,0.294,0.295,0.25,0.279
"P06","A Sergio Massa",0.098,0.119,0.124,0.116,0.101
"P06","A algún candidato del peronismo",0.167,0.25,0.165,0.292,0.114
"P06","A algún candidato del kirchnerismo",0.142,0.337,0.416,0.342,0.506
"P07","A Alberto Fernández",0.597,0.274,0.255,0.276,0.165
"P07","A Sergio Massa",0.047,0.081,0.129,0.018,0.101
"P07","A algún candidato del peronismo",0.062,0.14,0.084,0,0.042
"P07","A Cristina Fernández de Kirchner",0.294,0.505,0.532,0.706,0.692
"P08","A Horacio Rodriguez Larreta",0.248,0.236,0.469,0.071,0.588
"P08","A Mauricio Macri",0.387,0.316,0.246,0.746,0.308
"P08","A Patricia Bullrich",0.281,0.289,0.214,0.171,0.104
"P08","A Facundo Manes",0.02,0.003,0.003,0.012,0
"P08","A Gerardo Morales",0.064,0.156,0.068,0,0
"P09","Marcos Koopmann a gobernador y Ana Pechén a vicegobernadora por el Movimiento Nacional Neuquino",0.134,0.252,0.29,0.281,0.191
"P09","“Rolo” Figueroa a gobernador y Gloria Ruiz a vicegobernadora por el Comunidad y el Frente Neuquinizate",0.347,0.317,0.26,0.235,0.168
"P09","Ramón Rioseco a gobernador y Ayelén Gutiérrez a vicegobernadora por el Frente de Todos Neuquino",0.151,0.135,0.104,0.132,0.167
"P09","Pablo Cervi a gobernador y Jorge Taylor a vicegobernador por Juntos por el Cambio Neuquén",0.241,0.056,0.038,0.034,0
"P09","Carlos Eguía a gobernador y Catalina Uleri a vicegobernadora por Cumplir",0.088,0.123,0.158,0.122,0.098
"P09","Patricia Jure a gobernadora y Raúl Godoy a vicegobernador por el Frente de Izquierda Unidad",0.01,0.014,0.054,0.029,0.02
"P09","No sabe",0.029,0.103,0.096,0.167,0.356
"P10","A Marcos Koopmann por el Movimiento Popular Neuquino con el apoyo de Jorge Sapag",0.129,0.306,0.317,0.282,0.249
"P10","A “Rolo” Figueroa por Comunidad y el Frente Neuquinizate con el apoyo del PRO, parte de la UCR, el Frente Grande y sectores del PJ",0.321,0.309,0.259,0.25,0.215
"P10","A Ramón Rioseco por el Frente de Todos Neuquino con el apoyo del PJ, Cristina Fernández de Kirchner y Libres del Sur",0.1,0.122,0.139,0.091,0.071
"P10","A Pablo Cervi por Juntos por el Cambio Neuquén con el apoyo de Martín Lousteau y parte de la UCR",0.328,0.059,0.035,0.007,0.058
"P10","A Carlos Eguía por Cumplir con el apoyo de Javier Milei",0.076,0.107,0.132,0.132,0.073
"P10","A Patricia Jure del Frente de Izquierda Unidad con apoyo de Nicolás del Caño",0.009,0.006,0.059,0.033,0
"P10","No sabe",0.037,0.091,0.059,0.205,0.334
"P11","Lo votaría",0.265,0.331,0.298,0.291,0.322
"P11","Puede que lo vote",0.196,0.142,0.078,0.16,0.096
"P11","Nunca lo votaría",0.408,0.387,0.566,0.333,0.185
"P11","No sabe",0.131,0.14,0.058,0.216,0.397
"P12","Lo votaría",0.43,0.348,0.266,0.275,0.19
"P12","Puede que lo vote",0.161,0.144,0.098,0.175,0.143
"P12","Nunca lo votaría",0.309,0.377,0.601,0.312,0.18
"P12","No sabe",0.1,0.131,0.035,0.238,0.487
"P13","Lo votaría",0.262,0.14,0.152,0.18,0.182
"P13","Puede que lo vote",0.158,0.148,0.12,0.128,0.096
"P13","Nunca lo votaría",0.54,0.598,0.682,0.443,0.145
"P13","No sabe",0.04,0.114,0.046,0.249,0.577
"P14","Lo votaría",0.398,0.031,0.038,0.032,0
