"var","categoria","Positiva","Neutra","Negativa","No lo conozco","No sabe"
"P05","Del Frente de Todos y el peronismo",0.161,0.171,0.323,0.168,0.08
"P05","De Juntos por el cambio",0.258,0.293,0.201,0.082,0.115
"P05","De los Liberales libertarios",0.44,0.178,0.088,0.11,0.179
"P05","De la Izquierda",0.022,0.052,0.094,0.059,0.03
"P05","No sabe",0.119,0.306,0.294,0.581,0.596
"P06","A Alberto Fernández",0.799,0.282,0.22,0.366,0
"P06","A Sergio Massa",0,0.138,0.128,0.19,0.133
"P06","A algún candidato del peronismo",0.094,0.275,0.231,0.144,0.32
"P06","A algún candidato del kirchnerismo",0.107,0.305,0.421,0.3,0.547
"P07","A Alberto Fernández",0.741,0.224,0.187,0.518,0
"P07","A Sergio Massa",0,0.124,0.101,0.036,0.133
"P07","A algún candidato del peronismo",0.064,0.108,0.103,0,0
"P07","A Cristina Fernández de Kirchner",0.195,0.544,0.609,0.446,0.867
"P08","A Horacio Rodriguez Larreta",0.282,0.173,0.442,0.05,0.898
"P08","A Mauricio Macri",0.341,0.384,0.263,0.429,0.102
"P08","A Patricia Bullrich",0.303,0.313,0.209,0.473,0
"P08","A Facundo Manes",0.008,0.018,0.003,0.022,0
"P08","A Gerardo Morales",0.066,0.112,0.083,0.026,0
"P09","Marcos Koopmann a gobernador y Ana Pechén a vicegobernadora por el Movimiento Nacional Neuquino",0.132,0.264,0.285,0.302,0.044
"P09","“Rolo” Figueroa a gobernador y Gloria Ruiz a vicegobernadora por el Comunidad y el Frente Neuquinizate",0.297,0.289,0.329,0.226,0.144
"P09","Ramón Rioseco a gobernador y Ayelén Gutiérrez a vicegobernadora por el Frente de Todos Neuquino",0.082,0.146,0.124,0.142,0.179
"P09","Pablo Cervi a gobernador y Jorge Taylor a vicegobernador por Juntos por el Cambio Neuquén",0.111,0.093,0.072,0.046,0.026
"P09","Carlos Eguía a gobernador y Catalina Uleri a vicegobernadora por Cumplir",0.327,0.092,0.064,0.061,0.136
"P09","Patricia Jure a gobernadora y Raúl Godoy a vicegobernador por el Frente de Izquierda Unidad",0.013,0.007,0.048,0.036,0.024
"P09","No sabe",0.038,0.109,0.078,0.187,0.447
"P10","A Marcos Koopmann por el Movimiento Popular Neuquino con el apoyo de Jorge Sapag",0.121,0.312,0.32,0.271,0.249
"P10","A “Rolo” Figueroa por Comunidad y el Frente Neuquinizate con el apoyo del PRO, parte de la UCR, el Frente Grande y sectores del PJ",0.285,0.284,0.326,0.219,0.177
"P10","A Ramón Rioseco por el Frente de Todos Neuquino con el apoyo del PJ, Cristina Fernández de Kirchner y Libres del Sur",0.053,0.133,0.132,0.104,0.126
"P10","A Pablo Cervi por Juntos por el Cambio Neuquén con el apoyo de Martín Lousteau y parte de la UCR",0.156,0.118,0.059,0.08,0.014
"P10","A Carlos Eguía por Cumplir con el apoyo de Javier Milei",0.322,0.091,0.032,0.069,0.043
"P10","A Patricia Jure del Frente de Izquierda Unidad con apoyo de Nicolás del Caño",0.013,0.003,0.049,0.032,0
"P10","No sabe",0.05,0.059,0.082,0.225,0.391
"P11","Lo votaría",0.195,0.343,0.308,0.348,0.266
"P11","Puede que lo vote",0.135,0.179,0.097,0.141,0.096
"P11","Nunca lo votaría",0.541,0.382,0.502,0.262,0.12
"P11","No sabe",0.129,0.096,0.093,0.249,0.518
"P12","Lo votaría",0.399,0.33,0.314,0.246,0.137
"P12","Puede que lo vote",0.096,0.169,0.135,0.158,0.152
"P12","Nunca lo votaría",0.425,0.397,0.489,0.31,0.068
"P12","No sabe",0.08,0.104,0.062,0.286,0.643
"P13","Lo votaría",0.2,0.132,0.17,0.182,0.223
"P13","Puede que lo vote",0.183,0.129,0.141,0.113,0.065
"P13","Nunca lo votaría",0.594,0.661,0.613,0.373,0.081
"P13","No sabe",0.023,0.078,0.076,0.332,0.631
"P14","Lo votaría",0.176,0.079,0.082,0.075,0
"P14","Puede que lo vote",0.323,0.167,0.081,0.113,0.106
"P14","Nunca lo votaría",0.408,0.585,0.774,0.453,0.173
"P14","No sabe",0.093,0.169,0.063,0.359,0.721
"P15","Lo votaría",0.486,0.074,0.053,0.024,0.033
"P15","Puede que lo vote",0.318,0.16,0.03,0.163,0
"P15","Nunca lo votaría",0.089,0.58,0.882,0.436,0.219
"P15","No sabe",0.107,0.186,0.035,0.377,0.748
"P16","Lo votaría",0.206,0.054,0.054,0.008,0.01
"P16","Puede que lo vote",0.178,0.08,0.088,0.115,0.013
"P16","Nunca lo votaría",0.525,0.657,0.791,0.473,0.258
"P16","No sabe",0.091,0.209,0.067,0.404,0.719
"P17","Positiva",0.376,0.313,0.331,0.328,0.274
"P17","Neutra",0.199,0.481,0.239,0.166,0.081
"P17","Negativa",0.295,0.165,0.383,0.21,0.021
"P17","No lo conozco",0.118,0.039,0.041,0.273,0.319
"P17","No sabe",0.012,0.002,0.006,0.023,0.305
"P18","Positiva",0.504,0.383,0.402,0.275,0.18
"P18","Neutra",0.131,0.437,0.144,0.245,0.18
"P18","Negativa",0.31,0.16,0.416,0.151,0.057
"P18","No lo conozco",0.048,0.016,0.026,0.243,0.085
"P18","No sabe",0.007,0.004,0.012,0.086,0.498
"P19","Positiva",0.383,0.205,0.198,0.325,0.129
"P19","Neutra",0.184,0.561,0.205,0.215,0.141
"P19","Negativa",0.365,0.214,0.551,0.142,0.111
"P19","No lo conozco",0.065,0.018,0.034,0.305,0.079
"P19","No sabe",0.003,0.002,0.012,0.013,0.54
"P20","Positiva",0.481,0.156,0.113,0.06,0
"P20","Neutra",0.262,0.721,0.175,0.149,0.088
"P20","Negativa",0.151,0.067,0.621,0.058,0.023
"P20","No lo conozco",0.099,0.047,0.074,0.657,0.214
"P20","No sabe",0.007,0.009,0.017,0.076,0.675
"P22","Positiva",0.302,0.08,0.091,0.03,0.013
"P22","Neutra",0.234,0.703,0.18,0.093,0.01
"P22","Negativa",0.336,0.148,0.653,0.05,0.042
"P22","No lo conozco",0.128,0.055,0.075,0.8,0.138
"P22","No sabe",0,0.014,0.001,0.027,0.797
"P23","Positiva",0.322,0.267,0.28,0.218,0.062
"P23","Neutra",0.194,0.495,0.172,0.207,0.108
"P23","Negativa",0.349,0.19,0.514,0.134,0.112
"P23","No lo conozco",0.135,0.043,0.032,0.371,0.115
"P23","No sabe",0,0.005,0.002,0.07,0.603
"P24","Positiva",0.389,0.157,0.176,0.127,0.01
"P24","Neutra",0.183,0.58,0.192,0.101,0.057
"P24","Negativa",0.227,0.129,0.47,0.044,0.102
"P24","No lo conozco",0.199,0.117,0.153,0.644,0.246
"P24","No sabe",0.002,0.017,0.009,0.084,0.585
"P25","Positiva",0.298,0.101,0.096,0.096,0.039
"P25","Neutra",0.209,0.622,0.219,0.066,0.048
"P25","Negativa",0.228,0.121,0.494,0.034,0.061
"P25","No lo conozco",0.262,0.133,0.174,0.757,0.167
"P25","No sabe",0.003,0.023,0.017,0.047,0.685
"P26","Positiva",0.35,0.074,0.047,0.012,0
"P26","Neutra",0.249,0.659,0.182,0.105,0.118
"P26","Negativa",0.176,0.122,0.563,0.02,0.027
"P26","No lo conozco",0.209,0.125,0.184,0.792,0.17
"P26","No sabe",0.016,0.02,0.024,0.071,0.685
"P27","Positiva",0.278,0.057,0.016,0.008,0
"P27","Neutra",0.213,0.593,0.171,0.049,0.027
"P27","Negativa",0.155,0.111,0.475,0.007,0.039
"P27","No lo conozco",0.324,0.215,0.311,0.894,0.142
"P27","No sabe",0.03,0.024,0.027,0.042,0.792
"P28","Positiva",0.309,0.047,0.114,0.042,0.026
"P28","Neutra",0.127,0.549,0.196,0.101,0
"P28","Negativa",0.323,0.18,0.529,0.036,0.076
"P28","No lo conozco",0.23,0.187,0.158,0.73,0.18
"P28","No sabe",0.011,0.037,0.003,0.091,0.718
