"var","categoria","Muy buena","Buena","Ni buena ni mala","Mala","Muy mala","No lo conozco","No sabe"
"P05","Del Frente de Todos y el peronismo",0.233,0.239,0.237,0.205,0.172,0.173,0.214
"P05","De Juntos por el cambio",0.285,0.319,0.199,0.202,0.153,0.113,0.066
"P05","De los Liberales libertarios",0.168,0.145,0.18,0.203,0.292,0.128,0.167
"P05","De la Izquierda",0.05,0.045,0.04,0.038,0.166,0.055,0
"P05","No sabe",0.264,0.252,0.344,0.352,0.217,0.531,0.553
"P06","A Alberto Fernández",0.591,0.12,0.39,0.311,0.091,0.266,0.221
"P06","A Sergio Massa",0.069,0.176,0.104,0.135,0.081,0.055,0.305
"P06","A algún candidato del peronismo",0.174,0.331,0.153,0.122,0.352,0.136,0.232
"P06","A algún candidato del kirchnerismo",0.166,0.373,0.353,0.432,0.476,0.543,0.242
"P07","A Alberto Fernández",0.553,0.108,0.308,0.136,0.335,0.106,0.305
"P07","A Sergio Massa",0.096,0.132,0.095,0.135,0,0.055,0
"P07","A algún candidato del peronismo",0.097,0.238,0.032,0.065,0.015,0.077,0
"P07","A Cristina Fernández de Kirchner",0.254,0.522,0.565,0.664,0.65,0.762,0.695
"P08","A Horacio Rodriguez Larreta",0.255,0.324,0.129,0.463,0.478,0.136,0.842
"P08","A Mauricio Macri",0.449,0.421,0.355,0.182,0.212,0.514,0
"P08","A Patricia Bullrich",0.221,0.237,0.273,0.325,0.228,0.35,0.158
"P08","A Facundo Manes",0.026,0.004,0,0,0,0,0
"P08","A Gerardo Morales",0.049,0.014,0.243,0.03,0.082,0,0
"P09","Marcos Koopmann a gobernador y Ana Pechén a vicegobernadora por el Movimiento Nacional Neuquino",0.142,0.208,0.29,0.362,0.272,0.241,0.22
"P09","“Rolo” Figueroa a gobernador y Gloria Ruiz a vicegobernadora por el Comunidad y el Frente Neuquinizate",0.668,0.47,0.133,0.012,0.116,0.031,0.138
"P09","Ramón Rioseco a gobernador y Ayelén Gutiérrez a vicegobernadora por el Frente de Todos Neuquino",0.072,0.1,0.176,0.132,0.165,0.203,0.121
"P09","Pablo Cervi a gobernador y Jorge Taylor a vicegobernador por Juntos por el Cambio Neuquén",0.039,0.08,0.13,0.13,0.055,0.015,0.022
"P09","Carlos Eguía a gobernador y Catalina Uleri a vicegobernadora por Cumplir",0.054,0.089,0.099,0.201,0.241,0.12,0.145
"P09","Patricia Jure a gobernadora y Raúl Godoy a vicegobernador por el Frente de Izquierda Unidad",0.01,0.008,0.04,0.02,0.069,0.018,0
"P09","No sabe",0.015,0.045,0.132,0.143,0.082,0.372,0.354
"P10","A Marcos Koopmann por el Movimiento Popular Neuquino con el apoyo de Jorge Sapag",0.147,0.266,0.308,0.405,0.322,0.193,0.318
"P10","A “Rolo” Figueroa por Comunidad y el Frente Neuquinizate con el apoyo del PRO, parte de la UCR, el Frente Grande y sectores del PJ",0.662,0.436,0.13,0.044,0.121,0.065,0.156
"P10","A Ramón Rioseco por el Frente de Todos Neuquino con el apoyo del PJ, Cristina Fernández de Kirchner y Libres del Sur",0.042,0.075,0.179,0.129,0.115,0.211,0.096
"P10","A Pablo Cervi por Juntos por el Cambio Neuquén con el apoyo de Martín Lousteau y parte de la UCR",0.069,0.066,0.13,0.145,0.084,0.09,0
"P10","A Carlos Eguía por Cumplir con el apoyo de Javier Milei",0.042,0.088,0.101,0.18,0.199,0.127,0.05
"P10","A Patricia Jure del Frente de Izquierda Unidad con apoyo de Nicolás del Caño",0.011,0.008,0.027,0.023,0.07,0.018,0
"P10","No sabe",0.027,0.061,0.125,0.074,0.089,0.296,0.38
"P11","Lo votaría",0.254,0.268,0.318,0.393,0.306,0.276,0.324
"P11","Puede que lo vote",0.114,0.213,0.176,0.12,0.071,0.063,0.114
"P11","Nunca lo votaría",0.542,0.353,0.34,0.393,0.596,0.313,0.148
"P11","No sabe",0.09,0.166,0.166,0.094,0.027,0.348,0.414
"P12","Lo votaría",0.834,0.421,0.118,0.068,0.125,0.081,0.135
"P12","Puede que lo vote",0.054,0.325,0.216,0.043,0.057,0.104,0.11
"P12","Nunca lo votaría",0.075,0.137,0.467,0.843,0.812,0.438,0.09
"P12","No sabe",0.037,0.117,0.199,0.046,0.006,0.377,0.665
"P13","Lo votaría",0.214,0.191,0.15,0.119,0.166,0.204,0.143
"P13","Puede que lo vote",0.153,0.196,0.17,0.108,0.053,0.098,0.11
"P13","Nunca lo votaría",0.537,0.532,0.573,0.708,0.76,0.298,0.048
"P13","No sabe",0.096,0.081,0.107,0.065,0.021,0.4,0.699
"P14","Lo votaría",0.14,0.096,0.088,0.082,0.078,0.117,0
"P14","Puede que lo vote",0.193,0.22,0.143,0.131,0.114,0.044,0.14
"P14","Nunca lo votaría",0.557,0.561,0.562,0.688,0.777,0.376,0.212
"P14","No sabe",0.11,0.123,0.207,0.099,0.031,0.463,0.648
"P15","Lo votaría",0.16,0.097,0.083,0.191,0.205,0.126,0.026
"P15","Puede que lo vote",0.141,0.226,0.115,0.096,0.131,0.098,0.179
"P15","Nunca lo votaría",0.544,0.553,0.616,0.576,0.632,0.364,0.155
"P15","No sabe",0.155,0.124,0.186,0.137,0.032,0.412,0.64
"P16","Lo votaría",0.16,0.045,0.02,0.046,0.096,0.076,0.035
"P16","Puede que lo vote",0.113,0.179,0.109,0.079,0.063,0.005,0.082
"P16","Nunca lo votaría",0.581,0.643,0.649,0.74,0.784,0.487,0.183
"P16","No sabe",0.146,0.133,0.222,0.135,0.057,0.432,0.7
"P17","Muy buena",0.242,0.137,0.14,0.343,0.23,0.083,0.175
"P17","Buena",0.092,0.295,0.162,0.068,0.033,0.106,0.132
"P17","Ni buena ni mala",0.225,0.31,0.496,0.214,0.125,0.177,0.115
"P17","Mala",0.202,0.078,0.072,0.317,0.112,0.08,0.1
"P17","Muy mala",0.159,0.078,0.035,0.027,0.444,0,0.007
"P17","No lo conozco",0.069,0.091,0.078,0.021,0.056,0.554,0.232
"P17","No sabe",0.011,0.011,0.017,0.01,0,0,0.239
"P19","Muy buena",0.265,0.111,0.103,0.047,0.129,0.075,0.101
"P19","Buena",0.144,0.234,0.106,0.096,0.016,0.106,0.023
"P19","Ni buena ni mala",0.284,0.359,0.49,0.224,0.097,0.13,0.106
"P19","Mala",0.181,0.144,0.148,0.48,0.08,0.068,0.009
"P19","Muy mala",0.093,0.078,0.121,0.144,0.603,0.042,0.009
"P19","No lo conozco",0.023,0.045,0.028,0.009,0.073,0.579,0.253
"P19","No sabe",0.01,0.029,0.004,0,0.002,0,0.499
"P20","Muy buena",0.132,0.072,0.049,0.06,0.084,0.037,0.015
