"var","categoria","Muy buena","Buena","Ni buena ni mala","Mala","Muy mala","No lo conozco","No sabe"
"P05","Del Frente de Todos y el peronismo",0.364,0.268,0.232,0.163,0.308,0.192,0.127
"P05","De Juntos por el cambio",0.341,0.401,0.267,0.221,0.138,0.14,0.139
"P05","De los Liberales libertarios",0.203,0.161,0.161,0.26,0.178,0.179,0.144
"P05","De la Izquierda",0.043,0,0.057,0.051,0.179,0.046,0.031
"P05","No sabe",0.049,0.17,0.283,0.305,0.197,0.443,0.559
"P06","A Alberto Fernández",0.965,0.513,0.223,0.4,0.19,0.375,0.385
"P06","A Sergio Massa",0.035,0.024,0.139,0.125,0.108,0.092,0.179
"P06","A algún candidato del peronismo",0,0.138,0.279,0.156,0.242,0.179,0
"P06","A algún candidato del kirchnerismo",0,0.325,0.359,0.319,0.46,0.354,0.436
"P07","A Alberto Fernández",0.965,0.394,0.165,0.335,0.338,0.38,0
"P07","A Sergio Massa",0.035,0.108,0.1,0.065,0.055,0.037,0.179
"P07","A algún candidato del peronismo",0,0.201,0.147,0.078,0.02,0.042,0
"P07","A Cristina Fernández de Kirchner",0,0.297,0.588,0.522,0.587,0.541,0.821
"P08","A Horacio Rodriguez Larreta",0.504,0.181,0.219,0.336,0.219,0.395,0.591
"P08","A Mauricio Macri",0.179,0.547,0.315,0.349,0.317,0.269,0.291
"P08","A Patricia Bullrich",0.301,0.206,0.296,0.23,0.413,0.329,0.118
"P08","A Facundo Manes",0,0.05,0.008,0,0.011,0.007,0
"P08","A Gerardo Morales",0.016,0.016,0.162,0.085,0.04,0,0
"P09","Marcos Koopmann a gobernador y Ana Pechén a vicegobernadora por el Movimiento Nacional Neuquino",0.009,0.226,0.242,0.292,0.222,0.287,0.132
"P09","“Rolo” Figueroa a gobernador y Gloria Ruiz a vicegobernadora por el Comunidad y el Frente Neuquinizate",0.351,0.336,0.3,0.321,0.304,0.262,0.144
"P09","Ramón Rioseco a gobernador y Ayelén Gutiérrez a vicegobernadora por el Frente de Todos Neuquino",0.142,0.093,0.145,0.044,0.192,0.133,0.133
"P09","Pablo Cervi a gobernador y Jorge Taylor a vicegobernador por Juntos por el Cambio Neuquén",0.289,0.228,0.082,0.069,0.026,0.049,0
"P09","Carlos Eguía a gobernador y Catalina Uleri a vicegobernadora por Cumplir",0.185,0.088,0.125,0.208,0.075,0.075,0.237
"P09","Patricia Jure a gobernadora y Raúl Godoy a vicegobernador por el Frente de Izquierda Unidad",0.009,0.02,0.009,0.01,0.117,0.025,0.007
"P09","No sabe",0.015,0.009,0.097,0.056,0.064,0.169,0.347
"P10","A Marcos Koopmann por el Movimiento Popular Neuquino con el apoyo de Jorge Sapag",0.009,0.115,0.297,0.39,0.179,0.288,0.211
"P10","A “Rolo” Figueroa por Comunidad y el Frente Neuquinizate con el apoyo del PRO, parte de la UCR, el Frente Grande y sectores del PJ",0.312,0.379,0.302,0.32,0.245,0.253,0.137
"P10","A Ramón Rioseco por el Frente de Todos Neuquino con el apoyo del PJ, Cristina Fernández de Kirchner y Libres del Sur",0.204,0.024,0.129,0.042,0.219,0.11,0.089
"P10","A Pablo Cervi por Juntos por el Cambio Neuquén con el apoyo de Martín Lousteau y parte de la UCR",0.392,0.347,0.102,0.035,0.082,0.048,0.041
"P10","A Carlos Eguía por Cumplir con el apoyo de Javier Milei",0.083,0.11,0.088,0.18,0.098,0.1,0.084
"P10","A Patricia Jure del Frente de Izquierda Unidad con apoyo de Nicolás del Caño",0,0.02,0.006,0.003,0.112,0.027,0.007
"P10","No sabe",0,0.005,0.076,0.03,0.065,0.174,0.431
"P11","Lo votaría",0.484,0.194,0.349,0.374,0.207,0.277,0.286
"P11","Puede que lo vote",0.109,0.248,0.174,0.078,0.031,0.125,0.175
"P11","Nunca lo votaría",0.327,0.401,0.381,0.511,0.678,0.401,0.109
"P11","No sabe",0.08,0.157,0.096,0.037,0.084,0.197,0.43
"P12","Lo votaría",0.536,0.389,0.337,0.407,0.277,0.254,0.171
"P12","Puede que lo vote",0.068,0.191,0.156,0.13,0.074,0.144,0.179
"P12","Nunca lo votaría",0.377,0.354,0.42,0.421,0.592,0.379,0.067
"P12","No sabe",0.019,0.066,0.087,0.042,0.057,0.223,0.583
"P13","Lo votaría",0.662,0.221,0.13,0.131,0.209,0.176,0.14
"P13","Puede que lo vote",0.043,0.253,0.158,0.115,0.086,0.134,0.163
"P13","Nunca lo votaría",0.295,0.475,0.642,0.698,0.674,0.457,0.17
"P13","No sabe",0,0.051,0.07,0.056,0.031,0.233,0.527
"P14","Lo votaría",0.672,0.253,0.068,0.09,0.061,0.063,0.01
"P14","Puede que lo vote",0.227,0.508,0.179,0.07,0.041,0.132,0.14
"P14","Nunca lo votaría",0.058,0.169,0.605,0.766,0.844,0.541,0.285
"P14","No sabe",0.043,0.07,0.148,0.074,0.054,0.264,0.565
"P15","Lo votaría",0.705,0.191,0.109,0.188,0.108,0.075,0.095
"P15","Puede que lo vote",0.103,0.402,0.169,0.053,0.058,0.163,0.038
"P15","Nunca lo votaría",0.108,0.305,0.563,0.703,0.803,0.52,0.298
"P15","No sabe",0.084,0.102,0.159,0.056,0.031,0.242,0.569
"P16","Lo votaría",0.661,0.123,0.058,0.044,0.078,0.036,0.044
"P16","Puede que lo vote",0.047,0.23,0.138,0.055,0.058,0.089,0.041
"P16","Nunca lo votaría",0.187,0.526,0.62,0.86,0.833,0.594,0.275
"P16","No sabe",0.105,0.121,0.184,0.041,0.031,0.281,0.64
"P17","Muy buena",0.527,0.195,0.205,0.213,0.158,0.178,0.074
"P17","Buena",0.03,0.343,0.126,0.058,0.058,0.163,0.201
"P17","Ni buena ni mala",0.168,0.228,0.428,0.288,0.176,0.19,0.225
"P17","Mala",0.079,0.097,0.109,0.308,0.181,0.103,0.024
"P17","Muy mala",0.196,0.069,0.095,0.099,0.386,0.117,0.043
"P17","No lo conozco",0,0.059,0.026,0.034,0.041,0.235,0.281
"P17","No sabe",0,0.009,0.011,0,0,0.014,0.152
"P18","Muy buena",0.541,0.294,0.196,0.307,0.216,0.204,0.062
"P18","Buena",0.081,0.308,0.195,0.157,0.083,0.105,0.153
"P18","Ni buena ni mala",0.073,0.153,0.392,0.159,0.13,0.221,0.22
"P18","Mala",0.078,0.123,0.113,0.263,0.093,0.069,0.031
"P18","Muy mala",0.227,0.063,0.092,0.114,0.462,0.152,0.036
"P18","No lo conozco",0,0.059,0.011,0,0.016,0.184,0.091
"P18","No sabe",0,0,0.001,0,0,0.065,0.407
"P19","Muy buena",0.533,0.173,0.135,0.035,0.153,0.149,0.037
"P19","Buena",0,0.295,0.118,0.082,0.041,0.149,0.08
"P19","Ni buena ni mala",0.062,0.185,0.479,0.291,0.178,0.24,0.163
"P19","Mala",0.154,0.192,0.179,0.486,0.078,0.066,0.095
"P19","Muy mala",0.122,0.069,0.078,0.099,0.536,0.178,0.074
"P19","No lo conozco",0.129,0.086,0.01,0.007,0.014,0.207,0.127
"P19","No sabe",0,0,0.001,0,0,0.011,0.424
"P20","Muy buena",0.706,0.162,0.069,0.009,0.099,0.025,0.014
"P20","Buena",0.121,0.572,0.106,0.062,0.024,0.04,0.034
"P20","Ni buena ni mala",0.043,0.144,0.649,0.279,0.115,0.229,0.173
"P20","Mala",0.13,0.084,0.084,0.559,0.101,0.078,0.018
"P20","Muy mala",0,0.014,0.047,0.053,0.6,0.087,0.069
"P20","No lo conozco",0,0.024,0.027,0.02,0.057,0.503,0.181
"P20","No sabe",0,0,0.018,0.018,0.004,0.038,0.511
"P21","Muy buena",0.669,0.136,0.071,0.067,0.065,0.055,0.047
"P21","Buena",0.102,0.431,0.078,0.085,0.032,0.09,0.012
