"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Capital","Interior"
"A Horacio Rodriguez Larreta",0.259,0.277,0.241,0.284,0.267,0.273,0.127,0.3,0.228,0.263,0.164,0.337
"A Mauricio Macri",0.408,0.369,0.445,0.56,0.383,0.227,0.391,0.444,0.456,0.271,0.456,0.368
"A Patricia Bullrich",0.248,0.26,0.236,0.077,0.254,0.425,0.398,0.171,0.227,0.386,0.276,0.224
"A Facundo Manes",0.024,0.032,0.016,0,0.041,0.023,0.032,0.032,0.017,0.028,0.034,0.016
"A Gerardo Morales",0.061,0.062,0.062,0.079,0.055,0.052,0.052,0.053,0.072,0.052,0.07,0.055
