"var","categoria","Muy buena","Buena","Ni buena ni mala","Mala","Muy mala","No lo conozco","No sabe"
"P05","Del Frente de Todos y el peronismo",0.325,0.334,0.217,0.245,0.126,0.251,0.097
"P05","De Juntos por el cambio",0.301,0.179,0.272,0.255,0.172,0.188,0.126
"P05","De los Liberales libertarios",0.178,0.242,0.149,0.166,0.265,0.171,0.246
"P05","De la Izquierda",0.127,0,0.04,0.083,0.209,0.038,0.041
"P05","No sabe",0.069,0.245,0.322,0.251,0.228,0.352,0.49
"P06","A Alberto Fernández",1,0.572,0.22,0.386,0.276,0.297,0.38
"P06","A Sergio Massa",0,0,0.164,0.128,0.132,0.094,0.071
"P06","A algún candidato del peronismo",0,0.119,0.244,0.231,0.261,0.207,0
"P06","A algún candidato del kirchnerismo",0,0.309,0.372,0.255,0.331,0.402,0.549
"P07","A Alberto Fernández",1,0.479,0.156,0.337,0.481,0.309,0
"P07","A Sergio Massa",0,0.093,0.124,0.049,0.132,0.048,0.071
"P07","A algún candidato del peronismo",0,0.119,0.119,0.172,0,0.06,0
"P07","A Cristina Fernández de Kirchner",0,0.309,0.601,0.442,0.387,0.583,0.929
"P08","A Horacio Rodriguez Larreta",0.362,0.419,0.212,0.248,0.4,0.269,0.863
"P08","A Mauricio Macri",0.485,0.497,0.238,0.448,0.293,0.378,0.054
"P08","A Patricia Bullrich",0.14,0.084,0.355,0.224,0.246,0.322,0.083
"P08","A Facundo Manes",0,0,0.028,0,0,0.007,0
"P08","A Gerardo Morales",0.013,0,0.167,0.08,0.061,0.024,0
"P09","Marcos Koopmann a gobernador y Ana Pechén a vicegobernadora por el Movimiento Nacional Neuquino",0.121,0.18,0.251,0.278,0.212,0.269,0.113
"P09","“Rolo” Figueroa a gobernador y Gloria Ruiz a vicegobernadora por el Comunidad y el Frente Neuquinizate",0.473,0.342,0.3,0.312,0.262,0.279,0.173
"P09","Ramón Rioseco a gobernador y Ayelén Gutiérrez a vicegobernadora por el Frente de Todos Neuquino",0.177,0.11,0.141,0.082,0.083,0.146,0.15
"P09","Pablo Cervi a gobernador y Jorge Taylor a vicegobernador por Juntos por el Cambio Neuquén",0.172,0.16,0.084,0.128,0.06,0.052,0
"P09","Carlos Eguía a gobernador y Catalina Uleri a vicegobernadora por Cumplir",0.04,0.171,0.126,0.106,0.186,0.1,0.153
"P09","Patricia Jure a gobernadora y Raúl Godoy a vicegobernador por el Frente de Izquierda Unidad",0.017,0.037,0.016,0.007,0.115,0.025,0
"P09","No sabe",0,0,0.082,0.087,0.082,0.129,0.411
"P10","A Marcos Koopmann por el Movimiento Popular Neuquino con el apoyo de Jorge Sapag",0.008,0.184,0.327,0.328,0.191,0.243,0.248
"P10","A “Rolo” Figueroa por Comunidad y el Frente Neuquinizate con el apoyo del PRO, parte de la UCR, el Frente Grande y sectores del PJ",0.433,0.299,0.277,0.347,0.217,0.291,0.127
"P10","A Ramón Rioseco por el Frente de Todos Neuquino con el apoyo del PJ, Cristina Fernández de Kirchner y Libres del Sur",0.188,0,0.14,0.059,0.099,0.138,0.064
"P10","A Pablo Cervi por Juntos por el Cambio Neuquén con el apoyo de Martín Lousteau y parte de la UCR",0.233,0.342,0.114,0.1,0.054,0.075,0.021
"P10","A Carlos Eguía por Cumplir con el apoyo de Javier Milei",0.129,0.138,0.084,0.104,0.22,0.099,0.039
"P10","A Patricia Jure del Frente de Izquierda Unidad con apoyo de Nicolás del Caño",0.009,0.037,0.01,0.003,0.133,0.019,0.012
"P10","No sabe",0,0,0.048,0.059,0.086,0.135,0.489
"P11","Lo votaría",0.52,0.2,0.345,0.407,0.163,0.267,0.284
"P11","Puede que lo vote",0.258,0.303,0.176,0.089,0.051,0.101,0.153
"P11","Nunca lo votaría",0.069,0.338,0.384,0.468,0.743,0.448,0.19
"P11","No sabe",0.153,0.159,0.095,0.036,0.043,0.184,0.373
"P12","Lo votaría",0.647,0.408,0.331,0.392,0.208,0.298,0.2
"P12","Puede que lo vote",0.105,0.184,0.151,0.126,0.118,0.129,0.132
"P12","Nunca lo votaría",0.13,0.371,0.434,0.459,0.646,0.381,0.096
"P12","No sabe",0.118,0.037,0.084,0.023,0.028,0.192,0.572
"P13","Lo votaría",0.604,0.315,0.143,0.142,0.094,0.187,0.16
