"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Capital","Interior"
"A Alberto Fernández",0.376,0.395,0.357,0.419,0.364,0.33,0.363,0.59,0.355,0.115,0.379,0.373
"A Sergio Massa",0.133,0.158,0.11,0.153,0.057,0.261,0.141,0.123,0.154,0.109,0.108,0.153
"A algún candidato del peronismo",0.196,0.165,0.226,0.234,0.196,0.146,0.172,0.156,0.209,0.228,0.194,0.198
"A algún candidato del kirchnerismo",0.295,0.282,0.307,0.194,0.383,0.263,0.324,0.131,0.282,0.548,0.319,0.276
