"var","categoria","Positiva","Neutra","Negativa","No lo conozco","No sabe"
"P05","Del Frente de Todos y el peronismo",0.266,0.231,0.198,0.219,0.184
"P05","De Juntos por el cambio",0.29,0.28,0.171,0.144,0.085
"P05","De los Liberales libertarios",0.161,0.155,0.237,0.186,0.112
"P05","De la Izquierda",0.039,0.041,0.116,0.036,0.136
"P05","No sabe",0.244,0.293,0.278,0.415,0.483
"P06","A Alberto Fernández",0.446,0.218,0.335,0.31,0.539
"P06","A Sergio Massa",0.113,0.147,0.136,0.071,0.115
"P06","A algún candidato del peronismo",0.209,0.214,0.18,0.293,0
"P06","A algún candidato del kirchnerismo",0.232,0.421,0.349,0.326,0.346
"P07","A Alberto Fernández",0.404,0.131,0.325,0.396,0.444
"P07","A Sergio Massa",0.102,0.123,0.094,0,0.116
"P07","A algún candidato del peronismo",0.162,0.091,0.088,0.018,0
"P07","A Cristina Fernández de Kirchner",0.332,0.655,0.493,0.586,0.44
"P08","A Horacio Rodriguez Larreta",0.341,0.18,0.41,0.139,1
"P08","A Mauricio Macri",0.443,0.288,0.25,0.392,0
"P08","A Patricia Bullrich",0.192,0.35,0.273,0.376,0
"P08","A Facundo Manes",0.007,0.022,0,0.008,0
"P08","A Gerardo Morales",0.017,0.16,0.067,0.085,0
"P09","Marcos Koopmann a gobernador y Ana Pechén a vicegobernadora por el Movimiento Nacional Neuquino",0.173,0.284,0.297,0.228,0.102
"P09","“Rolo” Figueroa a gobernador y Gloria Ruiz a vicegobernadora por el Comunidad y el Frente Neuquinizate",0.582,0.266,0.191,0.177,0.238
"P09","Ramón Rioseco a gobernador y Ayelén Gutiérrez a vicegobernadora por el Frente de Todos Neuquino",0.049,0.17,0.107,0.17,0.12
"P09","Pablo Cervi a gobernador y Jorge Taylor a vicegobernador por Juntos por el Cambio Neuquén",0.057,0.101,0.075,0.096,0.008
"P09","Carlos Eguía a gobernador y Catalina Uleri a vicegobernadora por Cumplir",0.116,0.09,0.164,0.119,0.126
"P09","Patricia Jure a gobernadora y Raúl Godoy a vicegobernador por el Frente de Izquierda Unidad",0.012,0.007,0.063,0.014,0.093
"P09","No sabe",0.011,0.082,0.103,0.196,0.313
"P10","A Marcos Koopmann por el Movimiento Popular Neuquino con el apoyo de Jorge Sapag",0.183,0.334,0.32,0.233,0.268
"P10","A “Rolo” Figueroa por Comunidad y el Frente Neuquinizate con el apoyo del PRO, parte de la UCR, el Frente Grande y sectores del PJ",0.584,0.25,0.189,0.167,0.219
"P10","A Ramón Rioseco por el Frente de Todos Neuquino con el apoyo del PJ, Cristina Fernández de Kirchner y Libres del Sur",0.056,0.141,0.093,0.168,0.084
"P10","A Pablo Cervi por Juntos por el Cambio Neuquén con el apoyo de Martín Lousteau y parte de la UCR",0.064,0.133,0.095,0.098,0.037
"P10","A Carlos Eguía por Cumplir con el apoyo de Javier Milei",0.077,0.075,0.176,0.098,0.03
"P10","A Patricia Jure del Frente de Izquierda Unidad con apoyo de Nicolás del Caño",0.008,0.005,0.054,0.017,0.108
"P10","No sabe",0.028,0.062,0.073,0.219,0.254
"P11","Lo votaría",0.242,0.331,0.353,0.276,0.311
"P11","Puede que lo vote",0.141,0.196,0.078,0.104,0.211
"P11","Nunca lo votaría",0.512,0.362,0.507,0.395,0.116
"P11","No sabe",0.105,0.111,0.062,0.225,0.362
"P12","Lo votaría",0.672,0.261,0.218,0.194,0.247
"P12","Puede que lo vote",0.095,0.225,0.095,0.141,0.124
"P12","Nunca lo votaría",0.169,0.388,0.648,0.419,0.128
"P12","No sabe",0.064,0.126,0.039,0.246,0.501
"P13","Lo votaría",0.239,0.155,0.119,0.182,0.23
"P13","Puede que lo vote",0.186,0.15,0.122,0.12,0.085
"P13","Nunca lo votaría",0.511,0.601,0.701,0.468,0.183
"P13","No sabe",0.064,0.094,0.058,0.23,0.502
"P14","Lo votaría",0.102,0.079,0.125,0.082,0.11
"P14","Puede que lo vote",0.213,0.181,0.083,0.178,0.078
"P14","Nunca lo votaría",0.607,0.58,0.717,0.453,0.264
"P14","No sabe",0.078,0.16,0.075,0.287,0.548
"P15","Lo votaría",0.145,0.088,0.198,0.105,0.118
"P15","Puede que lo vote",0.232,0.155,0.093,0.133,0.019
"P15","Nunca lo votaría",0.523,0.599,0.649,0.481,0.292
"P15","No sabe",0.1,0.158,0.06,0.281,0.571
"P16","Lo votaría",0.127,0.036,0.098,0.039,0.124
"P16","Puede que lo vote",0.197,0.093,0.051,0.118,0.008
"P16","Nunca lo votaría",0.601,0.645,0.786,0.548,0.318
"P16","No sabe",0.075,0.226,0.065,0.295,0.55
"P17","Positiva",0.407,0.357,0.31,0.261,0.362
"P17","Neutra",0.249,0.45,0.188,0.243,0.054
"P17","Negativa",0.273,0.131,0.44,0.258,0.17
"P17","No lo conozco",0.067,0.053,0.052,0.227,0.221
"P17","No sabe",0.004,0.009,0.01,0.011,0.193
"P18","Positiva",0.803,0.379,0.254,0.222,0.218
"P18","Neutra",0.042,0.478,0.115,0.276,0.155
"P18","Negativa",0.114,0.116,0.597,0.257,0.131
"P18","No lo conozco",0.027,0.012,0.034,0.191,0.028
"P18","No sabe",0.014,0.015,0,0.054,0.468
"P19","Positiva",0.399,0.24,0.138,0.279,0.232
"P19","Neutra",0.331,0.503,0.177,0.214,0.079
"P19","Negativa",0.225,0.216,0.659,0.296,0.067
"P19","No lo conozco",0.045,0.025,0.025,0.202,0.172
"P19","No sabe",0,0.016,0.001,0.009,0.45
"P20","Positiva",0.294,0.19,0.124,0.151,0.117
"P20","Neutra",0.313,0.61,0.197,0.232,0.081
"P20","Negativa",0.257,0.129,0.6,0.133,0.054
"P20","No lo conozco",0.113,0.05,0.064,0.435,0.272
"P20","No sabe",0.023,0.021,0.015,0.049,0.476
"P21","Positiva",0.372,0.125,0.171,0.163,0.009
"P21","Neutra",0.217,0.571,0.139,0.138,0.109
"P21","Negativa",0.31,0.24,0.648,0.228,0.072
"P21","No lo conozco",0.099,0.057,0.027,0.432,0.305
"P21","No sabe",0.002,0.007,0.015,0.039,0.505
"P22","Positiva",0.294,0.086,0.055,0.065,0.124
"P22","Neutra",0.34,0.674,0.108,0.124,0.024
"P22","Negativa",0.256,0.176,0.776,0.174,0.08
"P22","No lo conozco",0.106,0.056,0.051,0.593,0.265
"P22","No sabe",0.004,0.008,0.01,0.044,0.507
"P23","Positiva",0.417,0.325,0.207,0.164,0.086
"P23","Neutra",0.268,0.498,0.055,0.265,0.073
"P23","Negativa",0.235,0.143,0.735,0.204,0.051
"P23","No lo conozco",0.08,0.024,0.003,0.345,0.159
"P23","No sabe",0,0.01,0,0.022,0.631
"P25","Positiva",0.389,0.076,0.054,0.074,0.104
"P25","Neutra",0.3,0.683,0.109,0.086,0.015
"P25","Negativa",0.124,0.088,0.756,0.055,0.022
"P25","No lo conozco",0.158,0.128,0.07,0.764,0.269
"P25","No sabe",0.029,0.025,0.011,0.021,0.59
"P26","Positiva",0.259,0.085,0.062,0.058,0.01
"P26","Neutra",0.283,0.641,0.176,0.129,0.098
"P26","Negativa",0.254,0.108,0.658,0.068,0.028
"P26","No lo conozco",0.176,0.139,0.101,0.686,0.278
"P26","No sabe",0.028,0.027,0.003,0.059,0.586
"P27","Positiva",0.242,0.039,0.044,0.006,0.101
"P27","Neutra",0.26,0.65,0.123,0.041,0
"P27","Negativa",0.164,0.089,0.631,0.028,0.013
"P27","No lo conozco",0.296,0.202,0.19,0.861,0.268
"P27","No sabe",0.038,0.02,0.012,0.064,0.618
"P28","Positiva",0.298,0.065,0.101,0.056,0.06
"P28","Neutra",0.259,0.565,0.126,0.082,0.008
"P28","Negativa",0.25,0.211,0.65,0.116,0.04
"P28","No lo conozco",0.172,0.149,0.113,0.68,0.222
"P28","No sabe",0.021,0.01,0.01,0.066,0.67
