"var","categoria","A Marcos Koopmann por el Movimiento Popular Neuquino con el apoyo de Jorge Sapag","A “Rolo” Figueroa por Comunidad y el Frente Neuquinizate con el apoyo del PRO, parte de la UCR, el Frente Grande y sectores del PJ","A Ramón Rioseco por el Frente de Todos Neuquino con el apoyo del PJ, Cristina Fernández de Kirchner y Libres del Sur","A Pablo Cervi por Juntos por el Cambio Neuquén con el apoyo de Martín Lousteau y parte de la UCR","A Carlos Eguía por Cumplir con el apoyo de Javier Milei","A Patricia Jure del Frente de Izquierda Unidad con apoyo de Nicolás del Caño"
"P05","Del Frente de Todos y el peronismo",0.178,0.226,0.485,0.183,0.008,0.166
"P05","De Juntos por el cambio",0.216,0.273,0.048,0.454,0.062,0
"P05","De los Liberales libertarios",0.069,0.167,0.133,0.182,0.585,0.011
"P05","De la Izquierda",0.03,0.052,0.086,0.009,0.036,0.68
"P05","No sabe",0.507,0.282,0.248,0.172,0.309,0.143
"P06","A Alberto Fernández",0.372,0.347,0.329,0.535,1,0.565
"P06","A Sergio Massa",0.168,0.113,0.113,0.035,0,0
"P06","A algún candidato del peronismo",0.21,0.195,0.136,0.287,0,0.238
"P06","A algún candidato del kirchnerismo",0.25,0.345,0.422,0.143,0,0.197
"P07","A Alberto Fernández",0.346,0.285,0.241,0.589,1,0.565
"P07","A Sergio Massa",0.123,0.084,0.072,0.178,0,0
"P07","A algún candidato del peronismo",0.062,0.157,0.048,0.046,0,0.238
"P07","A Cristina Fernández de Kirchner",0.469,0.474,0.639,0.187,0,0.197
"P08","A Horacio Rodriguez Larreta",0.301,0.319,0,0.11,0.18,0
"P08","A Mauricio Macri",0.426,0.365,0.49,0.345,0.695,0
"P08","A Patricia Bullrich",0.22,0.248,0.51,0.375,0.125,0
"P08","A Facundo Manes",0,0.026,0,0.02,0,0
"P08","A Gerardo Morales",0.053,0.042,0,0.15,0,0
"P11","Lo votaría",0.664,0.112,0.138,0.188,0.122,0
"P11","Puede que lo vote",0.132,0.122,0.081,0.267,0.154,0
"P11","Nunca lo votaría",0.1,0.605,0.54,0.375,0.518,0.786
"P11","No sabe",0.104,0.161,0.241,0.17,0.206,0.214
"P12","Lo votaría",0.138,0.719,0.145,0.243,0.095,0.019
"P12","Puede que lo vote",0.179,0.1,0.159,0.161,0.176,0.065
"P12","Nunca lo votaría",0.525,0.095,0.446,0.449,0.513,0.745
"P12","No sabe",0.158,0.086,0.25,0.147,0.216,0.171
"P13","Lo votaría",0.085,0.179,0.539,0.184,0.027,0.195
"P13","Puede que lo vote",0.117,0.167,0.19,0.099,0.125,0.103
"P13","Nunca lo votaría",0.64,0.525,0.149,0.584,0.659,0.568
"P13","No sabe",0.158,0.129,0.122,0.133,0.189,0.134
"P14","Lo votaría",0.049,0.095,0.113,0.338,0.039,0
"P14","Puede que lo vote",0.137,0.169,0.112,0.229,0.17,0.012
"P14","Nunca lo votaría",0.608,0.592,0.597,0.241,0.601,0.755
"P14","No sabe",0.206,0.144,0.178,0.192,0.19,0.233
"P15","Lo votaría",0.042,0.093,0.089,0.155,0.502,0.015
"P15","Puede que lo vote",0.148,0.162,0.055,0.194,0.149,0.038
"P15","Nunca lo votaría",0.633,0.607,0.633,0.384,0.164,0.744
"P15","No sabe",0.177,0.138,0.223,0.267,0.185,0.203
"P16","Lo votaría",0.035,0.075,0.073,0.104,0.042,0.45
"P16","Puede que lo vote",0.106,0.1,0.081,0.175,0.104,0.105
"P16","Nunca lo votaría",0.677,0.658,0.62,0.473,0.641,0.313
"P16","No sabe",0.182,0.167,0.226,0.248,0.213,0.132
"P17","Muy buena",0.485,0.081,0.058,0.083,0.033,0.079
"P17","Buena",0.214,0.086,0.101,0.127,0.079,0.166
"P17","Ni buena ni mala",0.17,0.299,0.372,0.381,0.356,0.054
"P17","Mala",0.055,0.213,0.091,0.181,0.192,0.156
"P17","Muy mala",0.025,0.17,0.179,0.138,0.131,0.396
"P17","No lo conozco",0.051,0.119,0.142,0.09,0.166,0.149
"P17","No sabe",0,0.032,0.057,0,0.043,0
"P18","Muy buena",0.113,0.495,0.099,0.152,0.075,0.088
"P18","Buena",0.148,0.252,0.092,0.117,0.124,0.043
"P18","Ni buena ni mala",0.278,0.105,0.364,0.322,0.26,0.222
"P18","Mala",0.178,0.018,0.122,0.193,0.173,0.099
"P18","Muy mala",0.167,0.069,0.165,0.122,0.23,0.371
"P18","No lo conozco",0.058,0.026,0.114,0.082,0.083,0.121
"P18","No sabe",0.058,0.035,0.044,0.012,0.055,0.056
"P19","Muy buena",0.061,0.163,0.36,0.104,0.053,0.128
"P19","Buena",0.058,0.161,0.237,0.048,0.092,0.136
"P19","Ni buena ni mala",0.356,0.312,0.228,0.317,0.192,0.109
"P19","Mala",0.234,0.153,0.043,0.231,0.19,0.083
"P19","Muy mala",0.164,0.119,0.057,0.211,0.339,0.432
"P19","No lo conozco",0.1,0.065,0.042,0.073,0.088,0.112
"P19","No sabe",0.027,0.027,0.033,0.016,0.046,0
"P20","Muy buena",0.018,0.061,0.096,0.338,0.041,0
"P20","Buena",0.069,0.139,0.056,0.263,0.066,0.057
"P20","Ni buena ni mala",0.375,0.348,0.311,0.21,0.323,0.069
"P20","Mala",0.202,0.135,0.119,0.08,0.136,0.114
"P20","Muy mala",0.108,0.114,0.18,0.031,0.146,0.478
"P20","No lo conozco",0.186,0.155,0.178,0.038,0.222,0.282
"P20","No sabe",0.042,0.048,0.06,0.04,0.066,0
"P21","Muy buena",0.027,0.077,0.046,0.105,0.281,0
