"clase","Opinión","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Capital","Interior"
"Catalina Uleri","Positiva",0.075,0.055,0.094,0.167,0.04,0.029,0.025,0.108,0.076,0.029,0.071,0.078
"Catalina Uleri","Neutra",0.272,0.284,0.26,0.211,0.274,0.327,0.343,0.236,0.283,0.297,0.251,0.289
"Catalina Uleri","Negativa",0.226,0.271,0.182,0.251,0.246,0.175,0.163,0.228,0.204,0.265,0.25,0.206
"Catalina Uleri","No lo conozco",0.37,0.319,0.421,0.322,0.38,0.426,0.372,0.352,0.378,0.38,0.378,0.364
"Catalina Uleri","No sabe",0.057,0.071,0.043,0.049,0.06,0.043,0.097,0.076,0.059,0.029,0.05,0.063
"Gloria Ruiz","Positiva",0.198,0.208,0.187,0.23,0.169,0.222,0.172,0.207,0.204,0.173,0.171,0.22
"Gloria Ruiz","Neutra",0.277,0.273,0.282,0.166,0.3,0.363,0.353,0.277,0.275,0.281,0.298,0.26
"Gloria Ruiz","Negativa",0.25,0.273,0.229,0.302,0.264,0.199,0.141,0.214,0.252,0.296,0.236,0.262
"Gloria Ruiz","No lo conozco",0.232,0.211,0.252,0.242,0.234,0.183,0.285,0.269,0.209,0.227,0.262,0.207
"Gloria Ruiz","No sabe",0.043,0.035,0.05,0.06,0.033,0.033,0.049,0.033,0.06,0.023,0.033,0.051
"Ayelén Gutiérrez","Positiva",0.134,0.142,0.125,0.205,0.087,0.12,0.132,0.173,0.109,0.13,0.129,0.138
"Ayelén Gutiérrez","Neutra",0.296,0.296,0.297,0.21,0.313,0.366,0.358,0.254,0.303,0.338,0.28,0.31
"Ayelén Gutiérrez","Negativa",0.254,0.301,0.208,0.311,0.264,0.192,0.158,0.248,0.247,0.274,0.262,0.247
"Ayelén Gutiérrez","No lo conozco",0.271,0.215,0.326,0.227,0.29,0.3,0.27,0.268,0.29,0.239,0.285,0.26
"Ayelén Gutiérrez","No sabe",0.045,0.046,0.044,0.047,0.046,0.022,0.082,0.057,0.051,0.019,0.044,0.045
"Marcos Koopmann","Positiva",0.331,0.325,0.337,0.365,0.317,0.292,0.367,0.352,0.357,0.257,0.35,0.316
"Marcos Koopmann","Neutra",0.277,0.26,0.294,0.202,0.316,0.313,0.263,0.291,0.264,0.283,0.253,0.296
"Marcos Koopmann","Negativa",0.264,0.303,0.226,0.3,0.261,0.254,0.19,0.237,0.224,0.374,0.266,0.263
