"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Capital","Interior"
"A Alberto Fernández",0.319,0.336,0.303,0.481,0.298,0.193,0.156,0.551,0.29,0.081,0.267,0.36
"A Sergio Massa",0.093,0.091,0.096,0.08,0.052,0.205,0.09,0.093,0.088,0.105,0.109,0.081
"A algún candidato del peronismo",0.105,0.087,0.121,0.127,0.106,0.063,0.114,0.041,0.14,0.12,0.112,0.099
"A Cristina Fernández de Kirchner",0.483,0.486,0.48,0.312,0.544,0.539,0.64,0.315,0.482,0.694,0.512,0.46
