"var","categoria","Muy buena","Buena","Ni buena ni mala","Mala","Muy mala","No lo conozco","No sabe"
"P05","Del Frente de Todos y el peronismo",0.228,0.303,0.231,0.175,0.221,0.219,0.184
"P05","De Juntos por el cambio",0.341,0.24,0.28,0.154,0.188,0.144,0.085
"P05","De los Liberales libertarios",0.161,0.16,0.155,0.254,0.219,0.186,0.112
"P05","De la Izquierda",0.031,0.048,0.041,0.079,0.155,0.036,0.136
"P05","No sabe",0.239,0.249,0.293,0.338,0.217,0.415,0.483
"P06","A Alberto Fernández",0.531,0.386,0.218,0.378,0.298,0.31,0.539
"P06","A Sergio Massa",0.052,0.155,0.147,0.28,0.012,0.071,0.115
"P06","A algún candidato del peronismo",0.266,0.17,0.214,0.117,0.235,0.293,0
"P06","A algún candidato del kirchnerismo",0.151,0.289,0.421,0.225,0.455,0.326,0.346
"P07","A Alberto Fernández",0.531,0.313,0.131,0.315,0.332,0.396,0.444
"P07","A Sergio Massa",0.052,0.138,0.123,0.189,0.012,0,0.116
"P07","A algún candidato del peronismo",0.156,0.167,0.091,0.095,0.082,0.018,0
"P07","A Cristina Fernández de Kirchner",0.261,0.382,0.655,0.401,0.574,0.586,0.44
"P08","A Horacio Rodriguez Larreta",0.284,0.441,0.18,0.334,0.461,0.139,1
"P08","A Mauricio Macri",0.55,0.256,0.288,0.249,0.249,0.392,0
"P08","A Patricia Bullrich",0.153,0.26,0.35,0.272,0.274,0.376,0
"P08","A Facundo Manes",0.005,0.011,0.022,0,0,0.008,0
"P08","A Gerardo Morales",0.008,0.032,0.16,0.145,0.016,0.085,0
"P09","Marcos Koopmann a gobernador y Ana Pechén a vicegobernadora por el Movimiento Nacional Neuquino",0.18,0.167,0.284,0.339,0.253,0.228,0.102
"P09","“Rolo” Figueroa a gobernador y Gloria Ruiz a vicegobernadora por el Comunidad y el Frente Neuquinizate",0.684,0.481,0.266,0.225,0.155,0.177,0.238
"P09","Ramón Rioseco a gobernador y Ayelén Gutiérrez a vicegobernadora por el Frente de Todos Neuquino",0.004,0.094,0.17,0.051,0.165,0.17,0.12
"P09","Pablo Cervi a gobernador y Jorge Taylor a vicegobernador por Juntos por el Cambio Neuquén",0.048,0.066,0.101,0.087,0.063,0.096,0.008
"P09","Carlos Eguía a gobernador y Catalina Uleri a vicegobernadora por Cumplir",0.066,0.164,0.09,0.154,0.174,0.119,0.126
"P09","Patricia Jure a gobernadora y Raúl Godoy a vicegobernador por el Frente de Izquierda Unidad",0.011,0.013,0.007,0.015,0.113,0.014,0.093
"P09","No sabe",0.007,0.015,0.082,0.129,0.077,0.196,0.313
"P10","A Marcos Koopmann por el Movimiento Popular Neuquino con el apoyo de Jorge Sapag",0.124,0.241,0.334,0.357,0.282,0.233,0.268
"P10","A “Rolo” Figueroa por Comunidad y el Frente Neuquinizate con el apoyo del PRO, parte de la UCR, el Frente Grande y sectores del PJ",0.699,0.469,0.25,0.208,0.17,0.167,0.219
"P10","A Ramón Rioseco por el Frente de Todos Neuquino con el apoyo del PJ, Cristina Fernández de Kirchner y Libres del Sur",0.025,0.087,0.141,0.085,0.101,0.168,0.084
"P10","A Pablo Cervi por Juntos por el Cambio Neuquén con el apoyo de Martín Lousteau y parte de la UCR",0.047,0.08,0.133,0.081,0.11,0.098,0.037
"P10","A Carlos Eguía por Cumplir con el apoyo de Javier Milei",0.053,0.1,0.075,0.187,0.164,0.098,0.03
"P10","A Patricia Jure del Frente de Izquierda Unidad con apoyo de Nicolás del Caño",0.004,0.014,0.005,0.015,0.095,0.017,0.108
"P10","No sabe",0.048,0.009,0.062,0.067,0.078,0.219,0.254
"P11","Lo votaría",0.284,0.201,0.331,0.401,0.303,0.276,0.311
"P11","Puede que lo vote",0.083,0.198,0.196,0.142,0.013,0.104,0.211
"P11","Nunca lo votaría",0.51,0.514,0.362,0.395,0.622,0.395,0.116
"P11","No sabe",0.123,0.087,0.111,0.062,0.062,0.225,0.362
"P12","Lo votaría",0.762,0.583,0.261,0.277,0.157,0.194,0.247
"P12","Puede que lo vote",0.028,0.161,0.225,0.114,0.075,0.141,0.124
