"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Figueroa","Koopmann","Rioseco","Cervi","Eguía","Jure"
"Andres Peressini por Iguales",0.155,0.148,0.161,0.077,0.166,0.289,0.117,0.141,0.166,0.153,0.116,0.264,0.216,0.191,0.125,0.078
"Sergio Soto por MPN",0.108,0.143,0.074,0.129,0.085,0.118,0.122,0.138,0.108,0.067,0.105,0.257,0.014,0.028,0.047,0
"Luis Bertolini por Desarrollo Ciudadano",0.178,0.169,0.186,0.093,0.229,0.168,0.273,0.13,0.178,0.245,0.232,0.132,0.084,0.156,0.12,0.043
"Karina Ortiz por Unión por Plotier",0.109,0.128,0.09,0.151,0.102,0.08,0.039,0.101,0.106,0.124,0.133,0.06,0.121,0,0.105,0.097
"Norberto Calducci por el Frente de Izquierda",0.074,0.078,0.069,0.05,0.097,0.071,0.058,0.085,0.04,0.122,0.061,0.043,0.133,0.028,0.031,0.348
"Hector Agostino por el Partido Autonomista",0.03,0.022,0.039,0.038,0.036,0.019,0,0.067,0.012,0.014,0.008,0.047,0,0.063,0,0.319
"No sabe",0.346,0.312,0.381,0.462,0.285,0.255,0.391,0.338,0.39,0.275,0.345,0.197,0.432,0.534,0.572,0.115
