"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Figueroa","Koopmann","Rioseco","Cervi","Eguía","Jure"
"Si",0.294,0.3,0.287,0.251,0.266,0.468,0.222,0.334,0.266,0.292,0.314,0.274,0.335,0.178,0.133,0.396
"No",0.706,0.7,0.713,0.749,0.734,0.532,0.778,0.666,0.734,0.708,0.686,0.726,0.665,0.822,0.867,0.604
