"var","categoria","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Unión por la Patria","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio","En blanco","No sabe"
"P05","Mucho",0.484,0.342,0.434,0.304
"P05","Bastante",0.35,0.467,0.459,0.346
"P05","Poco",0.139,0.163,0.083,0.257
"P05","Nada",0.017,0.027,0.022,0.057
"P05","No sabe",0.01,0.001,0.002,0.036
"P06","Siempre",0.307,0.25,0.199,0.22
"P06","Casi siempre",0.47,0.468,0.501,0.336
"P06","Casi nunca",0.165,0.23,0.243,0.221
"P06","Nunca, pero esta es una excepción",0.058,0.052,0.057,0.223
"P08","Unión por la Patria",0.719,0.083,0.22,0.107
"P08","Juntos por el Cambio ",0.146,0.599,0.186,0.202
"P08","Liberales",0.02,0.246,0.271,0.152
"P08","Izquierda",0.038,0.012,0.068,0.051
"P08","Otro",0.036,0.023,0.145,0.123
"P08","No sabe",0.041,0.037,0.11,0.365
"P15","Sergio Massa Presidente, Agustin Rossi Vicepresidente y Axel Kicillof gobernador, Veronica Magario vicegobernadora; por Unión por la Patria",0.673,0.003,0.155,0.163
"P15","Juan Grabois Presidente, Paula Abal Medina Vicepresidente y Axel Kicillof gobernador, Veronica Magario vicegobernadora; por Unión por la Patria",0.18,0.012,0.1,0.02
"P15","Patricia Bullrich Presidenta, Luis Petri Vicepresidente y Nestor Grindetti gobernador, Miguel Fernandez vicegobernador; por Juntos por el Cambio",0.056,0.516,0.05,0.116
"P15","Horacio Rodríguez Larreta Presidente, Gerardo Morales Vicepresidente y Diego Santilli gobernador, Gustavo Posse vicegobernador; por Juntos por el Cambio",0.019,0.179,0.084,0.117
"P15","Javier Milei Presidente, Victoria Villarruel Vicepresidenta y Carolina Piparo gobernadora, Francisco Oneto vicegobernador; por la Libertad Avanza",0.025,0.253,0.352,0.226
"P15","Myriam Bregman a Presidente, Nicolas del Caño a Vicepresidente, Alejandro Bodart a gobernador y Jimena Letieri por el Frente de Izquierda",0.02,0.004,0.06,0.062
"P15","Juan Schiaretti a presidente, Florencio Randazzo vicepresidente por Hacemos por Nuestro Pais",0.005,0.008,0.01,0.033
"P15","Otros",0.011,0.011,0.097,0.077
"P15","En blanco",0.001,0,0.066,0.025
"P15","No sabe",0.01,0.014,0.026,0.161
"P24","Sergio Massa Presidente, Agustin Rossi Vicepresidente y Axel Kicillof gobernador, Veronica Magario vicegobernadora; por Unión por la Patria",0.531,0.032,0.112,0.123
"P24","Juan Grabois Presidente, Paula Abal Medina Vicepresidente y Axel Kicillof gobernador, Veronica Magario vicegobernadora; por Unión por la Patria",0.207,0.022,0.142,0.054
"P24","Patricia Bullrich Presidenta, Luis Petri Vicepresidente y Nestor Grindetti gobernador, Miguel Fernandez vicegobernador; por Juntos por el Cambio",0.077,0.531,0.146,0.154
"P24","Horacio Rodríguez Larreta Presidente, Gerardo Morales Vicepresidente y Diego Santilli gobernador, Gustavo Posse vicegobernador; por Juntos por el Cambio",0.06,0.198,0.122,0.208
"P24","Javier Milei Presidente, Victoria Villarruel Vicepresidenta y Carolina Piparo gobernadora, Francisco Oneto vicegobernador; por la Libertad Avanza",0.045,0.174,0.203,0.129
