"var","categoria","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza","En blanco","No sabe"
"P33","En blanco",0.025,0.206,0.157,0.059
"P33","No sabe",0.025,0.049,0.022,0.333
"P35","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Unión por la Patria",0.164,0.121,0.78,0.517
"P35","Horacio Rodríguez Larreta  a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.641,0.472,0.041,0.126
"P35","En blanco",0.104,0.283,0.158,0.052
"P35","No sabe",0.091,0.124,0.021,0.305
"P36","Horacio Rodríguez Larreta  a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.591,0.142,0.114,0.138
"P36","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.203,0.752,0.036,0.048
"P36","En blanco",0.101,0.085,0.771,0.141
"P36","No sabe",0.105,0.021,0.079,0.673
"P37","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Unión por la Patria",0.19,0.119,0.803,0.551
"P37","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.38,0.82,0.026,0.041
"P37","En blanco",0.226,0.054,0.16,0.062
"P37","No sabe",0.204,0.007,0.011,0.346
"P45","Lo votaría",0.16,0.115,0.731,0.497
"P45","Puede que lo vote",0.116,0.12,0.075,0.091
"P45","Nunca lo votaría",0.704,0.74,0.173,0.193
"P45","No sabe",0.02,0.025,0.021,0.219
"P46","Lo votaría",0.098,0.072,0.526,0.304
"P46","Puede que lo vote",0.053,0.044,0.232,0.199
"P46","Nunca lo votaría",0.831,0.85,0.195,0.323
"P46","No sabe",0.018,0.034,0.047,0.174
"P47","Lo votaría",0.672,0.256,0.065,0.073
"P47","Puede que lo vote",0.12,0.341,0.068,0.112
"P47","Nunca lo votaría",0.199,0.361,0.856,0.662
"P47","No sabe",0.009,0.042,0.011,0.153
"P48","Lo votaría",0.53,0.158,0.049,0.108
"P48","Puede que lo vote",0.231,0.306,0.033,0.103
"P48","Nunca lo votaría",0.208,0.478,0.879,0.607
"P48","No sabe",0.031,0.058,0.039,0.182
