"var","categoria","Sergio Massa Presidente, Agustin Rossi Vicepresidente y Axel Kicillof gobernador, Veronica Magario vicegobernadora; por Unión por la Patria","Horacio Rodríguez Larreta Presidente, Gerardo Morales Vicepresidente y Diego Santilli gobernador, Gustavo Posse vicegobernador; por Juntos por el Cambio","Javier Milei Presidente, Victoria Villarruel Vicepresidenta y Carolina Piparo gobernadora, Francisco Oneto vicegobernador; por la Libertad Avanza","Myriam Bregman a Presidente, Nicolas del Caño a Vicepresidente, Alejandro Bodart a gobernador y Jimena Letieri por el Frente de Izquierda","Juan Schiaretti a presidente, Florencio Randazzo vicepresidente por Hacemos por Nuestro Pais","Otros","En blanco","No sabe"
"P05","Mucho",0.481,0.359,0.326,0.659,0.246,0.422,0.441,0.259
"P05","Bastante",0.375,0.469,0.45,0.269,0.444,0.416,0.385,0.417
"P05","Poco",0.117,0.156,0.176,0.043,0.221,0.13,0.158,0.261
"P05","Nada",0.016,0.012,0.038,0.029,0.089,0.017,0.016,0.063
"P05","No sabe",0.011,0.004,0.01,0,0,0.015,0,0
"P06","Siempre",0.298,0.263,0.193,0.21,0.13,0.175,0.412,0.212
"P06","Casi siempre",0.474,0.451,0.466,0.512,0.474,0.529,0.46,0.43
"P06","Casi nunca",0.173,0.209,0.242,0.233,0.374,0.279,0.077,0.274
"P06","Nunca, pero esta es una excepción",0.055,0.077,0.099,0.045,0.022,0.017,0.051,0.084
"P08","Unión por la Patria",0.78,0.099,0.058,0.225,0.18,0.145,0.108,0.122
"P08","Juntos por el Cambio ",0.107,0.774,0.179,0.063,0.095,0.413,0.424,0.279
"P08","Liberales",0.009,0.05,0.66,0.019,0.197,0.078,0.03,0.052
"P08","Izquierda",0.018,0.004,0.011,0.609,0.167,0.018,0.017,0.021
"P08","Otro",0.035,0.026,0.039,0.034,0.194,0.279,0.181,0.015
"P08","No sabe",0.051,0.047,0.053,0.05,0.167,0.067,0.24,0.511
"P15","Sergio Massa Presidente, Agustin Rossi Vicepresidente y Axel Kicillof gobernador, Veronica Magario vicegobernadora; por Unión por la Patria",0.762,0.01,0.025,0.181,0.059,0.004,0.005,0.11
"P15","Juan Grabois Presidente, Paula Abal Medina Vicepresidente y Axel Kicillof gobernador, Veronica Magario vicegobernadora; por Unión por la Patria",0.158,0.013,0.004,0.339,0.15,0.168,0.04,0.075
"P15","Patricia Bullrich Presidenta, Luis Petri Vicepresidente y Nestor Grindetti gobernador, Miguel Fernandez vicegobernador; por Juntos por el Cambio",0.019,0.602,0.164,0.013,0.085,0.42,0.487,0.246
"P15","Horacio Rodríguez Larreta Presidente, Gerardo Morales Vicepresidente y Diego Santilli gobernador, Gustavo Posse vicegobernador; por Juntos por el Cambio",0.002,0.315,0.046,0.015,0.07,0.014,0,0.003
"P15","Javier Milei Presidente, Victoria Villarruel Vicepresidenta y Carolina Piparo gobernadora, Francisco Oneto vicegobernador; por la Libertad Avanza",0.015,0.032,0.737,0.019,0.124,0.115,0.05,0.054
"P15","Myriam Bregman a Presidente, Nicolas del Caño a Vicepresidente, Alejandro Bodart a gobernador y Jimena Letieri por el Frente de Izquierda",0.014,0.003,0.003,0.384,0,0.004,0.023,0.048
"P15","Juan Schiaretti a presidente, Florencio Randazzo vicepresidente por Hacemos por Nuestro Pais",0.003,0.003,0.001,0.01,0.372,0,0.071,0.004
"P15","Otros",0.014,0.01,0.012,0.021,0.02,0.268,0.047,0.044
"P15","En blanco",0.002,0.002,0.001,0.018,0.053,0,0.204,0.069
"P15","No sabe",0.011,0.01,0.007,0,0.067,0.007,0.073,0.347
"P24","Sergio Massa Presidente, Agustin Rossi Vicepresidente y Axel Kicillof gobernador, Veronica Magario vicegobernadora; por Unión por la Patria",0.611,0.045,0.037,0.104,0.064,0.066,0,0.069
"P24","Juan Grabois Presidente, Paula Abal Medina Vicepresidente y Axel Kicillof gobernador, Veronica Magario vicegobernadora; por Unión por la Patria",0.211,0.026,0.011,0.342,0.191,0.083,0.057,0.042
"P24","Patricia Bullrich Presidenta, Luis Petri Vicepresidente y Nestor Grindetti gobernador, Miguel Fernandez vicegobernador; por Juntos por el Cambio",0.047,0.47,0.428,0.031,0.013,0.376,0.436,0.347
"P24","Horacio Rodríguez Larreta Presidente, Gerardo Morales Vicepresidente y Diego Santilli gobernador, Gustavo Posse vicegobernador; por Juntos por el Cambio",0.044,0.314,0.097,0.135,0.062,0.035,0.016,0.017
"P24","Javier Milei Presidente, Victoria Villarruel Vicepresidenta y Carolina Piparo gobernadora, Francisco Oneto vicegobernador; por la Libertad Avanza",0.031,0.098,0.369,0,0.268,0.151,0.014,0.02
"P24","Myriam Bregman a Presidente, Nicolas del Caño a Vicepresidente, Alejandro Bodart a gobernador y Jimena Letieri por el Frente de Izquierda",0.017,0.008,0.004,0.314,0.018,0.007,0.019,0.066
