"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna","GBA","Interior"
"Sergio Massa Presidente, Agustin Rossi Vicepresidente y Axel Kicillof gobernador, Veronica Magario vicegobernadora; por Unión por la Patria",0.244,0.222,0.265,0.214,0.241,0.292,0.214,0.252,0.246,0.23,0.443,0.058,0.17,0.264,0.202
"Juan Grabois Presidente, Paula Abal Medina Vicepresidente y Axel Kicillof gobernador, Veronica Magario vicegobernadora; por Unión por la Patria",0.093,0.091,0.095,0.097,0.114,0.072,0.07,0.079,0.081,0.127,0.163,0.028,0.087,0.098,0.084
"Patricia Bullrich Presidenta, Luis Petri Vicepresidente y Nestor Grindetti gobernador, Miguel Fernandez vicegobernador; por Juntos por el Cambio",0.268,0.272,0.263,0.214,0.249,0.297,0.327,0.281,0.261,0.263,0.12,0.456,0.235,0.258,0.286
"Horacio Rodríguez Larreta Presidente, Gerardo Morales Vicepresidente y Diego Santilli gobernador, Gustavo Posse vicegobernador; por Juntos por el Cambio",0.133,0.131,0.134,0.13,0.142,0.1,0.161,0.136,0.13,0.133,0.065,0.221,0.175,0.125,0.148
"Javier Milei Presidente, Victoria Villarruel Vicepresidenta y Carolina Piparo gobernadora, Francisco Oneto vicegobernador; por la Libertad Avanza",0.14,0.167,0.114,0.224,0.132,0.119,0.097,0.138,0.15,0.126,0.082,0.177,0.152,0.134,0.153
"Myriam Bregman a Presidente, Nicolas del Caño a Vicepresidente, Alejandro Bodart a gobernador y Jimena Letieri por el Frente de Izquierda",0.021,0.016,0.026,0.022,0.028,0.011,0.018,0.006,0.024,0.034,0.022,0.004,0.066,0.022,0.019
"Juan Schiaretti a presidente, Florencio Randazzo vicepresidente por Hacemos por Nuestro Pais",0.012,0.013,0.012,0.026,0.007,0.015,0.008,0.011,0.013,0.014,0.013,0.004,0.037,0.009,0.019
"Otros",0.025,0.031,0.02,0.028,0.029,0.022,0.019,0.024,0.026,0.026,0.035,0.014,0.009,0.029,0.018
"En blanco",0.023,0.025,0.022,0.029,0.018,0.028,0.023,0.019,0.028,0.021,0.017,0.017,0.018,0.02,0.031
"No sabe",0.041,0.032,0.049,0.016,0.04,0.044,0.063,0.054,0.041,0.026,0.04,0.021,0.051,0.041,0.04
