"var","categoria","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Unión por la Patria","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza","En blanco","No sabe"
"P05","Mucho",0.493,0.334,0.422,0.268
"P05","Bastante",0.366,0.462,0.41,0.471
"P05","Poco",0.125,0.18,0.144,0.181
"P05","Nada",0.011,0.023,0.021,0.069
"P05","No sabe",0.005,0.001,0.003,0.011
"P06","Siempre",0.298,0.246,0.284,0.195
"P06","Casi siempre",0.461,0.46,0.46,0.48
"P06","Casi nunca",0.18,0.238,0.184,0.231
"P06","Nunca, pero esta es una excepción",0.061,0.056,0.072,0.094
"P08","Unión por la Patria",0.72,0.074,0.156,0.109
"P08","Juntos por el Cambio ",0.154,0.393,0.615,0.592
"P08","Liberales",0.021,0.427,0.041,0.012
"P08","Izquierda",0.031,0.015,0.052,0.036
"P08","Otro",0.031,0.041,0.084,0.055
"P08","No sabe",0.043,0.05,0.052,0.196
"P15","Sergio Massa Presidente, Agustin Rossi Vicepresidente y Axel Kicillof gobernador, Veronica Magario vicegobernadora; por Unión por la Patria",0.674,0.01,0.055,0.041
"P15","Juan Grabois Presidente, Paula Abal Medina Vicepresidente y Axel Kicillof gobernador, Veronica Magario vicegobernadora; por Unión por la Patria",0.166,0.016,0.065,0.029
"P15","Patricia Bullrich Presidenta, Luis Petri Vicepresidente y Nestor Grindetti gobernador, Miguel Fernandez vicegobernador; por Juntos por el Cambio",0.062,0.342,0.493,0.426
"P15","Horacio Rodríguez Larreta Presidente, Gerardo Morales Vicepresidente y Diego Santilli gobernador, Gustavo Posse vicegobernador; por Juntos por el Cambio",0.017,0.125,0.169,0.23
"P15","Javier Milei Presidente, Victoria Villarruel Vicepresidenta y Carolina Piparo gobernadora, Francisco Oneto vicegobernador; por la Libertad Avanza",0.027,0.471,0.051,0.022
"P15","Myriam Bregman a Presidente, Nicolas del Caño a Vicepresidente, Alejandro Bodart a gobernador y Jimena Letieri por el Frente de Izquierda",0.014,0.004,0.044,0.048
"P15","Juan Schiaretti a presidente, Florencio Randazzo vicepresidente por Hacemos por Nuestro Pais",0.009,0.006,0.012,0.022
