"var","categoria","Totalmente seguro","Bastante seguro","Algo seguro","Para nada seguro"
"P05","Mucho",0.453,0.298,0.287,0.28
"P05","Bastante",0.379,0.491,0.447,0.318
"P05","Poco",0.134,0.204,0.227,0.251
"P05","Nada",0.028,0.007,0.03,0.127
"P05","No sabe",0.006,0,0.009,0.024
"P06","Siempre",0.281,0.175,0.201,0.169
"P06","Casi siempre",0.428,0.531,0.432,0.352
"P06","Casi nunca",0.204,0.222,0.299,0.326
"P06","Nunca, pero esta es una excepción",0.087,0.072,0.068,0.153
"P08","Unión por la Patria",0.36,0.282,0.298,0.134
"P08","Juntos por el Cambio ",0.359,0.409,0.318,0.201
"P08","Liberales",0.182,0.13,0.107,0.11
"P08","Izquierda",0.025,0.045,0.043,0.035
"P08","Otro",0.04,0.035,0.07,0.106
"P08","No sabe",0.034,0.099,0.164,0.414
"P15","Sergio Massa Presidente, Agustin Rossi Vicepresidente y Axel Kicillof gobernador, Veronica Magario vicegobernadora; por Unión por la Patria",0.31,0.245,0.296,0.144
"P15","Juan Grabois Presidente, Paula Abal Medina Vicepresidente y Axel Kicillof gobernador, Veronica Magario vicegobernadora; por Unión por la Patria",0.075,0.092,0.099,0.066
"P15","Patricia Bullrich Presidenta, Luis Petri Vicepresidente y Nestor Grindetti gobernador, Miguel Fernandez vicegobernador; por Juntos por el Cambio",0.265,0.288,0.193,0.148
"P15","Horacio Rodríguez Larreta Presidente, Gerardo Morales Vicepresidente y Diego Santilli gobernador, Gustavo Posse vicegobernador; por Juntos por el Cambio",0.098,0.147,0.137,0.096
"P15","Javier Milei Presidente, Victoria Villarruel Vicepresidenta y Carolina Piparo gobernadora, Francisco Oneto vicegobernador; por la Libertad Avanza",0.206,0.148,0.147,0.127
"P15","Myriam Bregman a Presidente, Nicolas del Caño a Vicepresidente, Alejandro Bodart a gobernador y Jimena Letieri por el Frente de Izquierda",0.012,0.02,0.03,0.031
"P15","Juan Schiaretti a presidente, Florencio Randazzo vicepresidente por Hacemos por Nuestro Pais",0.006,0.013,0.03,0.019
"P15","Otros",0.015,0.011,0.021,0.131
"P15","En blanco",0.009,0.007,0.005,0.07
"P15","No sabe",0.004,0.029,0.042,0.168
"P24","Sergio Massa Presidente, Agustin Rossi Vicepresidente y Axel Kicillof gobernador, Veronica Magario vicegobernadora; por Unión por la Patria",0.259,0.236,0.183,0.224
"P24","Juan Grabois Presidente, Paula Abal Medina Vicepresidente y Axel Kicillof gobernador, Veronica Magario vicegobernadora; por Unión por la Patria",0.099,0.097,0.123,0.029
"P24","Patricia Bullrich Presidenta, Luis Petri Vicepresidente y Nestor Grindetti gobernador, Miguel Fernandez vicegobernador; por Juntos por el Cambio",0.292,0.263,0.246,0.223
"P24","Horacio Rodríguez Larreta Presidente, Gerardo Morales Vicepresidente y Diego Santilli gobernador, Gustavo Posse vicegobernador; por Juntos por el Cambio",0.119,0.205,0.179,0.082
"P24","Javier Milei Presidente, Victoria Villarruel Vicepresidenta y Carolina Piparo gobernadora, Francisco Oneto vicegobernador; por la Libertad Avanza",0.158,0.099,0.135,0.105
"P24","Myriam Bregman a Presidente, Nicolas del Caño a Vicepresidente, Alejandro Bodart a gobernador y Jimena Letieri por el Frente de Izquierda",0.014,0.026,0.035,0.027
"P24","Juan Schiaretti a presidente, Florencio Randazzo vicepresidente por Hacemos por Nuestro Pais",0.006,0.026,0.018,0.005
"P24","Otros",0.02,0.022,0.01,0.063
"P24","En blanco",0.021,0.009,0.014,0.06
"P24","No sabe",0.012,0.017,0.057,0.182
"P26","Tiene Decidido que va a ir a votar",0.954,0.807,0.758,0.674
"P26","Tiene dudas sobre si va a ir a  votar",0.038,0.177,0.115,0.233
"P26","Tiene Decidido que no va a ir a votar",0.008,0.016,0.127,0.093
"P31","Sergio Massa Presidente, Agustin Rossi Vicepresidente y Axel Kicillof gobernador, Veronica Magario vicegobernadora; por Unión por la Patria",0.365,0.283,0.298,0.277
"P31","Patricia Bullrich Presidenta, Luis Petri Vicepresidente y Nestor Grindetti gobernador, Miguel Fernandez vicegobernador; por Juntos por el Cambio",0.335,0.406,0.252,0.18
"P31","Javier Milei Presidente, Victoria Villarruel Vicepresidenta y Carolina Piparo gobernadora, Francisco Oneto vicegobernador; por la Libertad Avanza",0.201,0.15,0.223,0.123
