"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna","GBA","Interior"
"Sergio Massa Presidente, Agustin Rossi Vicepresidente y Axel Kicillof gobernador, Veronica Magario vicegobernadora; por Unión por la Patria",0.275,0.265,0.285,0.155,0.316,0.308,0.263,0.274,0.29,0.255,0.538,0.034,0.191,0.295,0.235
"Juan Grabois Presidente, Paula Abal Medina Vicepresidente y Axel Kicillof gobernador, Veronica Magario vicegobernadora; por Unión por la Patria",0.079,0.07,0.088,0.115,0.078,0.071,0.055,0.07,0.063,0.114,0.14,0.011,0.092,0.077,0.083
"Patricia Bullrich Presidenta, Luis Petri Vicepresidente y Nestor Grindetti gobernador, Miguel Fernandez vicegobernador; por Juntos por el Cambio",0.246,0.242,0.25,0.162,0.197,0.311,0.358,0.233,0.247,0.259,0.071,0.516,0.212,0.23,0.278
"Horacio Rodríguez Larreta Presidente, Gerardo Morales Vicepresidente y Diego Santilli gobernador, Gustavo Posse vicegobernador; por Juntos por el Cambio",0.107,0.108,0.107,0.085,0.106,0.098,0.147,0.129,0.099,0.097,0.04,0.188,0.146,0.109,0.105
"Javier Milei Presidente, Victoria Villarruel Vicepresidenta y Carolina Piparo gobernadora, Francisco Oneto vicegobernador; por la Libertad Avanza",0.176,0.208,0.144,0.356,0.188,0.107,0.049,0.181,0.176,0.169,0.098,0.199,0.186,0.169,0.189
"Myriam Bregman a Presidente, Nicolas del Caño a Vicepresidente, Alejandro Bodart a gobernador y Jimena Letieri por el Frente de Izquierda",0.018,0.016,0.019,0.027,0.019,0.014,0.009,0.012,0.012,0.032,0.015,0.008,0.032,0.019,0.015
"Juan Schiaretti a presidente, Florencio Randazzo vicepresidente por Hacemos por Nuestro Pais",0.011,0.008,0.014,0.012,0.01,0.012,0.012,0.004,0.017,0.008,0.012,0.004,0.051,0.009,0.015
"Otros",0.031,0.039,0.024,0.048,0.034,0.017,0.027,0.028,0.035,0.029,0.04,0.017,0.006,0.037,0.019
"En blanco",0.02,0.019,0.021,0.025,0.014,0.021,0.027,0.024,0.021,0.013,0.018,0.006,0.04,0.019,0.023
"No sabe",0.037,0.025,0.048,0.015,0.038,0.041,0.053,0.045,0.04,0.024,0.028,0.017,0.044,0.036,0.038
