"var","categoria","Si","No"
"P05","Mucho",0.462,0.352
"P05","Bastante",0.417,0.42
"P05","Poco",0.104,0.195
"P05","Nada",0.013,0.032
"P05","No sabe",0.004,0.001
"P06","Siempre",0.353,0.192
"P06","Casi siempre",0.487,0.465
"P06","Casi nunca",0.132,0.261
"P06","Nunca, pero esta es una excepción",0.028,0.082
"P08","Unión por la Patria",0.362,0.31
"P08","Juntos por el Cambio ",0.358,0.382
"P08","Liberales",0.155,0.162
"P08","Izquierda",0.029,0.024
"P08","Otro",0.047,0.052
"P08","No sabe",0.049,0.07
"P15","Sergio Massa Presidente, Agustin Rossi Vicepresidente y Axel Kicillof gobernador, Veronica Magario vicegobernadora; por Unión por la Patria",0.28,0.263
"P15","Juan Grabois Presidente, Paula Abal Medina Vicepresidente y Axel Kicillof gobernador, Veronica Magario vicegobernadora; por Unión por la Patria",0.101,0.071
"P15","Patricia Bullrich Presidenta, Luis Petri Vicepresidente y Nestor Grindetti gobernador, Miguel Fernandez vicegobernador; por Juntos por el Cambio",0.285,0.262
"P15","Horacio Rodríguez Larreta Presidente, Gerardo Morales Vicepresidente y Diego Santilli gobernador, Gustavo Posse vicegobernador; por Juntos por el Cambio",0.086,0.123
"P15","Javier Milei Presidente, Victoria Villarruel Vicepresidenta y Carolina Piparo gobernadora, Francisco Oneto vicegobernador; por la Libertad Avanza",0.177,0.18
"P15","Myriam Bregman a Presidente, Nicolas del Caño a Vicepresidente, Alejandro Bodart a gobernador y Jimena Letieri por el Frente de Izquierda",0.018,0.018
"P15","Juan Schiaretti a presidente, Florencio Randazzo vicepresidente por Hacemos por Nuestro Pais",0.009,0.011
"P15","Otros",0.017,0.032
"P15","En blanco",0.011,0.009
"P15","No sabe",0.016,0.031
"P24","Sergio Massa Presidente, Agustin Rossi Vicepresidente y Axel Kicillof gobernador, Veronica Magario vicegobernadora; por Unión por la Patria",0.229,0.221
"P24","Juan Grabois Presidente, Paula Abal Medina Vicepresidente y Axel Kicillof gobernador, Veronica Magario vicegobernadora; por Unión por la Patria",0.109,0.099
"P24","Patricia Bullrich Presidenta, Luis Petri Vicepresidente y Nestor Grindetti gobernador, Miguel Fernandez vicegobernador; por Juntos por el Cambio",0.286,0.318
"P24","Horacio Rodríguez Larreta Presidente, Gerardo Morales Vicepresidente y Diego Santilli gobernador, Gustavo Posse vicegobernador; por Juntos por el Cambio",0.157,0.128
"P24","Javier Milei Presidente, Victoria Villarruel Vicepresidenta y Carolina Piparo gobernadora, Francisco Oneto vicegobernador; por la Libertad Avanza",0.117,0.12
"P24","Myriam Bregman a Presidente, Nicolas del Caño a Vicepresidente, Alejandro Bodart a gobernador y Jimena Letieri por el Frente de Izquierda",0.021,0.026
"P24","Juan Schiaretti a presidente, Florencio Randazzo vicepresidente por Hacemos por Nuestro Pais",0.009,0.008
"P24","Otros",0.02,0.031
"P24","En blanco",0.025,0.018
"P24","No sabe",0.027,0.031
"P25","Totalmente seguro",0.681,0.612
"P25","Bastante seguro",0.17,0.177
"P25","Algo seguro",0.082,0.11
"P25","Para nada seguro",0.067,0.101
"P26","Tiene Decidido que va a ir a votar",0.926,0.879
"P26","Tiene dudas sobre si va a ir a  votar",0.05,0.085
"P26","Tiene Decidido que no va a ir a votar",0.024,0.036
"P31","Sergio Massa Presidente, Agustin Rossi Vicepresidente y Axel Kicillof gobernador, Veronica Magario vicegobernadora; por Unión por la Patria",0.349,0.307
"P31","Patricia Bullrich Presidenta, Luis Petri Vicepresidente y Nestor Grindetti gobernador, Miguel Fernandez vicegobernador; por Juntos por el Cambio",0.34,0.361
"P31","Javier Milei Presidente, Victoria Villarruel Vicepresidenta y Carolina Piparo gobernadora, Francisco Oneto vicegobernador; por la Libertad Avanza",0.181,0.181
"P31","Myriam Bregman a Presidente, Nicolas del Caño a Vicepresidente, Alejandro Bodart a gobernador y Jimena Letieri por el Frente de Izquierda",0.034,0.038
"P31","Juan Schiaretti a presidente, Florencio Randazzo vicepresidente por Hacemos por Nuestro Pais",0.026,0.02
"P31","Otros",0.03,0.045
"P31","En blanco",0.013,0.016
"P31","No sabe",0.027,0.032
"P32","Sergio Massa Presidente, Agustin Rossi Vicepresidente y Axel Kicillof gobernador, Veronica Magario vicegobernadora; por Unión por la Patria",0.348,0.318
"P32","Horacio Rodríguez Larreta Presidente, Gerardo Morales Vicepresidente y Diego Santilli gobernador, Gustavo Posse vicegobernador; por Juntos por el Cambio",0.29,0.321
"P32","Javier Milei Presidente, Victoria Villarruel Vicepresidenta y Carolina Piparo gobernadora, Francisco Oneto vicegobernador; por la Libertad Avanza",0.225,0.197
"P32","Myriam Bregman a Presidente, Nicolas del Caño a Vicepresidente, Alejandro Bodart a gobernador y Jimena Letieri por el Frente de Izquierda",0.034,0.02
"P32","Juan Schiaretti a presidente, Florencio Randazzo vicepresidente por Hacemos por Nuestro Pais",0.013,0.019
"P32","Otros",0.041,0.045
"P32","En blanco",0.026,0.027
"P32","No sabe",0.023,0.053
"P33","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Unión por la Patria",0.402,0.336
"P33","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.453,0.485
"P33","En blanco",0.097,0.106
"P33","No sabe",0.048,0.073
"P34","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.389,0.407
"P34","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.211,0.207
"P34","En blanco",0.303,0.273
"P34","No sabe",0.097,0.113
"P35","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Unión por la Patria",0.381,0.336
"P35","Horacio Rodríguez Larreta  a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.377,0.392
"P35","En blanco",0.164,0.156
"P35","No sabe",0.078,0.116
"P36","Horacio Rodríguez Larreta  a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.308,0.309
"P36","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.272,0.23
"P36","En blanco",0.304,0.3
"P36","No sabe",0.116,0.161
"P37","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Unión por la Patria",0.398,0.36
"P37","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.371,0.325
"P37","En blanco",0.148,0.146
"P37","No sabe",0.083,0.169
"P45","Lo votaría",0.358,0.315
"P45","Puede que lo vote",0.103,0.101
"P45","Nunca lo votaría",0.506,0.532
"P45","No sabe",0.033,0.052
"P46","Lo votaría",0.253,0.201
"P46","Puede que lo vote",0.108,0.135
"P46","Nunca lo votaría",0.595,0.62
"P46","No sabe",0.044,0.044
"P47","Lo votaría",0.348,0.347
"P47","Puede que lo vote",0.13,0.178
"P47","Nunca lo votaría",0.494,0.436
"P47","No sabe",0.028,0.039
"P48","Lo votaría",0.261,0.276
"P48","Puede que lo vote",0.188,0.178
"P48","Nunca lo votaría",0.52,0.471
"P48","No sabe",0.031,0.075
"P49","Lo votaría",0.243,0.24
"P49","Puede que lo vote",0.165,0.145
"P49","Nunca lo votaría",0.546,0.575
"P49","No sabe",0.046,0.04
"P50","Lo votaría",0.072,0.072
"P50","Puede que lo vote",0.141,0.184
"P50","Nunca lo votaría",0.739,0.688
"P50","No sabe",0.048,0.056
"P51","Lo votaría",0.033,0.033
"P51","Puede que lo vote",0.153,0.139
"P51","Nunca lo votaría",0.763,0.731
"P51","No sabe",0.051,0.097
