"var","categoria","Cristina Fernández de Kirchner por el Frente de Todos","Alberto Fernández por el Frente de Todos","Mauricio Macri por Juntos por el cambio","Horacio Rodríguez Larreta por Juntos por el Cambio","Patricia Bullrich por Juntos por el Cambio","Facundo Manes por Juntos por el Cambio","Javier Milei por los liberales libertarios","Nicolás del Caño por la izquierda","Aún no lo tengo decidido"
"P04","Tengo trabajo estable",0.408,0.234,0.338,0.435,0.37,0.384,0.455,0.571,0.276
"P04","Realizo changas o trabajos de vez en cuando",0.231,0.375,0.212,0.213,0.229,0.257,0.26,0.183,0.212
"P04","No tengo trabajo",0.182,0.282,0.201,0.177,0.156,0.195,0.222,0.056,0.317
"P04","Soy jubilado o pensionado",0.179,0.109,0.249,0.175,0.245,0.164,0.063,0.19,0.195
"P05","1",0.171,0.263,0.48,0.319,0.382,0.207,0.42,0.174,0.191
"P05","2",0.055,0.08,0.081,0.075,0.087,0.043,0.078,0.048,0.039
"P05","3",0.023,0.044,0.051,0.105,0.09,0.05,0.085,0.139,0.079
"P05","4",0.031,0.067,0.081,0.089,0.07,0.141,0.064,0.058,0.068
"P05","5",0.129,0.096,0.145,0.196,0.177,0.292,0.179,0.128,0.398
"P05","6",0.048,0.034,0.019,0.042,0.05,0.095,0.018,0.052,0.045
"P05","7",0.156,0.126,0.033,0.052,0.031,0.066,0.02,0.099,0.041
"P05","8",0.095,0.075,0.016,0.034,0.023,0.014,0.017,0.031,0.035
"P05","9",0.292,0.215,0.094,0.088,0.09,0.092,0.119,0.271,0.104
"P06","1",0.452,0.297,0.205,0.169,0.157,0.09,0.137,0.248,0.26
"P06","2",0.088,0.037,0.038,0.047,0.042,0.014,0.03,0.075,0.081
"P06","3",0.074,0.178,0.039,0.032,0.043,0.047,0.023,0.098,0.023
"P06","4",0.048,0.093,0.024,0.038,0.043,0.13,0.021,0.117,0.063
"P06","5",0.141,0.148,0.138,0.218,0.148,0.336,0.127,0.302,0.27
"P06","6",0.021,0.013,0.036,0.065,0.094,0.081,0.04,0.017,0.034
"P06","7",0.03,0.044,0.055,0.107,0.07,0.06,0.052,0.009,0.038
"P06","8",0.015,0.039,0.077,0.075,0.111,0.068,0.106,0.013,0.054
"P06","9",0.131,0.151,0.388,0.249,0.292,0.174,0.464,0.121,0.177
"P07","1",0.568,0.275,0.209,0.267,0.181,0.218,0.191,0.695,0.272
