"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Centro","Norte","Sur","Buenos Aires","Fernandez","Macri","Lavagna"
"Seguro lo votaria",0.199,0.212,0.186,0.348,0.2,0.15,0.159,0.279,0.169,0.169,0.162,0.295,0.22,0.192,0.206,0.201,0.184
"Quizás lo votaría",0.361,0.36,0.363,0.371,0.4,0.34,0.305,0.345,0.41,0.315,0.39,0.318,0.348,0.355,0.319,0.368,0.413
"Nunca lo votaría",0.44,0.428,0.451,0.281,0.4,0.51,0.536,0.376,0.421,0.516,0.448,0.387,0.432,0.453,0.475,0.431,0.403
