"var","categoria","Alberto Fernández por el Frente de Todos","Mauricio Macri por Juntos por el Cambio","Javier Milei por los liberales libertarios","Nicolás del Caño por la izquierda","Otro candidato","Aún no lo tengo decidido"
"P40","No sabe",0.044,0.167,0.55,0.398,0.466,0.575
"P41","Sergio Massa presidente por el Frente de Todos",0.831,0.028,0.056,0.549,0.357,0.298
"P41","Patricia Bullrich por Juntos por el Cambio",0.035,0.894,0.658,0.124,0.269,0.233
"P41","No sabe",0.134,0.078,0.286,0.327,0.374,0.469
"P42","Sergio Massa presidente por el Frente de Todos",0.834,0.014,0.078,0.481,0.417,0.328
"P42","Mauricio Macri por Juntos por el Cambio",0.036,0.969,0.596,0.117,0.186,0.132
"P42","No sabe",0.13,0.017,0.326,0.402,0.397,0.54
"P43","Sergio Massa presidente por el Frente de Todos",0.797,0.031,0.024,0.547,0.443,0.338
"P43","Javier Milei por los liberales libertarios",0.057,0.524,0.889,0.111,0.16,0.109
"P43","No sabe",0.146,0.445,0.087,0.342,0.397,0.553
"P44","Horacio Rodríguez Larreta por Juntos por el Cambio",0.122,0.52,0.08,0.321,0.351,0.156
"P44","Javier Milei por los liberales libertarios",0.067,0.285,0.87,0.072,0.101,0.077
"P44","No sabe",0.811,0.195,0.05,0.607,0.548,0.767
"P45","Muy buena",0.107,0.047,0.001,0.093,0.073,0.065
"P45","Buena",0.374,0.027,0.081,0.049,0.124,0.1
"P45","Ni buena ni mala",0.406,0.032,0.074,0.318,0.288,0.333
"P45","Mala",0.075,0.097,0.081,0.154,0.22,0.186
"P45","Muy mala",0.021,0.784,0.763,0.383,0.289,0.26
"P45","No sabe",0.017,0.013,0,0.003,0.006,0.056
"P46","Muy buena",0.19,0.007,0.017,0.07,0.024,0.055
"P46","Buena",0.354,0.012,0.006,0.096,0.122,0.1
"P46","Ni buena ni mala",0.367,0.036,0.067,0.275,0.261,0.361
"P46","Mala",0.056,0.095,0.088,0.205,0.234,0.166
"P46","Muy mala",0.032,0.846,0.806,0.35,0.349,0.273
"P46","No sabe",0.001,0.004,0.016,0.004,0.01,0.045
"P47","Muy buena",0.698,0.012,0.031,0.152,0.336,0.307
"P47","Buena",0.149,0.011,0.007,0.24,0.094,0.111
"P47","Ni buena ni mala",0.083,0.007,0.048,0.224,0.114,0.144
"P47","Mala",0.035,0.073,0.042,0.077,0.107,0.108
"P47","Muy mala",0.033,0.894,0.859,0.303,0.343,0.33
"P47","No sabe",0.002,0.003,0.013,0.004,0.006,0
"P48","Muy buena",0.053,0.431,0.081,0.012,0.039,0.058
"P48","Buena",0.043,0.338,0.188,0.012,0.118,0.074
"P48","Ni buena ni mala",0.056,0.129,0.307,0.124,0.106,0.217
"P48","Mala",0.224,0.027,0.145,0.213,0.231,0.194
"P48","Muy mala",0.619,0.074,0.271,0.629,0.505,0.421
"P48","No sabe",0.005,0.001,0.008,0.01,0.001,0.036
"P49","Muy buena",0.035,0.269,0.048,0.076,0.126,0.034
"P49","Buena",0.042,0.385,0.181,0.092,0.134,0.126
"P49","Ni buena ni mala",0.14,0.228,0.231,0.122,0.236,0.249
"P49","Mala",0.242,0.07,0.169,0.25,0.156,0.22
"P49","Muy mala",0.523,0.04,0.342,0.46,0.341,0.304
"P49","No sabe",0.018,0.008,0.029,0,0.007,0.067
"P50","Muy buena",0.193,0.035,0.012,0.069,0.079,0.096
