"var","categoria","Sergio Massa presidente por el Frente de Todos","Patricia Bullrich por Juntos por el Cambio","No sabe"
"P04","Tengo trabajo estable",0.451,0.392,0.374
"P04","Realizo changas o trabajos de vez en cuando",0.214,0.207,0.278
"P04","No tengo trabajo",0.149,0.198,0.2
"P04","Soy jubilado o pensionado",0.186,0.203,0.148
"P05","1",0.154,0.41,0.344
"P05","2",0.056,0.065,0.073
"P05","3",0.024,0.091,0.051
"P05","4",0.04,0.081,0.058
"P05","5",0.153,0.195,0.164
"P05","6",0.055,0.031,0.04
"P05","7",0.174,0.029,0.045
"P05","8",0.094,0.023,0.033
"P05","9",0.25,0.075,0.192
"P06","1",0.377,0.131,0.349
"P06","2",0.085,0.034,0.053
"P06","3",0.083,0.039,0.044
"P06","4",0.061,0.034,0.038
"P06","5",0.175,0.158,0.163
"P06","6",0.028,0.061,0.038
"P06","7",0.046,0.082,0.018
"P06","8",0.019,0.104,0.052
"P06","9",0.126,0.357,0.245
"P07","1",0.52,0.183,0.399
"P07","2",0.063,0.034,0.04
"P07","3",0.042,0.044,0.026
"P07","4",0.025,0.03,0.007
"P07","5",0.088,0.139,0.067
"P07","6",0.012,0.046,0.029
"P07","7",0.014,0.065,0.033
"P07","8",0.014,0.05,0.033
"P07","9",0.222,0.409,0.366
"P09","Del Frente de Todos y el peronismo",0.79,0.035,0.271
"P09","De Juntos por el cambio",0.054,0.572,0.197
"P09","De los Liberales libertarios",0.041,0.329,0.241
"P09","De la Izquierda",0.032,0.008,0.058
"P09","No sabe",0.083,0.056,0.233
"P10","A Alberto Fernández",0.144,0.275,0.157
"P10","A Sergio Massa",0.234,0.169,0.152
"P10","A algún candidato del peronismo",0.106,0.36,0.148
"P10","A algún candidato del kirchnerismo",0.516,0.196,0.543
"P11","A Alberto Fernández",0.088,0.235,0.133
"P11","A Sergio Massa",0.124,0.116,0.092
"P11","A algún candidato del peronismo",0.087,0.569,0.149
"P11","A Cristina Fernández de Kirchner",0.701,0.08,0.626
"P12","A Horacio Rodriguez Larreta",0.44,0.19,0.329
"P12","A Mauricio Macri",0.181,0.352,0.333
"P12","A Patricia Bullrich",0.044,0.398,0.125
"P12","A Facundo Manes",0.228,0.037,0.115
"P12","A Gerardo Morales",0.107,0.023,0.098
"P13","Seguro lo votaria",0.295,0.141,0.351
"P13","Quizás lo votaría",0.164,0.427,0.261
"P13","Nunca lo votaría",0.541,0.432,0.388
"P14","Lo votaría",0.051,0.431,0.155
"P14","Puede que lo vote",0.028,0.317,0.115
"P14","Nunca lo votaría",0.877,0.205,0.618
"P14","No sabe",0.044,0.047,0.112
"P15","Lo votaría",0.298,0.04,0.059
"P15","Puede que lo vote",0.491,0.059,0.208
"P15","Nunca lo votaría",0.149,0.875,0.611
"P15","No sabe",0.062,0.026,0.122
"P16","Lo votaría",0.233,0.018,0.098
"P16","Puede que lo vote",0.463,0.016,0.15
"P16","Nunca lo votaría",0.215,0.952,0.635
"P16","No sabe",0.089,0.014,0.117
"P17","La votaría",0.719,0.019,0.278
"P17","Puede que la vote",0.143,0.019,0.083
"P17","Nunca la votaría",0.105,0.96,0.576
"P17","No sabe",0.033,0.002,0.063
"P18","Lo votaría",0.079,0.225,0.099
"P18","Puede que lo vote",0.073,0.375,0.14
"P18","Nunca lo votaría",0.797,0.356,0.655
"P18","No sabe",0.051,0.044,0.106
"P19","Lo votaría",0.039,0.08,0.063
"P19","Puede que lo vote",0.183,0.261,0.146
"P19","Nunca lo votaría",0.65,0.577,0.627
"P19","No sabe",0.128,0.082,0.164
"P20","La votaría",0.021,0.582,0.078
"P20","Puede que la vote",0.057,0.311,0.154
"P20","Nunca la votaría",0.888,0.084,0.652
"P20","No sabe",0.034,0.023,0.116
"P21","Lo votaría",0.041,0.341,0.273
"P21","Puede que lo vote",0.04,0.311,0.15
"P21","Nunca lo votaría",0.883,0.307,0.49
"P21","No sabe",0.036,0.041,0.087
"P22","La votaría",0.028,0.226,0.078
"P22","Puede que la vote",0.049,0.392,0.123
"P22","Nunca la votaría",0.881,0.329,0.644
"P22","No sabe",0.042,0.053,0.155
"P23","Lo votaría",0.172,0.013,0.061
"P23","Puede que lo vote",0.45,0.06,0.148
"P23","Nunca lo votaría",0.312,0.905,0.678
"P23","No sabe",0.066,0.022,0.113
"P24","Lo votaría",0.04,0.052,0.021
"P24","Puede que lo vote",0.108,0.215,0.118
"P24","Nunca lo votaría",0.766,0.657,0.714
"P24","No sabe",0.086,0.076,0.147
"P26","Cristina Fernández de Kirchner por el Frente de Todos",0.751,0.012,0.262
"P26","Alberto Fernández por el Frente de Todos",0.081,0.005,0.035
"P26","Mauricio Macri por Juntos por el cambio",0.029,0.264,0.07
"P26","Horacio Rodríguez Larreta por Juntos por el Cambio",0.03,0.132,0.101
"P26","Patricia Bullrich por Juntos por el Cambio",0.008,0.295,0.047
"P26","Facundo Manes por Juntos por el Cambio",0.023,0.044,0.041
"P26","Javier Milei por los liberales libertarios",0.029,0.223,0.271
"P26","Nicolás del Caño por la izquierda",0.014,0.001,0.038
"P26","Aún no lo tengo decidido",0.035,0.024,0.135
"P27","Horacio Rodríguez Larreta por Juntos por el Cambio",0.042,0.17,0.135
"P27","Patricia Bullrich por Juntos por el Cambio",0.005,0.492,0.047
"P27","Facundo Manes por Juntos por el Cambio",0.024,0.039,0.037
"P27","Alberto Fernández por el Frente de Todos",0.218,0.01,0.115
"P27","Sergio Massa por el Frente de Todos",0.516,0.007,0.081
"P27","Javier Milei por los liberales libertarios",0.024,0.246,0.283
"P27","Nicolás del Caño por la izquierda",0.028,0.013,0.051
"P27","Otros candidatos",0.066,0.013,0.103
"P27","Aún no lo tengo decidido",0.077,0.01,0.148
"P28","Cristina Fernández de Kirchner por el Frente de Todos",0.807,0.021,0.29
"P28","Mauricio Macri por Juntos por el Cambio",0.021,0.512,0.092
"P28","Javier Milei por los liberales libertarios",0.03,0.327,0.301
"P28","Nicolás del Caño por la izquierda",0.032,0.007,0.053
"P28","Otro candidato",0.047,0.076,0.115
"P28","Aún no lo tengo decidido",0.063,0.057,0.149
"P30","Horacio Rodríguez Larreta por Juntos por el Cambio",0.103,0.42,0.121
"P30","Alberto Fernández por el Frente de Todos",0.507,0.031,0.148
"P30","Javier Milei por los liberales libertarios",0.048,0.387,0.316
"P30","Nicolás del Caño por la izquierda",0.053,0.01,0.053
"P30","Otro candidato",0.141,0.096,0.148
"P30","Aún no lo tengo decidido",0.148,0.056,0.214
"P32","Sergio Massa presidente por el Frente de Todos",0.691,0.023,0.078
"P32","Patricia Bullrich por Juntos por el Cambio",0.035,0.635,0.058
"P32","Javier Milei por los liberales libertarios",0.039,0.254,0.326
"P32","Nicolás del Caño por la izquierda",0.053,0.008,0.052
"P32","Otro candidato",0.083,0.054,0.26
"P32","Aún no lo tengo decidido",0.099,0.026,0.226
"P34","Sergio Massa presidente por el Frente de Todos",0.686,0.033,0.066
"P34","Horacio Rodríguez Larreta por Juntos por el Cambio",0.084,0.434,0.125
"P34","Javier Milei por los liberales libertarios",0.04,0.373,0.324
"P34","Nicolás del Caño por la izquierda",0.036,0.002,0.049
"P34","Otro candidato",0.074,0.1,0.228
"P34","Aún no lo tengo decidido",0.08,0.058,0.208
"P36","Cristina Fernández de Kirchner por el Frente de Todos",0.788,0.052,0.282
"P36","Horacio Rodríguez Larreta por Juntos por el Cambio",0.087,0.419,0.103
"P36","Javier Milei por los liberales libertarios",0.03,0.393,0.316
"P36","Nicolás del Caño por la izquierda",0.024,0.006,0.041
"P36","Otro candidato",0.04,0.088,0.126
"P36","Aún no lo tengo decidido",0.031,0.042,0.132
"P37","Sergio Massa presidente por el Frente de Todos",0.763,0.015,0.077
"P37","Mauricio Macri por Juntos por el Cambio",0.034,0.532,0.112
"P37","Javier Milei por los liberales libertarios",0.035,0.328,0.334
"P37","Nicolás del Caño por la izquierda",0.029,0.011,0.047
"P37","Otro candidato",0.075,0.071,0.25
"P37","Aún no lo tengo decidido",0.064,0.043,0.18
"P38","Alberto Fernández por el Frente de Todos",0.621,0.016,0.134
"P38","Mauricio Macri por Juntos por el Cambio",0.029,0.547,0.107
"P38","Javier Milei por los liberales libertarios",0.046,0.319,0.31
"P38","Nicolás del Caño por la izquierda",0.062,0.008,0.049
"P38","Otro candidato",0.156,0.07,0.219
"P38","Aún no lo tengo decidido",0.086,0.04,0.181
"P39","Cristina Fernández de Kirchner por el Frente de Todos",0.869,0.037,0.313
"P39","Mauricio Macri por Juntos por el Cambio",0.053,0.81,0.171
"P39","No sabe",0.078,0.153,0.516
"P40","Alberto Fernández por el Frente de Todos",0.76,0.035,0.168
"P40","Horacio Rodríguez Larreta por Juntos por el Cambio",0.08,0.729,0.158
"P40","No sabe",0.16,0.236,0.674
"P42","Sergio Massa presidente por el Frente de Todos",0.913,0.023,0.096
"P42","Mauricio Macri por Juntos por el Cambio",0.044,0.872,0.183
"P42","No sabe",0.043,0.105,0.721
"P43","Sergio Massa presidente por el Frente de Todos",0.875,0.009,0.131
"P43","Javier Milei por los liberales libertarios",0.048,0.68,0.32
"P43","No sabe",0.077,0.311,0.549
"P44","Horacio Rodríguez Larreta por Juntos por el Cambio",0.202,0.362,0.159
"P44","Javier Milei por los liberales libertarios",0.063,0.488,0.334
"P44","No sabe",0.735,0.15,0.507
"P45","Muy buena",0.104,0.03,0.049
"P45","Buena",0.3,0.044,0.114
"P45","Ni buena ni mala",0.408,0.032,0.257
"P45","Mala",0.131,0.09,0.142
"P45","Muy mala",0.046,0.796,0.412
"P45","No sabe",0.011,0.008,0.026
"P46","Muy buena",0.13,0.007,0.073
"P46","Buena",0.305,0.012,0.062
"P46","Ni buena ni mala",0.386,0.026,0.248
"P46","Mala",0.129,0.085,0.152
"P46","Muy mala",0.048,0.86,0.441
"P46","No sabe",0.002,0.01,0.024
"P47","Muy buena",0.631,0.007,0.221
