"var","categoria","Sergio Massa presidente por el Frente de Todos","Javier Milei por los liberales libertarios","No sabe"
"P04","Tengo trabajo estable",0.457,0.42,0.338
"P04","Realizo changas o trabajos de vez en cuando",0.219,0.243,0.201
"P04","No tengo trabajo",0.117,0.205,0.214
"P04","Soy jubilado o pensionado",0.207,0.132,0.247
"P05","1",0.148,0.418,0.341
"P05","2",0.058,0.078,0.052
"P05","3",0.021,0.091,0.062
"P05","4",0.044,0.081,0.062
"P05","5",0.15,0.168,0.213
"P05","6",0.06,0.032,0.036
"P05","7",0.192,0.022,0.041
"P05","8",0.092,0.023,0.038
"P05","9",0.235,0.087,0.155
"P06","1",0.394,0.132,0.272
"P06","2",0.073,0.038,0.049
"P06","3",0.091,0.043,0.035
"P06","4",0.069,0.032,0.034
"P06","5",0.176,0.13,0.2
"P06","6",0.028,0.059,0.048
"P06","7",0.047,0.069,0.055
"P06","8",0.018,0.11,0.057
"P06","9",0.104,0.387,0.25
"P07","1",0.566,0.198,0.283
"P07","2",0.049,0.047,0.038
"P07","3",0.044,0.053,0.021
"P07","4",0.019,0.026,0.027
"P07","5",0.1,0.128,0.1
"P07","6",0.016,0.04,0.034
"P07","7",0.015,0.073,0.029
"P07","8",0.013,0.051,0.037
"P07","9",0.178,0.384,0.431
"P09","Del Frente de Todos y el peronismo",0.814,0.038,0.186
"P09","De Juntos por el cambio",0.049,0.4,0.55
"P09","De los Liberales libertarios",0.02,0.473,0.076
"P09","De la Izquierda",0.041,0.006,0.04
"P09","No sabe",0.076,0.083,0.148
"P10","A Alberto Fernández",0.109,0.176,0.266
"P10","A Sergio Massa",0.222,0.374,0.155
"P10","A algún candidato del peronismo",0.109,0.311,0.177
"P10","A algún candidato del kirchnerismo",0.56,0.139,0.402
"P11","A Alberto Fernández",0.066,0.15,0.222
"P11","A Sergio Massa",0.124,0.061,0.092
"P11","A algún candidato del peronismo",0.084,0.472,0.225
"P11","A Cristina Fernández de Kirchner",0.726,0.317,0.461
"P12","A Horacio Rodriguez Larreta",0.277,0.202,0.229
"P12","A Mauricio Macri",0.074,0.346,0.367
"P12","A Patricia Bullrich",0.131,0.4,0.323
"P12","A Facundo Manes",0.377,0.04,0.042
"P12","A Gerardo Morales",0.141,0.012,0.039
"P13","Seguro lo votaria",0.052,0.208,0.13
"P13","Quizás lo votaría",0.258,0.513,0.28
"P13","Nunca lo votaría",0.69,0.279,0.59
"P14","Lo votaría",0.047,0.333,0.373
"P14","Puede que lo vote",0.019,0.325,0.156
"P14","Nunca lo votaría",0.896,0.286,0.382
"P14","No sabe",0.038,0.056,0.089
"P15","Lo votaría",0.302,0.052,0.037
"P15","Puede que lo vote",0.474,0.08,0.155
"P15","Nunca lo votaría",0.163,0.83,0.734
"P15","No sabe",0.061,0.038,0.074
"P16","Lo votaría",0.207,0.023,0.081
"P16","Puede que lo vote",0.472,0.023,0.106
"P16","Nunca lo votaría",0.226,0.935,0.743
"P16","No sabe",0.095,0.019,0.07
"P17","La votaría",0.739,0.033,0.175
"P17","Puede que la vote",0.135,0.022,0.067
"P17","Nunca la votaría",0.097,0.935,0.724
"P17","No sabe",0.029,0.01,0.034
"P18","Lo votaría",0.064,0.158,0.244
"P18","Puede que lo vote",0.078,0.308,0.287
"P18","Nunca lo votaría",0.814,0.488,0.379
"P18","No sabe",0.044,0.046,0.09
"P19","Lo votaría",0.045,0.072,0.075
"P19","Puede que lo vote",0.18,0.213,0.248
"P19","Nunca lo votaría",0.658,0.628,0.538
"P19","No sabe",0.117,0.087,0.139
"P20","La votaría",0.019,0.495,0.346
"P20","Puede que la vote",0.049,0.293,0.214
"P20","Nunca la votaría",0.903,0.185,0.357
"P20","No sabe",0.029,0.027,0.083
"P21","Lo votaría",0.032,0.508,0.059
"P21","Puede que lo vote",0.022,0.311,0.217
"P21","Nunca lo votaría",0.916,0.147,0.64
"P21","No sabe",0.03,0.034,0.084
"P22","La votaría",0.026,0.196,0.167
"P22","Puede que la vote",0.038,0.339,0.273
"P22","Nunca la votaría",0.892,0.395,0.457
"P22","No sabe",0.044,0.07,0.103
