"clase","Opinión","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Centro","Norte","Sur","Buenos Aires","Fernandez","Macri","Lavagna"
"Patricia Bullrich","Positiva",0.455,0.466,0.442,0.456,0.39,0.506,0.52,0.424,0.456,0.482,0.462,0.435,0.525,0.446,0.135,0.74,0.362
"Patricia Bullrich","Neutra",0.134,0.136,0.133,0.187,0.142,0.095,0.104,0.129,0.143,0.128,0.136,0.162,0.125,0.122,0.084,0.123,0.311
"Patricia Bullrich","Negativa",0.394,0.384,0.406,0.347,0.442,0.389,0.361,0.408,0.392,0.385,0.384,0.372,0.295,0.429,0.759,0.126,0.327
"Patricia Bullrich","No sabe",0.017,0.014,0.019,0.01,0.026,0.01,0.015,0.039,0.009,0.005,0.018,0.031,0.055,0.003,0.022,0.011,0
"Facundo Manes","Positiva",0.205,0.22,0.189,0.18,0.181,0.228,0.256,0.211,0.201,0.203,0.234,0.222,0.202,0.172,0.202,0.209,0.365
"Facundo Manes","Neutra",0.324,0.295,0.355,0.222,0.337,0.368,0.371,0.329,0.315,0.332,0.276,0.341,0.27,0.368,0.336,0.319,0.299
"Facundo Manes","Negativa",0.398,0.426,0.37,0.514,0.385,0.352,0.34,0.35,0.411,0.43,0.417,0.31,0.338,0.43,0.38,0.415,0.294
"Facundo Manes","No sabe",0.073,0.059,0.086,0.084,0.097,0.052,0.033,0.11,0.073,0.035,0.073,0.127,0.19,0.03,0.082,0.057,0.042
"Javier Milei","Positiva",0.353,0.421,0.281,0.531,0.347,0.286,0.224,0.325,0.384,0.34,0.348,0.423,0.479,0.307,0.128,0.468,0.344
"Javier Milei","Neutra",0.21,0.164,0.258,0.11,0.197,0.251,0.308,0.251,0.186,0.199,0.21,0.196,0.195,0.217,0.113,0.296,0.321
"Javier Milei","Negativa",0.418,0.405,0.432,0.349,0.426,0.451,0.448,0.392,0.412,0.453,0.433,0.335,0.289,0.462,0.739,0.22,0.324
"Javier Milei","No sabe",0.019,0.01,0.029,0.01,0.03,0.012,0.02,0.032,0.018,0.008,0.009,0.046,0.037,0.014,0.02,0.016,0.011
"Maria Eugenia Vidal","Positiva",0.34,0.314,0.368,0.251,0.31,0.391,0.448,0.368,0.339,0.313,0.365,0.307,0.283,0.341,0.091,0.588,0.303
"Maria Eugenia Vidal","Neutra",0.204,0.199,0.209,0.222,0.198,0.181,0.228,0.215,0.19,0.212,0.197,0.261,0.219,0.185,0.117,0.243,0.351
"Maria Eugenia Vidal","Negativa",0.44,0.479,0.399,0.522,0.464,0.415,0.318,0.385,0.465,0.463,0.418,0.415,0.454,0.467,0.774,0.159,0.346
"Maria Eugenia Vidal","No sabe",0.016,0.008,0.024,0.005,0.028,0.013,0.006,0.032,0.006,0.012,0.02,0.017,0.044,0.007,0.018,0.01,0
"Horacio Rodriguez Larreta","Positiva",0.324,0.289,0.361,0.227,0.28,0.376,0.468,0.311,0.328,0.332,0.322,0.274,0.288,0.353,0.093,0.551,0.362
"Horacio Rodriguez Larreta","Neutra",0.209,0.205,0.214,0.174,0.232,0.209,0.207,0.26,0.182,0.194,0.222,0.249,0.174,0.186,0.159,0.235,0.369
"Horacio Rodriguez Larreta","Negativa",0.447,0.493,0.399,0.581,0.464,0.394,0.317,0.397,0.475,0.461,0.437,0.433,0.478,0.458,0.719,0.209,0.258
"Horacio Rodriguez Larreta","No sabe",0.02,0.013,0.026,0.018,0.024,0.021,0.008,0.032,0.015,0.013,0.019,0.044,0.06,0.003,0.029,0.005,0.011
"Mauricio Macri","Positiva",0.352,0.337,0.369,0.294,0.294,0.39,0.499,0.347,0.351,0.358,0.381,0.325,0.302,0.346,0.097,0.646,0.176
"Mauricio Macri","Neutra",0.161,0.166,0.156,0.184,0.188,0.137,0.107,0.179,0.163,0.142,0.185,0.154,0.218,0.135,0.094,0.173,0.282
"Mauricio Macri","Negativa",0.48,0.495,0.463,0.513,0.51,0.471,0.385,0.465,0.477,0.498,0.428,0.518,0.448,0.514,0.805,0.18,0.537
"Mauricio Macri","No sabe",0.007,0.002,0.012,0.009,0.008,0.002,0.009,0.009,0.009,0.002,0.006,0.003,0.032,0.005,0.004,0.001,0.005
"Daniel Scioli","Positiva",0.213,0.227,0.199,0.203,0.189,0.248,0.233,0.251,0.208,0.183,0.206,0.201,0.132,0.239,0.446,0.076,0.161
"Daniel Scioli","Neutra",0.203,0.158,0.25,0.216,0.216,0.173,0.198,0.225,0.209,0.173,0.173,0.292,0.144,0.2,0.29,0.126,0.226
"Daniel Scioli","Negativa",0.568,0.613,0.521,0.567,0.567,0.577,0.559,0.497,0.572,0.634,0.591,0.501,0.687,0.557,0.251,0.796,0.613
"Daniel Scioli","No sabe",0.016,0.002,0.03,0.014,0.028,0.002,0.01,0.027,0.011,0.01,0.03,0.006,0.037,0.004,0.013,0.002,0
"Sergio Massa","Positiva",0.222,0.22,0.225,0.204,0.212,0.238,0.248,0.241,0.222,0.205,0.213,0.272,0.194,0.214,0.463,0.087,0.187
"Sergio Massa","Neutra",0.188,0.159,0.219,0.186,0.195,0.189,0.177,0.233,0.168,0.17,0.166,0.193,0.119,0.217,0.279,0.105,0.28
"Sergio Massa","Negativa",0.571,0.611,0.527,0.592,0.562,0.565,0.565,0.49,0.593,0.62,0.586,0.521,0.645,0.565,0.24,0.794,0.533
"Sergio Massa","No sabe",0.019,0.01,0.029,0.018,0.031,0.008,0.01,0.036,0.017,0.005,0.035,0.014,0.042,0.004,0.018,0.014,0
"CFK","Positiva",0.296,0.264,0.33,0.22,0.338,0.324,0.263,0.35,0.267,0.281,0.266,0.317,0.247,0.321,0.725,0.037,0.135
"CFK","Neutra",0.065,0.054,0.077,0.11,0.059,0.041,0.054,0.073,0.069,0.051,0.055,0.101,0.063,0.058,0.078,0.026,0.048
"CFK","Negativa",0.634,0.677,0.588,0.657,0.601,0.634,0.677,0.575,0.657,0.662,0.673,0.58,0.686,0.615,0.194,0.933,0.817
"CFK","No sabe",0.005,0.005,0.005,0.013,0.002,0.001,0.006,0.002,0.007,0.006,0.006,0.002,0.004,0.006,0.003,0.004,0
"Alberto Fernandez","Positiva",0.162,0.131,0.196,0.114,0.174,0.179,0.175,0.212,0.138,0.144,0.136,0.181,0.137,0.181,0.365,0.03,0.147
"Alberto Fernandez","Neutra",0.175,0.165,0.186,0.213,0.174,0.164,0.148,0.2,0.183,0.142,0.155,0.245,0.132,0.171,0.343,0.055,0.129
"Alberto Fernandez","Negativa",0.652,0.698,0.603,0.655,0.643,0.648,0.672,0.576,0.666,0.709,0.7,0.567,0.696,0.639,0.289,0.911,0.72
"Alberto Fernandez","No sabe",0.011,0.006,0.015,0.018,0.009,0.009,0.005,0.012,0.013,0.005,0.009,0.007,0.035,0.009,0.003,0.004,0.004
