"var","categoria","Horacio Rodríguez Larreta por Juntos por el Cambio","Alberto Fernández por el Frente de Todos","Javier Milei por los liberales libertarios","Nicolás del Caño por la izquierda","Otro candidato","Aún no lo tengo decidido"
"P04","Tengo trabajo estable",0.408,0.362,0.427,0.44,0.411,0.3
"P04","Realizo changas o trabajos de vez en cuando",0.15,0.26,0.284,0.307,0.209,0.235
"P04","No tengo trabajo",0.178,0.208,0.203,0.091,0.189,0.222
"P04","Soy jubilado o pensionado",0.264,0.17,0.086,0.162,0.191,0.243
"P05","1",0.341,0.222,0.438,0.178,0.258,0.211
"P05","2",0.068,0.053,0.078,0.022,0.086,0.046
"P05","3",0.079,0.023,0.103,0.069,0.038,0.054
"P05","4",0.094,0.035,0.05,0.037,0.069,0.084
"P05","5",0.194,0.134,0.177,0.073,0.232,0.193
"P05","6",0.035,0.03,0.017,0.174,0.061,0.06
"P05","7",0.057,0.129,0.019,0.095,0.099,0.089
"P05","8",0.029,0.076,0.02,0.117,0.041,0.049
"P05","9",0.103,0.298,0.098,0.235,0.116,0.214
"P06","1",0.183,0.467,0.137,0.261,0.265,0.301
"P06","2",0.046,0.054,0.037,0.029,0.096,0.06
"P06","3",0.047,0.084,0.035,0.077,0.048,0.043
"P06","4",0.04,0.06,0.025,0.175,0.062,0.057
"P06","5",0.2,0.124,0.121,0.238,0.195,0.187
"P06","6",0.053,0.019,0.053,0.065,0.048,0.036
"P06","7",0.082,0.023,0.059,0.023,0.045,0.05
"P06","8",0.079,0.023,0.096,0.029,0.055,0.062
"P06","9",0.27,0.146,0.437,0.103,0.186,0.204
"P07","1",0.237,0.513,0.194,0.53,0.425,0.374
"P07","2",0.045,0.03,0.04,0.02,0.057,0.04
"P07","3",0.033,0.041,0.051,0.125,0.024,0.027
"P07","4",0.029,0.015,0.025,0,0.013,0.024
"P07","5",0.118,0.063,0.125,0.153,0.096,0.097
"P07","6",0.035,0.016,0.031,0.003,0.035,0.04
"P07","7",0.063,0.018,0.061,0,0.037,0.026
"P07","8",0.044,0.014,0.042,0.011,0.04,0.028
"P07","9",0.396,0.29,0.431,0.158,0.273,0.344
"P09","Del Frente de Todos y el peronismo",0.103,0.79,0.044,0.238,0.415,0.429
"P09","De Juntos por el cambio",0.766,0.099,0.154,0.078,0.325,0.224
"P09","De los Liberales libertarios",0.065,0.012,0.707,0.014,0.051,0.045
"P09","De la Izquierda",0.013,0.01,0.005,0.496,0.015,0.036
"P09","No sabe",0.053,0.089,0.09,0.174,0.194,0.266
"P10","A Alberto Fernández",0.125,0.243,0.295,0.051,0.082,0.099
"P10","A Sergio Massa",0.302,0.176,0.134,0.307,0.166,0.236
"P10","A algún candidato del peronismo",0.211,0.114,0.395,0.049,0.164,0.129
"P10","A algún candidato del kirchnerismo",0.362,0.467,0.176,0.593,0.588,0.536
"P11","A Alberto Fernández",0.118,0.155,0.379,0.036,0.045,0.062
"P11","A Sergio Massa",0.141,0.106,0.011,0.019,0.133,0.141
"P11","A algún candidato del peronismo",0.244,0.091,0.489,0.049,0.145,0.103
"P11","A Cristina Fernández de Kirchner",0.497,0.648,0.121,0.896,0.677,0.694
"P12","A Horacio Rodriguez Larreta",0.303,0.333,0.049,0.413,0.027,0.099
"P12","A Mauricio Macri",0.335,0.271,0.407,0.263,0.335,0.332
"P12","A Patricia Bullrich",0.293,0.19,0.496,0.193,0.452,0.475
"P12","A Facundo Manes",0.041,0.115,0.044,0.131,0.097,0.04
"P12","A Gerardo Morales",0.028,0.091,0.004,0,0.089,0.054
"P13","Seguro lo votaria",0.151,0.106,0.419,0.029,0.148,0.249
"P13","Quizás lo votaría",0.381,0.376,0.48,0.132,0.296,0.319
"P13","Nunca lo votaría",0.468,0.518,0.101,0.839,0.556,0.432
"P14","Lo votaría",0.496,0.064,0.238,0.027,0.203,0.219
"P14","Puede que lo vote",0.254,0.047,0.3,0.072,0.146,0.105
"P14","Nunca lo votaría",0.199,0.832,0.398,0.799,0.597,0.523
"P14","No sabe",0.051,0.057,0.064,0.102,0.054,0.153
"P15","Lo votaría",0.094,0.255,0.037,0.153,0.103,0.142
"P15","Puede que lo vote",0.111,0.413,0.083,0.279,0.305,0.303
