"var","categoria","Cristina Fernández de Kirchner por el Frente de Todos","Mauricio Macri por Juntos por el Cambio","Javier Milei por los liberales libertarios","Nicolás del Caño por la izquierda","Otro candidato","Aún no lo tengo decidido"
"P04","Tengo trabajo estable",0.391,0.344,0.444,0.43,0.424,0.298
"P04","Realizo changas o trabajos de vez en cuando",0.242,0.178,0.276,0.232,0.194,0.304
"P04","No tengo trabajo",0.181,0.202,0.209,0.193,0.165,0.227
"P04","Soy jubilado o pensionado",0.186,0.276,0.071,0.145,0.217,0.171
"P05","1",0.175,0.432,0.394,0.125,0.305,0.226
"P05","2",0.056,0.077,0.077,0.019,0.082,0.05
"P05","3",0.032,0.084,0.102,0.079,0.036,0.043
"P05","4",0.032,0.077,0.075,0.021,0.105,0.093
"P05","5",0.124,0.172,0.177,0.164,0.289,0.278
"P05","6",0.054,0.028,0.022,0.199,0.053,0.024
"P05","7",0.144,0.039,0.014,0.182,0.059,0.073
"P05","8",0.085,0.022,0.019,0.047,0.021,0.035
"P05","9",0.298,0.069,0.12,0.164,0.05,0.178
"P06","1",0.442,0.172,0.112,0.267,0.182,0.286
"P06","2",0.075,0.044,0.042,0.023,0.042,0.036
"P06","3",0.087,0.04,0.034,0.052,0.02,0.04
"P06","4",0.052,0.025,0.035,0.27,0.08,0.051
"P06","5",0.139,0.159,0.127,0.272,0.292,0.215
"P06","6",0.023,0.053,0.049,0.029,0.073,0.049
"P06","7",0.027,0.074,0.053,0.014,0.077,0.069
"P06","8",0.013,0.112,0.105,0.029,0.056,0.044
"P06","9",0.142,0.321,0.443,0.044,0.178,0.21
"P07","1",0.538,0.205,0.197,0.47,0.268,0.318
"P07","2",0.052,0.031,0.049,0.013,0.051,0.003
"P07","3",0.045,0.016,0.053,0.192,0.03,0.014
"P07","4",0.02,0.025,0.019,0,0.016,0.023
"P07","5",0.063,0.128,0.124,0.121,0.115,0.125
"P07","6",0.011,0.046,0.03,0.004,0.045,0.037
"P07","7",0.012,0.062,0.068,0,0.058,0.038
"P07","8",0.016,0.05,0.032,0.013,0.076,0.016
"P07","9",0.243,0.437,0.428,0.187,0.341,0.426
"P09","Del Frente de Todos y el peronismo",0.845,0.031,0.029,0.053,0.222,0.169
"P09","De Juntos por el cambio",0.055,0.838,0.123,0.071,0.419,0.243
"P09","De los Liberales libertarios",0.027,0.075,0.757,0.006,0.09,0.079
"P09","De la Izquierda",0.015,0.003,0.01,0.532,0.016,0.06
"P09","No sabe",0.058,0.053,0.081,0.338,0.253,0.449
"P10","A Alberto Fernández",0.157,0.469,0.093,0.182,0.225,0.445
"P10","A Sergio Massa",0.179,0.09,0.374,0.433,0.436,0.264
"P10","A algún candidato del peronismo",0.113,0.429,0.515,0.237,0.259,0.16
"P10","A algún candidato del kirchnerismo",0.551,0.012,0.018,0.148,0.08,0.131
"P11","A Alberto Fernández",0.107,0.452,0.033,0.11,0.18,0.331
"P11","A Sergio Massa",0.095,0.123,0.045,0.173,0.394,0.207
"P11","A algún candidato del peronismo",0.076,0.414,0.814,0.237,0.354,0.258
"P11","A Cristina Fernández de Kirchner",0.722,0.011,0.108,0.48,0.072,0.204
"P12","A Horacio Rodriguez Larreta",0.314,0.18,0.239,0.734,0.349,0.288
"P12","A Mauricio Macri",0.19,0.45,0.138,0,0.055,0.159
"P12","A Patricia Bullrich",0.073,0.332,0.529,0.14,0.37,0.38
"P12","A Facundo Manes",0.294,0.019,0.084,0.126,0.111,0.101
"P12","A Gerardo Morales",0.129,0.019,0.01,0,0.115,0.072
"P13","Seguro lo votaria",0.193,0.144,0.512,0.114,0.171,0.283
"P13","Quizás lo votaría",0.212,0.399,0.378,0.103,0.308,0.353
"P13","Nunca lo votaría",0.595,0.457,0.11,0.783,0.521,0.364
"P14","Lo votaría",0.044,0.713,0.153,0.087,0.062,0.109
"P14","Puede que lo vote",0.024,0.227,0.331,0.105,0.257,0.246
"P14","Nunca lo votaría",0.887,0.045,0.44,0.627,0.59,0.416
"P14","No sabe",0.045,0.015,0.076,0.181,0.091,0.229
"P15","Lo votaría",0.249,0.05,0.042,0.104,0.128,0.06
"P15","Puede que lo vote",0.446,0.07,0.082,0.236,0.231,0.231
"P15","Nunca lo votaría",0.232,0.857,0.832,0.488,0.571,0.565
