"var","categoria","Horacio Rodríguez Larreta por Juntos por el Cambio","Patricia Bullrich por Juntos por el Cambio","Facundo Manes por Juntos por el Cambio","Alberto Fernández por el Frente de Todos","Sergio Massa por el Frente de Todos","Javier Milei por los liberales libertarios","Nicolás del Caño por la izquierda","Otros candidatos","Aún no lo tengo decidido"
"P04","Tengo trabajo estable",0.402,0.342,0.374,0.283,0.476,0.446,0.423,0.434,0.311
"P04","Realizo changas o trabajos de vez en cuando",0.188,0.215,0.22,0.352,0.181,0.274,0.252,0.197,0.267
"P04","No tengo trabajo",0.209,0.165,0.252,0.243,0.141,0.218,0.167,0.217,0.248
"P04","Soy jubilado o pensionado",0.201,0.278,0.154,0.122,0.202,0.062,0.158,0.152,0.174
"P05","1",0.359,0.409,0.253,0.265,0.154,0.435,0.219,0.165,0.198
"P05","2",0.091,0.078,0.055,0.084,0.052,0.07,0.077,0.038,0.032
"P05","3",0.074,0.082,0.035,0.035,0.022,0.088,0.094,0.032,0.068
"P05","4",0.07,0.087,0.109,0.033,0.04,0.061,0.011,0.044,0.084
"P05","5",0.175,0.18,0.28,0.076,0.175,0.182,0.101,0.301,0.205
"P05","6",0.037,0.04,0.082,0.041,0.055,0.017,0.032,0.052,0.047
"P05","7",0.032,0.032,0.107,0.098,0.161,0.012,0.121,0.144,0.123
"P05","8",0.038,0.015,0.022,0.066,0.079,0.02,0.064,0.107,0.06
"P05","9",0.124,0.077,0.057,0.302,0.262,0.115,0.281,0.117,0.183
"P06","1",0.229,0.177,0.152,0.426,0.4,0.125,0.254,0.269,0.354
"P06","2",0.035,0.048,0.043,0.051,0.071,0.037,0.037,0.106,0.1
"P06","3",0.037,0.036,0.038,0.108,0.065,0.027,0.079,0.095,0.054
"P06","4",0.042,0.033,0.12,0.067,0.053,0.031,0.033,0.057,0.038
"P06","5",0.209,0.135,0.299,0.111,0.18,0.122,0.279,0.255,0.195
"P06","6",0.055,0.07,0.058,0.011,0.032,0.053,0.026,0.018,0.031
"P06","7",0.078,0.066,0.094,0.003,0.043,0.053,0.039,0.016,0.06
"P06","8",0.06,0.109,0.091,0.011,0.019,0.096,0.06,0.055,0.031
"P06","9",0.255,0.326,0.105,0.212,0.137,0.456,0.193,0.129,0.137
"P07","1",0.266,0.187,0.245,0.407,0.556,0.187,0.563,0.524,0.403
"P07","2",0.037,0.025,0.102,0.042,0.042,0.047,0.008,0.048,0.05
"P07","3",0.013,0.043,0.052,0.072,0.033,0.052,0.071,0.022,0.025
"P07","4",0.027,0.023,0.013,0.014,0.02,0.023,0.02,0.005,0.023
"P07","5",0.131,0.116,0.195,0.047,0.08,0.115,0.074,0.042,0.118
"P07","6",0.017,0.052,0.039,0.005,0.018,0.027,0.021,0.021,0.029
"P07","7",0.052,0.059,0.03,0.011,0.016,0.066,0.029,0.043,0.011
"P07","8",0.05,0.051,0.042,0.014,0.006,0.032,0.008,0.073,0.008
"P07","9",0.407,0.444,0.282,0.388,0.229,0.451,0.206,0.222,0.333
"P09","Del Frente de Todos y el peronismo",0.084,0.041,0.199,0.802,0.819,0.041,0.205,0.472,0.447
"P09","De Juntos por el cambio",0.738,0.73,0.413,0.05,0.044,0.071,0.08,0.141,0.098
"P09","De los Liberales libertarios",0.075,0.164,0.098,0.023,0.046,0.765,0.157,0.028,0.046
"P09","De la Izquierda",0.019,0.003,0.011,0.034,0.016,0.017,0.439,0.086,0.027
"P09","No sabe",0.084,0.062,0.279,0.091,0.075,0.106,0.119,0.273,0.382
"P10","A Alberto Fernández",0.362,0.476,0.308,0.431,0.068,0.097,0.014,0.071,0.101
"P10","A Sergio Massa",0.293,0.165,0.07,0.079,0.345,0.294,0.094,0.026,0.025
"P10","A algún candidato del peronismo",0.198,0.348,0.259,0.121,0.082,0.32,0.179,0.211,0.231
"P10","A algún candidato del kirchnerismo",0.147,0.011,0.363,0.369,0.505,0.289,0.713,0.692,0.643
"P11","A Alberto Fernández",0.434,0.357,0.046,0.367,0.017,0.28,0,0,0.05
"P11","A Sergio Massa",0.143,0.096,0.02,0.032,0.228,0.02,0,0.007,0.007
"P11","A algún candidato del peronismo",0.251,0.337,0.457,0.097,0.07,0.527,0.231,0.149,0.151
"P11","A Cristina Fernández de Kirchner",0.172,0.21,0.477,0.504,0.685,0.173,0.769,0.844,0.792
"P12","A Horacio Rodriguez Larreta",0.592,0.051,0.055,0.341,0.103,0.138,0.075,0.041,0.199
"P12","A Mauricio Macri",0.267,0.386,0.176,0.051,0.391,0.519,0.33,0.307,0.362
"P12","A Patricia Bullrich",0.097,0.546,0.155,0.03,0.013,0.204,0,0.25,0.205
"P12","A Facundo Manes",0.026,0.004,0.549,0.345,0.413,0.127,0.044,0.025,0.118
"P12","A Gerardo Morales",0.018,0.013,0.065,0.233,0.08,0.012,0.551,0.377,0.116
"P13","Seguro lo votaria",0.225,0.138,0.148,0.306,0.28,0.554,0,0.21,0.17
"P13","Quizás lo votaría",0.318,0.414,0.466,0.061,0.163,0.262,0.716,0.265,0.364
"P13","Nunca lo votaría",0.457,0.448,0.386,0.633,0.557,0.184,0.284,0.525,0.466
"P14","Lo votaría",0.42,0.557,0.182,0.07,0.027,0.163,0.032,0.107,0.14
"P14","Puede que lo vote",0.271,0.26,0.252,0.046,0.028,0.306,0.249,0.124,0.102
"P14","Nunca lo votaría",0.244,0.148,0.488,0.815,0.907,0.431,0.577,0.643,0.644
"P14","No sabe",0.065,0.035,0.078,0.069,0.038,0.1,0.142,0.126,0.114
"P15","Lo votaría",0.054,0.048,0.057,0.163,0.39,0.031,0.022,0.087,0.049
"P15","Puede que lo vote",0.161,0.063,0.185,0.418,0.456,0.086,0.299,0.342,0.316
"P15","Nunca lo votaría",0.73,0.863,0.634,0.338,0.113,0.836,0.614,0.484,0.406
"P15","No sabe",0.055,0.026,0.124,0.081,0.041,0.047,0.065,0.087,0.229
"P16","Lo votaría",0.054,0.011,0.076,0.542,0.189,0.016,0.004,0.087,0.083
"P16","Puede que lo vote",0.061,0.008,0.134,0.323,0.502,0.042,0.161,0.246,0.201
"P16","Nunca lo votaría",0.847,0.96,0.706,0.087,0.228,0.929,0.691,0.521,0.531
"P16","No sabe",0.038,0.021,0.084,0.048,0.081,0.013,0.144,0.146,0.185
"P17","La votaría",0.05,0.018,0.143,0.738,0.739,0.04,0.276,0.472,0.425
"P17","Puede que la vote",0.053,0.01,0.083,0.164,0.131,0.044,0.165,0.14,0.151
"P17","Nunca la votaría",0.885,0.959,0.691,0.078,0.114,0.906,0.496,0.374,0.302
"P17","No sabe",0.012,0.013,0.083,0.02,0.016,0.01,0.063,0.014,0.122
"P18","Lo votaría",0.621,0.165,0.123,0.069,0.045,0.03,0.029,0.084,0.025
"P18","Puede que lo vote",0.24,0.453,0.394,0.067,0.09,0.224,0.227,0.123,0.126
"P18","Nunca lo votaría",0.107,0.33,0.352,0.779,0.825,0.697,0.657,0.748,0.661
"P18","No sabe",0.032,0.052,0.131,0.085,0.04,0.049,0.087,0.045,0.188
"P19","Lo votaría",0.136,0.05,0.44,0.016,0.019,0.026,0.021,0.116,0.028
"P19","Puede que lo vote",0.318,0.253,0.299,0.123,0.186,0.158,0.193,0.132,0.166
"P19","Nunca lo votaría",0.414,0.624,0.164,0.635,0.692,0.705,0.659,0.62,0.508
"P19","No sabe",0.132,0.073,0.097,0.226,0.103,0.111,0.127,0.132,0.298
"P20","La votaría",0.293,0.763,0.189,0.03,0.021,0.257,0.069,0.08,0.029
"P20","Puede que la vote",0.364,0.147,0.333,0.049,0.056,0.386,0.168,0.134,0.122
"P20","Nunca la votaría",0.269,0.075,0.376,0.801,0.911,0.312,0.683,0.727,0.659
"P20","No sabe",0.074,0.015,0.102,0.12,0.012,0.045,0.08,0.059,0.19
"P21","Lo votaría",0.136,0.182,0.15,0.018,0.025,0.832,0.11,0.077,0.032
"P21","Puede que lo vote",0.294,0.415,0.261,0.054,0.042,0.116,0.114,0.048,0.112
"P21","Nunca lo votaría",0.492,0.352,0.541,0.805,0.912,0.035,0.771,0.822,0.703
"P21","No sabe",0.078,0.051,0.048,0.123,0.021,0.017,0.005,0.053,0.153
"P22","La votaría",0.325,0.214,0.143,0.018,0.018,0.136,0.027,0.09,0.024
"P22","Puede que la vote",0.319,0.414,0.287,0.039,0.033,0.263,0.141,0.125,0.116
"P22","Nunca la votaría",0.293,0.305,0.454,0.835,0.905,0.536,0.778,0.664,0.69
"P22","No sabe",0.063,0.067,0.116,0.108,0.044,0.065,0.054,0.121,0.17
"P23","Lo votaría",0.05,0.018,0.051,0.163,0.173,0.014,0.02,0.13,0.042
"P23","Puede que lo vote",0.089,0.04,0.158,0.359,0.458,0.076,0.213,0.276,0.243
"P23","Nunca lo votaría",0.815,0.922,0.742,0.401,0.288,0.874,0.675,0.515,0.532
"P23","No sabe",0.046,0.02,0.049,0.077,0.081,0.036,0.092,0.079,0.183
"P24","Lo votaría",0.126,0.039,0.146,0.042,0.015,0.023,0.014,0.056,0.028
"P24","Puede que lo vote",0.259,0.253,0.236,0.092,0.119,0.082,0.097,0.111,0.085
"P24","Nunca lo votaría",0.546,0.638,0.47,0.698,0.78,0.798,0.789,0.747,0.628
"P24","No sabe",0.069,0.07,0.148,0.168,0.086,0.097,0.1,0.086,0.259
"P26","Cristina Fernández de Kirchner por el Frente de Todos",0.044,0.022,0.071,0.653,0.809,0.026,0.286,0.482,0.436
"P26","Alberto Fernández por el Frente de Todos",0.015,0.008,0.052,0.235,0.06,0,0.017,0.013,0.002
"P26","Mauricio Macri por Juntos por el cambio",0.269,0.336,0.044,0.034,0.023,0.067,0,0.068,0.081
"P26","Horacio Rodríguez Larreta por Juntos por el Cambio",0.551,0.037,0.059,0.029,0.018,0.007,0,0.034,0.029
"P26","Patricia Bullrich por Juntos por el Cambio",0.04,0.527,0.099,0.011,0.009,0.051,0.053,0.022,0.019
"P26","Facundo Manes por Juntos por el Cambio",0.019,0.024,0.566,0.016,0.015,0.011,0.082,0.033,0.026
"P26","Javier Milei por los liberales libertarios",0.041,0.019,0.088,0,0.017,0.819,0.165,0.046,0.021
"P26","Nicolás del Caño por la izquierda",0,0.001,0,0.001,0.002,0.006,0.371,0.024,0.018
"P26","Aún no lo tengo decidido",0.021,0.026,0.021,0.021,0.047,0.013,0.026,0.278,0.368
"P28","Cristina Fernández de Kirchner por el Frente de Todos",0.092,0.034,0.146,0.798,0.854,0.017,0.195,0.482,0.434
"P28","Mauricio Macri por Juntos por el Cambio",0.519,0.673,0.231,0.014,0.015,0.042,0.061,0.076,0.097
"P28","Javier Milei por los liberales libertarios",0.091,0.145,0.159,0.013,0.016,0.906,0.158,0.026,0.037
"P28","Nicolás del Caño por la izquierda",0.012,0.008,0.062,0.025,0.006,0.002,0.444,0.06,0.034
"P28","Otro candidato",0.156,0.072,0.299,0.038,0.065,0.01,0.035,0.226,0.041
"P28","Aún no lo tengo decidido",0.13,0.068,0.103,0.112,0.044,0.023,0.107,0.13,0.357
"P30","Horacio Rodríguez Larreta por Juntos por el Cambio",0.761,0.435,0.272,0.037,0.091,0.019,0.103,0.094,0.095
"P30","Alberto Fernández por el Frente de Todos",0.067,0.041,0.076,0.775,0.51,0.002,0.027,0.152,0.106
"P30","Javier Milei por los liberales libertarios",0.092,0.252,0.142,0.008,0.026,0.942,0.157,0.017,0.051
"P30","Nicolás del Caño por la izquierda",0.006,0.01,0.066,0.031,0.024,0.009,0.616,0.018,0.011
"P30","Otro candidato",0.034,0.158,0.33,0.056,0.169,0.005,0.058,0.578,0.108
"P30","Aún no lo tengo decidido",0.04,0.104,0.114,0.093,0.18,0.023,0.039,0.141,0.629
