"var","categoria","Seguro lo votaria","Quizás lo votaría","Nunca lo votaría"
"P04","Tengo trabajo estable",0.351,0.427,0.43
"P04","Realizo changas o trabajos de vez en cuando",0.291,0.208,0.147
"P04","No tengo trabajo",0.208,0.177,0.158
"P04","Soy jubilado o pensionado",0.15,0.188,0.265
"P05","1",0.436,0.383,0.386
"P05","2",0.101,0.052,0.095
"P05","3",0.066,0.097,0.056
"P05","4",0.042,0.099,0.068
"P05","5",0.134,0.173,0.191
"P05","6",0.025,0.037,0.039
"P05","7",0.013,0.033,0.051
"P05","8",0.019,0.029,0.017
"P05","9",0.164,0.097,0.097
"P06","1",0.313,0.173,0.154
"P06","2",0.051,0.046,0.061
"P06","3",0.019,0.021,0.03
"P06","4",0.006,0.047,0.038
"P06","5",0.117,0.157,0.191
"P06","6",0.035,0.046,0.064
"P06","7",0.062,0.092,0.08
"P06","8",0.054,0.114,0.082
"P06","9",0.343,0.304,0.3
"P07","1",0.271,0.212,0.254
"P07","2",0.05,0.031,0.05
"P07","3",0.029,0.031,0.035
"P07","4",0.011,0.036,0.012
"P07","5",0.093,0.11,0.14
"P07","6",0.05,0.04,0.026
"P07","7",0.015,0.072,0.057
"P07","8",0.026,0.046,0.036
"P07","9",0.455,0.422,0.39
"P12","A Horacio Rodriguez Larreta",0.331,0.199,0.206
"P12","A Mauricio Macri",0.275,0.399,0.296
"P12","A Patricia Bullrich",0.321,0.324,0.351
"P12","A Facundo Manes",0.046,0.048,0.092
"P12","A Gerardo Morales",0.027,0.03,0.055
"P14","Lo votaría",0.613,0.491,0.497
"P14","Puede que lo vote",0.234,0.381,0.217
"P14","Nunca lo votaría",0.125,0.088,0.261
"P14","No sabe",0.028,0.04,0.025
"P15","Lo votaría",0.142,0.085,0.075
"P15","Puede que lo vote",0.163,0.116,0.093
"P15","Nunca lo votaría",0.671,0.773,0.8
"P15","No sabe",0.024,0.026,0.032
"P16","Lo votaría",0.1,0.044,0.038
"P16","Puede que lo vote",0.041,0.059,0.047
"P16","Nunca lo votaría",0.836,0.873,0.901
"P16","No sabe",0.023,0.024,0.014
"P17","La votaría",0.096,0.06,0.061
"P17","Puede que la vote",0.024,0.042,0.023
"P17","Nunca la votaría",0.859,0.891,0.906
