"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Centro","Norte","Sur","Buenos Aires"
"Totalmente seguro",0.677,0.719,0.641,0.641,0.706,0.707,0.624,0.693,0.709,0.627,0.691,0.735,0.595,0.646
"Bastante seguro",0.111,0.107,0.115,0.097,0.087,0.127,0.142,0.135,0.093,0.113,0.119,0.102,0.083,0.113
"Algo seguro",0.107,0.109,0.106,0.19,0.112,0.069,0.084,0.089,0.094,0.136,0.099,0.072,0.156,0.125
"Para nada seguro",0.105,0.065,0.138,0.072,0.095,0.097,0.15,0.083,0.104,0.124,0.091,0.091,0.166,0.116
