"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Centro","Norte","Sur","Buenos Aires"
"Tiene Decidido que va a ir a votar",0.889,0.892,0.886,0.862,0.901,0.922,0.852,0.892,0.865,0.913,0.893,0.925,0.822,0.876
"Tiene dudas sobre si va a ir a  votar",0.071,0.073,0.07,0.105,0.069,0.051,0.074,0.067,0.084,0.06,0.063,0.035,0.141,0.087
"Tiene Decidido que no va a ir a votar",0.04,0.035,0.044,0.033,0.03,0.027,0.074,0.041,0.051,0.027,0.044,0.04,0.037,0.037
