"var","categoria","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza"
"P08","Totalmente seguro",0.682,0.267
"P08","Bastante seguro",0.028,0.266
"P08","Algo seguro",0.183,0.232
"P08","Para nada seguro",0.107,0.235
"P09","Tiene Decidido que va a ir a votar",0.527,0.648
"P09","Tiene dudas sobre si va a ir a  votar",0.33,0.115
"P09","Tiene Decidido que no va a ir a votar",0.143,0.237
"P10","Lo votaría",0.316,0
"P10","Puede que lo vote",0.1,0.157
"P10","Nunca lo votaría",0.412,0.829
"P10","No sabe",0.172,0.014
"P11","Lo votaría",0.012,0.181
"P11","Puede que lo vote",0.173,0.168
"P11","Nunca lo votaría",0.662,0.584
"P11","No sabe",0.153,0.067
