"var","categoria","Tiene Decidido que va a ir a votar","Tiene dudas sobre si va a ir a  votar","Tiene Decidido que no va a ir a votar"
"P06","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.284,0.134,0.063
"P06","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.597,0.374,0.18
"P06","En blanco",0.063,0.202,0.278
"P06","Aun no tengo decidido mi voto",0.056,0.29,0.479
"P08","Totalmente seguro",0.724,0.27,0.374
"P08","Bastante seguro",0.107,0.175,0.062
"P08","Algo seguro",0.09,0.252,0.227
"P08","Para nada seguro",0.079,0.303,0.337
"P10","Lo votaría",0.298,0.158,0.042
"P10","Puede que lo vote",0.066,0.188,0.189
"P10","Nunca lo votaría",0.599,0.5,0.694
"P10","No sabe",0.037,0.154,0.075
"P11","Lo votaría",0.515,0.272,0.168
"P11","Puede que lo vote",0.134,0.304,0.095
"P11","Nunca lo votaría",0.307,0.228,0.695
"P11","No sabe",0.044,0.196,0.042
"P12","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.445,0.738,0.371
"P12","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.555,0.262,0.629
"P14","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.193,0.512,0.037
"P14","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.457,0.062,0.164
"P14","En blanco",0.35,0.426,0.799
