"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Centro","Norte","Sur","Buenos Aires"
"Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.24,0.121,0.358,0.224,0.327,0.265,0.071,0.165,0.474,0.056,0.27,0.003,0.438,0.272
"Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.317,0.311,0.323,0.148,0.435,0.284,0.354,0.258,0.275,0.447,0.304,0.502,0.012,0.33
"En blanco",0.443,0.568,0.319,0.628,0.238,0.451,0.575,0.577,0.251,0.497,0.426,0.495,0.55,0.398
