"fecha","t1 A Tolosa Paz por el Frente de todos","t1 A Santilli y Manes por Juntos","t1 A Del Caño por el Frente de Izquierda","t1 A Espert por Avanza libertad","t1 A Randazo por “Vamos con vos""","t1 A Hotton por “+Valores”","t1 Votaría en blanco o anularía","s1 A Tolosa Paz por el Frente de todos","s1 A Santilli y Manes por Juntos","s1 A Del Caño por el Frente de Izquierda","s1 A Espert por Avanza libertad","s1 A Randazo por “Vamos con vos""","s1 A Hotton por “+Valores”","s1 Votaría en blanco o anularía","s2 A Tolosa Paz por el Frente de todos","s2 A Santilli y Manes por Juntos","s2 A Del Caño por el Frente de Izquierda","s2 A Espert por Avanza libertad","s2 A Randazo por “Vamos con vos""","s2 A Hotton por “+Valores”","s2 Votaría en blanco o anularía","e1 A Tolosa Paz por el Frente de todos","e1 A Santilli y Manes por Juntos","e1 A Del Caño por el Frente de Izquierda","e1 A Espert por Avanza libertad","e1 A Randazo por “Vamos con vos""","e1 A Hotton por “+Valores”","e1 Votaría en blanco o anularía","e2 A Tolosa Paz por el Frente de todos","e2 A Santilli y Manes por Juntos","e2 A Del Caño por el Frente de Izquierda","e2 A Espert por Avanza libertad","e2 A Randazo por “Vamos con vos""","e2 A Hotton por “+Valores”","e2 Votaría en blanco o anularía","e3 A Tolosa Paz por el Frente de todos","e3 A Santilli y Manes por Juntos","e3 A Del Caño por el Frente de Izquierda","e3 A Espert por Avanza libertad","e3 A Randazo por “Vamos con vos""","e3 A Hotton por “+Valores”","e3 Votaría en blanco o anularía","e4 A Tolosa Paz por el Frente de todos","e4 A Santilli y Manes por Juntos","e4 A Del Caño por el Frente de Izquierda","e4 A Espert por Avanza libertad","e4 A Randazo por “Vamos con vos""","e4 A Hotton por “+Valores”","e4 Votaría en blanco o anularía","ed1 A Tolosa Paz por el Frente de todos","ed1 A Santilli y Manes por Juntos","ed1 A Del Caño por el Frente de Izquierda","ed1 A Espert por Avanza libertad","ed1 A Randazo por “Vamos con vos""","ed1 A Hotton por “+Valores”","ed1 Votaría en blanco o anularía","ed2 A Tolosa Paz por el Frente de todos","ed2 A Santilli y Manes por Juntos","ed2 A Del Caño por el Frente de Izquierda","ed2 A Espert por Avanza libertad","ed2 A Randazo por “Vamos con vos""","ed2 A Hotton por “+Valores”","ed2 Votaría en blanco o anularía","ed3 A Tolosa Paz por el Frente de todos","ed3 A Santilli y Manes por Juntos","ed3 A Del Caño por el Frente de Izquierda","ed3 A Espert por Avanza libertad","ed3 A Randazo por “Vamos con vos""","ed3 A Hotton por “+Valores”","ed3 Votaría en blanco o anularía","v1 A Tolosa Paz por el Frente de todos","v1 A Santilli y Manes por Juntos","v1 A Del Caño por el Frente de Izquierda","v1 A Espert por Avanza libertad","v1 A Randazo por “Vamos con vos""","v1 A Hotton por “+Valores”","v1 Votaría en blanco o anularía","v2 A Tolosa Paz por el Frente de todos","v2 A Santilli y Manes por Juntos","v2 A Del Caño por el Frente de Izquierda","v2 A Espert por Avanza libertad","v2 A Randazo por “Vamos con vos""","v2 A Hotton por “+Valores”","v2 Votaría en blanco o anularía","v3 A Tolosa Paz por el Frente de todos","v3 A Santilli y Manes por Juntos","v3 A Del Caño por el Frente de Izquierda","v3 A Espert por Avanza libertad","v3 A Randazo por “Vamos con vos""","v3 A Hotton por “+Valores”","v3 Votaría en blanco o anularía"
2021-09-22,0.411,0.357,0.04,0.045,0.023,NA,0.124,0.436,0.336,0.045,0.04,0.031,NA,0.112,0.387,0.377,0.036,0.049,0.016,NA,0.135,0.451,0.334,0.045,0.071,0.005,NA,0.094,0.435,0.266,0.042,0.032,0.041,NA,0.184,0.392,0.418,0.026,0.053,0.019,NA,0.092,0.274,0.579,0.045,0.005,0.022,NA,0.075,0.344,0.437,0.02,0.042,0.012,NA,0.145,0.496,0.273,0.047,0.033,0.03,NA,0.121,0.346,0.387,0.072,0.08,0.034,NA,0.081,0.61,0.16,0.037,0.037,0.024,NA,0.132,0.076,0.827,0,0.041,0.01,NA,0.046,0.22,0.513,0,0.099,0.104,NA,0.064
2021-09-23,0.374,0.377,0.085,0.03,0.017,NA,0.117,0.375,0.395,0.107,0.039,0.029,NA,0.055,0.373,0.361,0.064,0.021,0.007,NA,0.174,0.366,0.355,0.121,0.033,0,NA,0.125,0.376,0.331,0.071,0.026,0.039,NA,0.157,0.439,0.434,0.027,0.023,0.013,NA,0.064,0.295,0.477,0.123,0.041,0,NA,0.064,0.4,0.434,0.029,0.016,0.009,NA,0.112,0.365,0.318,0.125,0.028,0.026,NA,0.138,0.338,0.395,0.115,0.062,0.014,NA,0.076,0.593,0.21,0.07,0.013,0.012,NA,0.102,0.08,0.757,0.051,0.061,0.009,NA,0.042,0.036,0.784,0,0,0.18,NA,0
2021-09-24,0.39,0.365,0.078,0.035,0.012,NA,0.12,0.352,0.402,0.086,0.053,0.021,NA,0.086,0.422,0.334,0.07,0.019,0.005,NA,0.15,0.367,0.328,0.11,0.064,0,NA,0.131,0.402,0.325,0.069,0.012,0.023,NA,0.169,0.41,0.429,0.045,0.036,0.018,NA,0.062,0.374,0.462,0.084,0.036,0,NA,0.044,0.447,0.386,0.032,0.014,0.012,NA,0.109,0.362,0.325,0.108,0.045,0.013,NA,0.147,0.339,0.419,0.098,0.055,0.012,NA,0.077,0.604,0.198,0.06,0.014,0.012,NA,0.112,0.084,0.803,0.038,0.051,0.006,NA,0.018,0.29,0.265,0.191,0.159,0.095,NA,0
2021-09-25,0.374,0.349,0.076,0.058,0.019,NA,0.124,0.333,0.375,0.087,0.077,0.027,NA,0.101,0.411,0.326,0.066,0.041,0.012,NA,0.144,0.303,0.33,0.107,0.094,0,NA,0.166,0.396,0.308,0.071,0.047,0.021,NA,0.157,0.431,0.396,0.039,0.042,0.026,NA,0.066,0.369,0.432,0.084,0.04,0.044,NA,0.031,0.433,0.338,0.036,0.046,0.028,NA,0.119,0.357,0.328,0.094,0.06,0.016,NA,0.145,0.303,0.421,0.111,0.072,0.011,NA,0.082,0.594,0.194,0.045,0.032,0.027,NA,0.108,0.064,0.78,0.044,0.084,0.009,NA,0.019,0.364,0.194,0.129,0.1,0.029,NA,0.184
2021-09-26,0.418,0.311,0.058,0.074,0.026,NA,0.113,0.398,0.305,0.065,0.085,0.023,NA,0.124,0.437,0.316,0.052,0.064,0.029,NA,0.102,0.386,0.26,0.069,0.146,0.01,NA,0.129,0.427,0.263,0.067,0.067,0.028,NA,0.148,0.422,0.39,0.029,0.04,0.024,NA,0.095,0.445,0.417,0.058,0.016,0.053,NA,0.011,0.497,0.239,0.029,0.067,0.036,NA,0.132,0.404,0.306,0.07,0.077,0.022,NA,0.121,0.314,0.447,0.083,0.079,0.018,NA,0.059,0.644,0.133,0.034,0.036,0.042,NA,0.111,0.077,0.771,0.006,0.115,0.011,NA,0.02,0.327,0.29,0.099,0.091,0,NA,0.193
2021-09-27,0.377,0.318,0.064,0.078,0.036,NA,0.127,0.394,0.266,0.073,0.071,0.04,NA,0.156,0.36,0.367,0.055,0.085,0.032,NA,0.101,0.279,0.208,0.11,0.156,0.038,NA,0.209,0.403,0.317,0.073,0.08,0.031,NA,0.096,0.411,0.4,0.011,0.024,0.018,NA,0.136,0.435,0.411,0.028,0.005,0.075,NA,0.046,0.417,0.255,0.037,0.105,0.034,NA,0.152,0.358,0.315,0.08,0.066,0.044,NA,0.137,0.345,0.44,0.075,0.059,0.022,NA,0.059,0.6,0.152,0.058,0.042,0.047,NA,0.101,0.072,0.739,0.002,0.113,0.039,NA,0.035,0.263,0.344,0,0,0.013,NA,0.38
2021-09-28,0.378,0.324,0.073,0.063,0.039,NA,0.123,0.406,0.286,0.086,0.047,0.025,NA,0.15,0.352,0.361,0.06,0.078,0.053,NA,0.096,0.304,0.191,0.122,0.151,0.078,NA,0.154,0.401,0.365,0.081,0.047,0.022,NA,0.084,0.386,0.382,0.014,0.012,0.008,NA,0.198,0.456,0.393,0.039,0.003,0.054,NA,0.055,0.423,0.262,0.051,0.079,0.04,NA,0.145,0.331,0.327,0.101,0.061,0.043,NA,0.137,0.403,0.435,0.052,0.035,0.027,NA,0.048,0.641,0.127,0.07,0.027,0.026,NA,0.109,0.062,0.721,0.015,0.076,0.079,NA,0.047,0,0.578,0,0,0.056,NA,0.366
2021-09-29,0.356,0.372,0.059,0.055,0.046,NA,0.112,0.331,0.353,0.073,0.075,0.045,NA,0.123,0.381,0.39,0.044,0.036,0.048,NA,0.101,0.355,0.18,0.134,0.095,0.077,NA,0.159,0.391,0.439,0.039,0.043,0.007,NA,0.081,0.339,0.424,0.01,0.056,0.045,NA,0.126,0.289,0.495,0.033,0.009,0.095,NA,0.079,0.37,0.342,0.045,0.067,0.066,NA,0.11,0.323,0.373,0.08,0.049,0.036,NA,0.139,0.402,0.427,0.038,0.046,0.031,NA,0.056,0.681,0.125,0.058,0.027,0.03,NA,0.079,0.029,0.815,0.017,0.03,0.086,NA,0.023,0,0.386,0,0,0.114,NA,0.5
2021-09-30,0.367,0.358,0.098,0.048,0.045,NA,0.084,0.27,0.357,0.18,0.079,0.044,NA,0.07,0.454,0.359,0.023,0.02,0.047,NA,0.097,0.399,0.22,0.217,0.049,0.076,NA,0.039,0.375,0.363,0.075,0.06,0.011,NA,0.116,0.342,0.441,0.02,0.049,0.051,NA,0.097,0.32,0.468,0.061,0.011,0.078,NA,0.062,0.397,0.318,0.076,0.026,0.072,NA,0.111,0.343,0.374,0.121,0.043,0.033,NA,0.086,0.361,0.394,0.088,0.099,0.025,NA,0.033,0.671,0.111,0.08,0.018,0.046,NA,0.074,0.087,0.766,0.025,0.054,0.058,NA,0.01,0.147,0.595,0,0.029,0.101,NA,0.128
2021-10-01,0.378,0.335,0.104,0.058,0.026,NA,0.099,0.292,0.325,0.152,0.097,0.04,NA,0.094,0.456,0.344,0.061,0.023,0.013,NA,0.103,0.389,0.251,0.197,0.082,0.028,NA,0.053,0.416,0.315,0.075,0.061,0.015,NA,0.118,0.309,0.422,0.046,0.053,0.038,NA,0.132,0.353,0.427,0.089,0.012,0.036,NA,0.083,0.375,0.294,0.119,0.024,0.029,NA,0.159,0.401,0.332,0.105,0.061,0.024,NA,0.077,0.332,0.42,0.073,0.117,0.024,NA,0.034,0.621,0.123,0.109,0.016,0.041,NA,0.09,0.139,0.781,0.002,0.055,0.008,NA,0.015,0.147,0.444,0,0.277,0.051,NA,0.081
